optimgain,EpisodesSoFar,EpTrueRewMean,TimestepsSoFar,entropy,EpLenMean,TimeElapsed,EpThisIter,ev_tdlam_before,EpRewMean,surrgain,meankl,entloss
0.27242908,2479,488.54341413231276,564219,23.239326,97.325,1244.202377319336,10,0.8303902447223663,66.021805,0.27242908,0.013213078,0.0
0.28508034,2489,499.179776794177,567231,23.242107,99.875,1250.7381019592285,10,0.8341378569602966,66.57175,0.28508034,0.014236777,0.0
0.28471547,2499,511.59891347137835,570348,23.233335,101.975,1257.3438339233398,10,0.8272789567708969,66.203705,0.28471547,0.013890421,0.0
0.3049942,2509,511.47772069870234,573294,23.234459,101.4,1264.0745434761047,10,0.7713227719068527,66.23069,0.3049942,0.014148322,0.0
0.25984663,2520,491.04825192705493,576342,23.234941,97.95,1270.812199831009,11,0.8488365709781647,63.888508,0.25984663,0.014163928,0.0
0.2938382,2531,489.22798719662205,579369,23.23903,96.85,1277.4785284996033,11,0.8606423139572144,62.613617,0.2938382,0.014794607,0.0
0.28100535,2541,474.8594745090928,582393,23.24162,94.2,1284.1514914035797,10,0.8318901062011719,62.718605,0.28100535,0.014692841,0.0
0.3688082,2553,476.43033061975837,585672,23.242512,94.125,1290.9917991161346,12,0.8632929176092148,62.128967,0.3688082,0.014581718,0.0
0.13747926,2563,486.0396061866557,588780,23.242516,95.575,1297.6474304199219,10,0.8645923137664795,65.96512,0.13747926,0.0046548964,0.0
0.2712777,2573,507.6830128922693,591906,23.23649,99.575,1304.4242119789124,10,0.8450041860342026,70.485016,0.2712777,0.013977203,0.0
0.2732252,2584,492.5794537358762,594861,23.232683,97.325,1310.9801108837128,11,0.8778793141245842,66.70509,0.2732252,0.014688425,0.0
0.30619532,2595,490.3480947789334,597888,23.231853,96.625,1317.6497266292572,11,0.8590972721576691,66.617676,0.30619532,0.014529372,0.0
0.29825312,2606,473.86849758338957,600990,23.233377,93.95,1324.377259016037,11,0.8694744855165482,63.696625,0.29825312,0.014207013,0.0
0.26530397,2616,463.9243259774809,603870,23.231916,92.55,1331.0921747684479,10,0.901274599134922,63.109913,0.26530397,0.014622181,0.0
0.32320666,2626,471.92529271568975,606795,23.230145,95.075,1337.7260737419128,10,0.8559522777795792,65.67489,0.32320666,0.014122661,0.0
0.14846742,2637,479.7529165206852,609942,23.237482,96.725,1344.2758700847626,11,0.8718708455562592,67.17707,0.14846742,0.003966202,0.0
0.15905368,2648,478.16646446095336,613065,23.23438,95.875,1350.829431295395,11,0.8475575149059296,68.24476,0.15905368,0.004039989,0.0
0.15098642,2659,472.5824771659871,616149,23.23332,95.05,1357.774668455124,11,0.8733361661434174,67.40006,0.15098642,0.003905653,0.0
0.2907232,2668,498.06128269899455,619197,23.23366,98.85,1364.3109760284424,9,0.856808140873909,71.09092,0.2907232,0.014341736,0.0
0.14470662,2679,500.04152819998933,622476,23.233908,99.95,1370.9522423744202,11,0.8727658241987228,70.91467,0.14470662,0.0041031796,0.0
0.14775677,2688,512.0919793961053,625320,23.231607,102.125,1377.5829529762268,9,0.8712815791368484,70.57713,0.14775677,0.003852726,0.0
0.14009985,2698,526.0139503881695,628317,23.225426,104.55,1384.3526303768158,10,0.8623848706483841,71.426186,0.14009985,0.0037727696,0.0
0.14471,2707,512.5109622826516,631230,23.227867,101.9,1391.21670627594,9,0.8982654884457588,67.81941,0.14471,0.0038116514,0.0
0.30808023,2717,513.0522546089323,634263,23.223394,102.6,1398.0243196487427,10,0.8713452965021133,66.61534,0.30808023,0.0141963195,0.0
0.15980163,2728,505.1299157050738,637344,23.223654,100.2,1404.771214723587,11,0.885417215526104,66.2255,0.15980163,0.0039803796,0.0
0.14459294,2738,503.8090473179724,640281,23.22463,99.7,1411.6446137428284,10,0.8654078096151352,66.61958,0.14459294,0.003977117,0.0
0.15755898,2749,476.60089605788414,643212,23.224937,94.775,1418.464574098587,11,0.8324791342020035,62.69167,0.15755898,0.0042223996,0.0
0.15523528,2759,469.1446838252501,646113,23.221611,92.525,1425.2734298706055,10,0.8315907120704651,62.701344,0.15523528,0.0039660577,0.0
0.3147741,2768,500.88311802754686,649293,23.222174,99.575,1432.0682961940765,9,0.8631314188241959,66.01245,0.3147741,0.01476793,0.0
0.15347683,2778,505.5390444324818,652302,23.223139,100.175,1438.8171603679657,10,0.8845736086368561,66.02327,0.15347683,0.003945895,0.0
0.15664835,2789,523.4829966381074,655557,23.223228,102.875,1445.5612876415253,11,0.8769431039690971,68.35785,0.15664835,0.0037958582,0.0
0.18748197,2799,537.0008126136797,658725,23.22396,105.1,1452.374406337738,10,0.8400319665670395,70.29999,0.18748197,0.0041929428,0.0
0.14782529,2809,525.0382827698104,661941,23.221174,102.975,1459.019939661026,10,0.8659376353025436,68.97957,0.14782529,0.0039643142,0.0
0.26879945,2820,507.8506319561692,664953,23.215818,99.85,1465.6789481639862,11,0.8552810251712799,66.034775,0.26879945,0.014446852,0.0
0.3279891,2829,525.1506324815924,667962,23.216372,103.375,1472.3488953113556,9,0.8286879509687424,67.40989,0.3279891,0.014841166,0.0
0.29993853,2838,527.7469993186967,670875,23.215593,104.45,1479.1419470310211,9,0.8924803361296654,66.70153,0.29993853,0.014160447,0.0
0.29466334,2848,526.6109058582812,674148,23.219807,104.45,1485.8554677963257,10,0.8553246706724167,66.90987,0.29466334,0.014859514,0.0
0.30920032,2858,529.2074568495128,676911,23.219643,105.1,1492.6371049880981,10,0.8262690752744675,67.67226,0.30920032,0.014473017,0.0
0.26914138,2869,496.48389954000294,679863,23.224848,99.175,1499.350068807602,11,0.9046863690018654,65.9223,0.26914138,0.01444537,0.0
0.16633032,2878,500.738768067386,682866,23.223063,99.925,1506.128303527832,9,0.853687047958374,67.47014,0.16633032,0.0038935943,0.0
0.15818128,2888,497.93972559547876,685995,23.222895,98.725,1512.8064918518066,10,0.8332993388175964,69.478676,0.15818128,0.0040167263,0.0
0.15638348,2898,510.9448542257763,689025,23.223406,100.95,1519.5900540351868,10,0.8900170996785164,72.01546,0.15638348,0.0038522042,0.0
0.1652542,2909,515.295987871572,692124,23.22308,102.175,1526.2887058258057,11,0.8929901123046875,72.47,0.1652542,0.0039380994,0.0
0.15659142,2918,513.9058234101367,695076,23.225092,101.75,1532.9849226474762,9,0.8531017899513245,72.76423,0.15659142,0.004053149,0.0
0.15510124,2927,539.7307920449417,698394,23.226252,106.825,1539.798578262329,9,0.8578877449035645,75.70317,0.15510124,0.004475234,0.0
0.14832637,2937,537.0170599867242,701445,23.226786,106.175,1546.4834535121918,10,0.8511644303798676,74.055016,0.14832637,0.003784284,0.0
0.1678814,2947,551.3210145599944,704619,23.221903,108.85,1553.2421464920044,10,0.8659007251262665,75.12659,0.1678814,0.00395891,0.0
0.16499987,2957,555.7438665977336,707781,23.220926,108.65,1559.8286039829254,10,0.8789138793945312,74.297104,0.16499987,0.0041262247,0.0
0.1438241,2967,525.9501172776996,710760,23.22235,103.05,1566.5018820762634,10,0.8843460828065872,69.25511,0.1438241,0.004089701,0.0
0.13637857,2978,519.7357879508518,714024,23.217768,102.1,1573.2735266685486,11,0.8743804395198822,69.93821,0.13637857,0.003820144,0.0
0.2831608,2988,522.8852572002198,717213,23.215887,102.35,1579.9214761257172,10,0.8707247823476791,69.14552,0.2831608,0.014612509,0.0
0.15182501,2998,514.4617457877573,720225,23.21564,101.975,1586.5700120925903,10,0.8536806851625443,69.23041,0.15182501,0.0039996626,0.0
0.14613189,3008,517.3372169885172,723384,23.214275,102.7,1593.2905812263489,10,0.8546253740787506,69.28951,0.14613189,0.003763684,0.0
0.15161698,3018,515.8884195674094,726402,23.213373,103.15,1600.1300492286682,10,0.8665904998779297,68.91661,0.15161698,0.0038602687,0.0
0.16167155,3028,516.428628708097,729510,23.214928,102.475,1606.992960691452,10,0.8730859756469727,70.12048,0.16167155,0.0042918525,0.0
0.14266694,3038,523.0602025412393,732615,23.213053,103.25,1613.5351548194885,10,0.8818530440330505,72.73371,0.14266694,0.0038603721,0.0
0.32184756,3049,515.4609127906997,735876,23.213617,101.7,1620.2496268749237,11,0.8818759694695473,71.487625,0.32184756,0.0148792565,0.0
0.27744746,3061,501.5818625513648,739134,23.210531,98.525,1626.9573156833649,12,0.8951533660292625,69.69055,0.27744746,0.014724422,0.0
0.14820482,3071,508.07362668612586,742371,23.208673,100.325,1633.6748707294464,10,0.9023603796958923,71.32149,0.14820482,0.0038049528,0.0
0.25741008,3083,478.00341250072097,745821,23.202394,96.275,1640.3726472854614,12,0.8601742535829544,66.157906,0.25741008,0.013420963,0.0
0.1446962,3092,505.71234890575886,748938,23.201485,102.45,1646.9524893760681,9,0.9133052006363869,71.31539,0.1446962,0.0039054172,0.0
0.155605,3103,501.77816838379505,752031,23.200274,100.7,1653.5771973133087,11,0.8598113656044006,71.68959,0.155605,0.004032814,0.0
0.15642379,3112,505.60828498542304,755031,23.203194,101.275,1660.1032898426056,9,0.8720791786909103,71.67491,0.15642379,0.003911344,0.0
0.1703592,3121,533.9591207272069,757968,23.199728,106.075,1666.7963755130768,9,0.8331523984670639,75.647385,0.1703592,0.004179492,0.0
0.14950588,3130,536.4294900224526,760929,23.198492,105.35,1673.6059498786926,9,0.9152508974075317,74.01239,0.14950588,0.003951006,0.0
0.15541348,3139,549.9272412549769,763815,23.198015,107.175,1680.3646466732025,9,0.9034300968050957,75.717545,0.15541348,0.0040544737,0.0
0.34721148,3148,549.807184285088,766503,23.199284,107.65,1687.1699492931366,9,0.887783944606781,73.51036,0.34721148,0.014763821,0.0
0.15245467,3157,553.3669148362735,769683,23.201336,108.425,1693.8640151023865,9,0.8821279406547546,71.94987,0.15245467,0.004014965,0.0
0.13896787,3168,531.2447416211355,772773,23.203863,104.125,1700.5592832565308,11,0.9098215103149414,68.75922,0.13896787,0.0037875592,0.0
0.32070112,3178,516.9256279587424,775869,23.207537,103.1,1707.3238110542297,10,0.887574814260006,67.525955,0.32070112,0.014566455,0.0
0.16880868,3188,523.3497691103132,778929,23.207212,103.55,1714.0309298038483,10,0.8897225186228752,68.57973,0.16880868,0.004074534,0.0
0.30066764,3199,497.36740492509944,782124,23.209068,99.05,1720.8091142177582,11,0.9081529676914215,65.33662,0.30066764,0.01423994,0.0
0.1431528,3209,500.8658209702626,785181,23.209227,99.825,1727.5510144233704,10,0.866612046957016,66.28606,0.1431528,0.003938389,0.0
0.14994848,3218,519.5633748512656,788259,23.208735,103.25,1734.35551071167,9,0.877350389957428,67.71608,0.14994848,0.004161409,0.0
0.14300036,3227,525.089794474114,791268,23.207275,105.55,1741.1490557193756,9,0.8748429268598557,68.064,0.14300036,0.0038261455,0.0
0.29515415,3237,543.3275923423553,794565,23.20632,109.1,1747.968061208725,10,0.8569758087396622,70.640915,0.29515415,0.014873229,0.0
0.28994444,3246,566.9664002587631,797550,23.20539,113.025,1754.7357020378113,9,0.8609127402305603,73.68241,0.28994444,0.014344646,0.0
0.14733462,3255,558.6577384059339,800577,23.205503,111.05,1761.3801493644714,9,0.8165981471538544,74.53688,0.14733462,0.0038271847,0.0
0.15087742,3264,579.6668517257363,803712,23.206053,113.75,1768.0668108463287,9,0.833135113120079,77.57968,0.15087742,0.0043600425,0.0
0.14692834,3274,552.6776393195632,806580,23.206057,108.15,1774.7836894989014,10,0.8876590579748154,76.39583,0.14692834,0.0039306916,0.0
0.15811113,3284,559.1547883318586,809814,23.206053,109.1,1781.5070977210999,10,0.8726329207420349,79.814735,0.15811113,0.0041882847,0.0
0.1671125,3293,549.8578026246211,812658,23.20355,107.775,1788.3166332244873,9,0.9159671440720558,75.58244,0.1671125,0.004192745,0.0
0.15050095,3303,509.93506480557954,815484,23.205816,100.375,1795.0690894126892,10,0.904017262160778,68.764145,0.15050095,0.004097001,0.0
0.32511023,3313,521.4008897847625,818550,23.207113,102.1,1801.664558172226,10,0.9014660120010376,70.1807,0.32511023,0.014779198,0.0
0.15491973,3324,513.1242476313682,821940,23.20339,101.05,1808.393525838852,11,0.8857219964265823,66.879486,0.15491973,0.0045428434,0.0
0.15404458,3332,531.186557476224,824841,23.203146,105.15,1815.1730914115906,8,0.9025492966175079,71.709206,0.15404458,0.004142981,0.0
0.15123418,3342,545.409534507204,828081,23.203878,108.025,1821.8797399997711,10,0.9005937352776527,74.7762,0.15123418,0.0038990169,0.0
0.17635241,3351,556.9862538627552,831222,23.204569,110.075,1828.564110994339,9,0.8773306608200073,74.89352,0.17635241,0.004426785,0.0
0.34884843,3361,557.9234930657856,834441,23.205503,110.825,1835.16264462471,10,0.8335250318050385,73.97223,0.34884843,0.014932732,0.0
0.15413788,3372,527.9398726129568,837354,23.204899,104.275,1841.951303243637,11,0.8133355677127838,69.47378,0.15413788,0.004107237,0.0
0.15716778,3382,521.9251075247264,840405,23.204037,102.7,1848.5773034095764,10,0.86801478266716,69.13237,0.15716778,0.004168926,0.0
0.1695511,3393,484.74317101532216,843477,23.199953,95.525,1855.335351228714,11,0.8807609900832176,65.37419,0.1695511,0.004172676,0.0
0.14464794,3403,483.1472507725342,846402,23.20115,95.35,1862.0604009628296,10,0.8969307020306587,66.63452,0.14464794,0.0038138756,0.0
0.17388657,3413,502.0684728330767,849516,23.200018,99.05,1868.6568624973297,10,0.8130965083837509,70.18135,0.17388657,0.004288558,0.0
0.16390097,3422,502.6518299300886,852324,23.20312,99.325,1875.2440102100372,9,0.8919156715273857,70.05171,0.16390097,0.0040024477,0.0
0.15608798,3432,519.0213053176806,855483,23.198736,102.775,1881.8680205345154,10,0.8955763131380081,71.51801,0.15608798,0.004019555,0.0
0.15928955,3441,518.8165914452633,858276,23.198725,103.2,1888.5576457977295,9,0.9033729732036591,69.984055,0.15928955,0.00405219,0.0
0.1428872,3451,513.6244791957636,861360,23.198158,102.575,1895.258901834488,10,0.8872301056981087,65.83231,0.1428872,0.0037777973,0.0
0.1558142,3461,532.5999567049487,864684,23.198751,105.325,1901.8669455051422,10,0.9172734767198563,67.162575,0.1558142,0.003965458,0.0
0.14532337,3472,520.3492185336916,867855,23.197508,103.1,1908.5561740398407,11,0.8929715305566788,65.75332,0.14532337,0.004188537,0.0
0.16351265,3481,540.8722964545008,871017,23.197203,106.175,1915.2242240905762,9,0.8254289478063583,69.01398,0.16351265,0.0041308384,0.0
0.1563091,3489,555.7636381229283,873714,23.197733,109.075,1921.9891459941864,8,0.8404046446084976,71.571915,0.1563091,0.003945147,0.0
0.1457476,3499,536.2837673808498,876741,23.196024,106.05,1928.9236595630646,10,0.9067175388336182,70.925575,0.1457476,0.0040882095,0.0
