meankl,entropy,EpisodesSoFar,optimgain,entloss,TimeElapsed,EpThisIter,EpLenMean,EpRewMean,EpTrueRewMean,ev_tdlam_before,surrgain,TimestepsSoFar
0.008483994,7.423416,409,0.08549951,0.0,493.36420345306396,2,494.2,405.552,1278.1634230358595,0.580812007188797,0.08549951,334533
0.008070476,7.41411,411,0.1121781,0.0,497.7134792804718,2,491.525,406.24802,1278.4581261856267,0.7690629661083221,0.1121781,337386
0.0077899983,7.4354286,414,0.15061411,0.0,502.1593475341797,3,479.675,395.27692,1245.8511808753208,0.8156328797340393,0.15061411,340041
0.008675006,7.447892,417,0.103723414,0.0,506.5562720298767,3,469.475,386.7845,1214.2017956586274,0.8260228484869003,0.103723414,342969
0.007975854,7.431136,420,0.09052343,0.0,511.0072138309479,3,488.375,409.9467,1286.091510568019,0.5810317695140839,0.09052343,348036
0.009040736,7.4263873,423,0.10247446,0.0,515.3783359527588,3,490.325,412.18622,1294.1169019173137,0.8194993883371353,0.10247446,351054
0.008097141,7.4229116,425,0.08704704,0.0,519.7834208011627,2,501.8,418.9533,1320.14726741953,0.5259777903556824,0.08704704,355146
0.008055691,7.417863,426,0.11104982,0.0,524.1082084178925,1,515.8,430.87686,1359.3408702765482,0.8110104650259018,0.11104982,358134
0.00811404,7.401611,427,0.10606468,0.0,528.5758986473083,1,511.75,434.90277,1368.3452268240785,0.8725804388523102,0.10606468,360648
0.007880696,7.398255,428,0.084467195,0.0,532.9910368919373,1,501.825,426.91446,1342.2782759769132,0.7950903922319412,0.084467195,362457
0.007948352,7.4118047,429,0.16667534,0.0,537.4061014652252,1,502.375,428.9463,1347.944827341793,0.9054596349596977,0.16667534,365160
0.008213129,7.416752,430,0.11615698,0.0,541.7960765361786,1,510.85,438.46173,1379.0975111850983,0.8746252804994583,0.11615698,367728
0.008330122,7.421859,433,0.093150645,0.0,546.2268919944763,3,512.375,438.85458,1392.8798839936303,0.8322653919458389,0.093150645,370497
0.009204501,7.410719,435,0.11301666,0.0,550.6050891876221,2,520.775,452.0572,1433.0032665667154,0.8344640284776688,0.11301666,375330
0.0082894415,7.4117436,436,0.06887228,0.0,555.0244929790497,1,538.625,468.14713,1486.1453121548343,-0.13519978523254395,0.06887228,378330
0.008052828,7.4040365,438,0.095166266,0.0,559.3881905078888,2,551.15,477.51953,1520.9467601513036,0.8472512066364288,0.095166266,382275
0.009614056,7.415023,439,0.098837726,0.0,563.7613849639893,1,567.75,493.88428,1578.3305169191594,-0.07743000984191895,0.098837726,385275
