entloss,entropy,surrgain,EpLenMean,EpisodesSoFar,TimeElapsed,EpThisIter,ev_tdlam_before,meankl,EpRewMean,optimgain,TimestepsSoFar,EpTrueRewMean
0.0,3.5667112,0.05488848,198.825,330,147.10265922546387,5,0.5391251742839813,0.008861001,561.9149533064416,0.05488848,121983,561.9149533064416
0.0,3.5607975,0.056422457,208.625,334,150.83901929855347,4,0.9659469239413738,0.007287468,591.1598274936034,0.056422457,125148,591.1598274936034
0.0,3.5538619,0.051124662,216.075,338,154.46551251411438,4,0.8718637973070145,0.0071380064,617.2272359377115,0.051124662,128040,617.2272359377115
0.0,3.523527,0.057140663,226.2,341,158.05685925483704,3,0.8966240584850311,0.0078450125,649.6705559691377,0.057140663,130848,649.6705559691377
0.0,3.5190413,0.07921412,242.35,344,161.612544298172,3,0.9602242931723595,0.007849845,699.6198214171751,0.07921412,134205,699.6198214171751
0.0,3.5119867,0.04981383,255.75,347,165.18824577331543,3,0.9372477158904076,0.008113622,736.2395972687992,0.04981383,137406,736.2395972687992
0.0,3.5282598,0.061636224,274.575,349,168.7577178478241,2,0.9717871025204659,0.007918362,788.3000556691819,0.061636224,140757,788.3000556691819
0.0,3.5031455,0.044977553,280.425,352,172.3458914756775,3,0.93958505615592,0.0071909185,802.5135269693777,0.044977553,143061,802.5135269693777
0.0,3.515322,0.04090101,297.45,355,175.8135838508606,3,0.8277452439069748,0.0075188735,849.1341628359687,0.04090101,147516,849.1341628359687
0.0,3.5059748,0.062135458,306.875,357,179.3576157093048,2,0.9483630768954754,0.007832809,877.6368740820457,0.062135458,149928,877.6368740820457
0.0,3.5036707,0.06293777,324.975,359,182.88340401649475,2,0.8935281112790108,0.00719149,933.3658733429027,0.06293777,153573,933.3658733429027
0.0,3.4987254,0.06243896,338.05,361,186.4928650856018,2,0.9500067420303822,0.008474052,973.8924448743062,0.06243896,156312,973.8924448743062
0.0,3.4775152,0.05369337,348.575,363,190.07211756706238,2,0.8965487778186798,0.007853896,1010.0376518252397,0.05369337,159258,1010.0376518252397
0.0,3.4647603,0.06334134,354.9,365,193.7488567829132,2,0.5900686681270599,0.0077394187,1023.7727625707805,0.06334134,161670,1023.7727625707805
0.0,3.4283986,0.070735835,364.625,367,197.35291290283203,2,0.9148947596549988,0.0077041653,1051.183368175544,0.070735835,164253,1051.183368175544
0.0,3.4190152,0.067911714,381.725,369,200.96813464164734,2,0.980091979727149,0.008315791,1105.5508679390077,0.067911714,167265,1105.5508679390077
0.0,3.36679,0.04528594,402.35,370,204.54356718063354,1,-0.10163617134094238,0.0077797296,1168.536454915772,0.04528594,170265,1168.536454915772
0.0,3.3531806,0.03987116,405.075,371,208.15199732780457,1,0.15073662996292114,0.0075737294,1174.044646282598,0.03987116,171528,1174.044646282598
0.0,3.3312354,0.05527718,422.8,373,211.7966125011444,2,0.9162107408046722,0.007549046,1224.4965469512756,0.05527718,175020,1224.4965469512756
0.0,3.3246386,0.039983593,440.6,374,215.3469672203064,1,0.06257432699203491,0.007807193,1267.142599089312,0.039983593,178020,1267.142599089312
0.0,3.3352947,0.05368057,440.35,375,218.99046778678894,1,0.9554455392062664,0.007887391,1264.5984034432215,0.05368057,178914,1264.5984034432215
0.0,3.3358068,0.052398466,459.525,378,222.61995935440063,3,0.8864677473902702,0.008515241,1321.0152990962447,0.052398466,183183,1321.0152990962447
0.0,3.3448186,0.06729466,470.1,380,226.19664430618286,2,0.8814245834946632,0.00807668,1349.6156559492113,0.06729466,186249,1349.6156559492113
0.0,3.3205476,0.056945167,471.425,383,229.81037139892578,3,0.7893612384796143,0.007864573,1350.3917609734558,0.056945167,189723,1350.3917609734558
0.0,3.306892,0.065359026,470.325,384,233.34359574317932,1,0.9452607445418835,0.0077696843,1346.2740709238133,0.065359026,190644,1346.2740709238133
0.0,3.2781909,0.046289474,482.525,386,236.99121069908142,2,0.6597201526165009,0.007884512,1379.0019323042777,0.046289474,194385,1379.0019323042777
0.0,3.290823,0.06239077,470.175,388,240.61883687973022,2,0.930884838104248,0.007776391,1351.9543112503768,0.06239077,196287,1351.9543112503768
0.0,3.2770152,0.05345735,486.325,389,244.18652653694153,1,0.9452569782733917,0.0073371343,1400.115712160706,0.05345735,199116,1400.115712160706
0.0,3.29657,0.05692715,492.875,390,247.79223155975342,1,0.9551023952662945,0.0074883318,1417.530464965777,0.05692715,200763,1417.530464965777
0.0,3.3125021,0.06812203,510.7,391,251.4072732925415,1,0.9081164598464966,0.0076671205,1473.2020420037293,0.06812203,203697,1473.2020420037293
0.0,3.328956,0.059665132,516.975,393,255.02883553504944,2,0.9294451773166656,0.007994309,1494.821527396135,0.059665132,207075,1494.821527396135
0.0,3.31482,0.053872928,525.4,394,258.65453839302063,1,-0.18638956546783447,0.008616125,1519.5913038193376,0.053872928,210075,1519.5913038193376
0.0,3.3254464,0.056082636,546.325,395,262.2586932182312,1,0.014963269233703613,0.008041396,1583.6275554877234,0.056082636,213075,1583.6275554877234
0.0,3.323111,0.05364298,551.175,396,265.8797266483307,1,0.4023358225822449,0.007927374,1596.3600600397695,0.05364298,215091,1596.3600600397695
0.0,3.364439,0.036440574,568.025,397,269.58928203582764,1,-0.06761407852172852,0.0077694813,1647.588367231498,0.036440574,218091,1647.588367231498
0.0,3.369108,0.05577128,560.075,399,273.14002442359924,2,0.7716058492660522,0.008071558,1622.3597605022717,0.05577128,220782,1622.3597605022717
0.0,3.3592138,0.0698766,571.4,401,276.6971893310547,2,0.8643561154603958,0.008952495,1653.8578607047962,0.0698766,224880,1653.8578607047962
0.0,3.3274846,0.049359072,586.775,403,280.39319133758545,2,0.6727787256240845,0.007502807,1689.6536199047398,0.049359072,229671,1689.6536199047398
