EpThisIter,EpRewMean,entloss,entropy,optimgain,surrgain,EpTrueRewMean,EpLenMean,EpisodesSoFar,TimestepsSoFar,meankl,ev_tdlam_before,TimeElapsed
15,18.238617,0.0,23.682142,0.16264828,0.16264828,325.91386650326206,64.875,526,67452,0.0080916295,0.624473363161087,717.7108442783356
15,17.417316,0.0,23.690079,0.1721378,0.1721378,325.81002968087597,64.85,541,70443,0.008207925,0.7195708751678467,746.7466287612915
15,18.496326,0.0,23.668852,0.18000022,0.18000022,345.3022118644793,67.725,556,73635,0.008910673,0.716408908367157,774.9854335784912
13,19.378563,0.0,23.686172,0.20584191,0.20584191,364.1202124390746,71.175,569,76500,0.008826574,0.6400245428085327,803.2748029232025
15,16.52219,0.0,23.691008,0.16625205,0.16625205,357.0144025616463,69.4,584,79419,0.008608877,0.6739225685596466,831.7596099376678
15,15.901581,0.0,23.688576,0.17899393,0.17899393,349.9930112317748,68.675,599,82662,0.008594978,0.5712850093841553,859.4921326637268
17,14.527173,0.0,23.679003,0.17308329,0.17308329,339.0510911891186,66.625,616,85818,0.008448354,0.6789665818214417,888.3351883888245
15,16.130545,0.0,23.66638,0.18504149,0.18504149,332.10515853250274,65.55,631,88872,0.008286966,0.6391219794750214,916.2594411373138
14,18.127823,0.0,23.684237,0.17451069,0.17451069,347.3016414357436,68.1,645,91899,0.008646811,0.7233873307704926,944.1314656734467
15,19.427454,0.0,23.690834,0.18734296,0.18734296,359.63794318555836,70.225,660,94926,0.008432436,0.7251720428466797,971.69318318367
15,16.53531,0.0,23.698854,0.17346707,0.17346707,355.48831242723435,68.85,675,98046,0.008345605,0.6489720940589905,999.985894203186
16,14.428493,0.0,23.675016,0.17959046,0.17959046,344.84643830268413,66.425,691,101115,0.008357191,0.5823064744472504,1027.4845461845398
13,16.296207,0.0,23.65723,0.2009562,0.2009562,355.02468053501883,69.6,704,104070,0.008958456,0.6467382609844208,1055.9455032348633
12,19.236416,0.0,23.654314,0.18769819,0.18769819,380.1265289496772,75.05,716,107238,0.008692206,0.6867158114910126,1083.5493335723877
15,19.204077,0.0,23.61586,0.16639654,0.16639654,385.6874306705575,76.4,731,110283,0.0085277725,0.6402876675128937,1112.3736624717712
13,19.01965,0.0,23.603241,0.20021492,0.20021492,387.0567758443946,76.4,744,113238,0.009573006,0.718296080827713,1139.4070670604706
13,16.896631,0.0,23.57886,0.19248638,0.19248638,372.2572002351357,73.275,757,116205,0.008912548,0.795770525932312,1168.4749624729156
13,19.525547,0.0,23.550953,0.18872054,0.18872054,388.704665415606,76.3,770,119286,0.009030623,0.7358845174312592,1196.834634065628
14,18.534626,0.0,23.55847,0.19813313,0.19813313,390.72427159233723,77.125,784,122493,0.008574187,0.5732732713222504,1225.0266754627228
13,18.600346,0.0,23.544725,0.18195789,0.18195789,396.15916805023943,77.8,797,125541,0.008223606,0.6944819688796997,1252.925375699997
13,16.388935,0.0,23.549147,0.19680502,0.19680502,382.34241849829976,76.6,810,128478,0.009356597,0.6943036913871765,1280.5437409877777
12,17.796354,0.0,23.54167,0.17291841,0.17291841,393.72078574903543,78.55,822,131517,0.009551389,0.6916150152683258,1309.605097770691
14,17.857382,0.0,23.505608,0.18520808,0.18520808,394.0493778102316,78.225,836,134640,0.008902656,0.7277495861053467,1336.806159734726
14,18.380579,0.0,23.522804,0.2005835,0.2005835,396.10627822755833,77.6,850,137790,0.008716403,0.6183018386363983,1365.1908514499664
14,18.383703,0.0,23.502853,0.19025683,0.19025683,379.27419128105083,73.1,864,140934,0.009238752,0.6818931102752686,1392.559687614441
13,20.252884,0.0,23.46001,0.2024241,0.2024241,387.6414383311293,75.7,877,144045,0.008745798,0.7433373332023621,1421.6814177036285
