EpisodesSoFar,surrgain,meankl,TimestepsSoFar,EpLenMean,entloss,EpTrueRewMean,EpRewMean,ev_tdlam_before,entropy,EpThisIter,TimeElapsed,optimgain
292,0.08625652,0.00717675,59659,478.775,0.0,886.3692065808806,219.84126,0.8525049537420273,7.478276,2,252.1804428100586,0.08625652
295,0.10275545,0.0072592804,60973,465.4,0.0,891.3537445466924,214.30289,0.901856541633606,7.4743176,3,256.49283146858215,0.10275545
297,0.093242824,0.006225866,62435,466.325,0.0,921.5086004308152,216.33891,0.583903968334198,7.4586954,2,260.78972721099854,0.093242824
300,0.0987747,0.007284026,63469,450.975,0.0,899.7185699289354,208.55093,0.8699255734682083,7.4660797,3,265.0880801677704,0.0987747
304,0.09658946,0.0071221655,64404,446.35,0.0,898.3727322931642,207.19136,0.9374815598130226,7.45361,4,269.4245707988739,0.09658946
308,0.08374068,0.0071762605,65414,428.4,0.0,867.8574577818042,198.92862,0.9247804805636406,7.459305,4,273.73745679855347,0.08374068
311,0.12003021,0.007813733,66428,432.275,0.0,884.3056805097115,202.09683,0.8952314481139183,7.4647703,3,278.073303937912,0.12003021
314,0.09705117,0.007188772,67382,413.425,0.0,845.2746253626086,191.24321,0.8333496600389481,7.4435587,3,282.4190135002136,0.09705117
317,0.11042272,0.007443763,68361,414.6,0.0,852.1754731347658,192.94287,0.6121835112571716,7.4251585,3,286.7800724506378,0.11042272
321,0.08467662,0.0075953584,69363,386.125,0.0,796.7543397588097,180.87875,0.8865666091442108,7.4178915,4,291.1007037162781,0.08467662
322,0.11174622,0.00812086,69948,375.75,0.0,782.1985509340954,177.84729,0.8401997238397598,7.4035,1,295.42223286628723,0.11174622
326,0.08914216,0.0069029867,71118,353.625,0.0,742.6837470968725,169.09097,0.8409586548805237,7.4025273,4,299.735182762146,0.08914216
329,0.13773985,0.007841958,72016,351.875,0.0,744.4926675439477,170.4425,0.5610103607177734,7.3905187,3,304.06002402305603,0.13773985
333,0.119789645,0.008567566,73202,326.15,0.0,689.8610663950211,161.84396,0.8031247854232788,7.382552,4,308.3937814235687,0.119789645
335,0.11649892,0.0073635224,74498,338.125,0.0,711.9377764792282,166.22314,0.8275720626115799,7.3890424,2,312.7524151802063,0.11649892
336,0.088175245,0.0064758295,75498,338.125,0.0,713.835688181273,167.13411,0.5023874044418335,7.39287,1,317.06249237060547,0.088175245
338,0.11168914,0.008420372,76623,347.9,0.0,735.1337294481275,171.50848,0.5995939373970032,7.3938,2,321.37380146980286,0.11168914
341,0.11186589,0.0083601605,77578,347.775,0.0,752.4188428060925,175.76694,0.8694317191839218,7.3978405,3,325.68500804901123,0.11186589
345,0.1179982,0.008979619,78532,346.675,0.0,736.5311650588437,173.58641,0.8456151485443115,7.410599,4,329.9869906902313,0.1179982
349,0.115909114,0.008615974,79461,345.075,0.0,746.5127513145703,175.41617,0.833490177989006,7.4041595,4,334.34465885162354,0.115909114
354,0.09460537,0.008366978,80543,329.025,0.0,711.9048598978983,170.66411,0.8718707859516144,7.418884,5,338.68568301200867,0.09460537
358,0.104583934,0.0079039205,81495,320.725,0.0,693.6519044102016,168.66522,0.8478896021842957,7.4229703,4,343.02322149276733,0.104583934
361,0.10148659,0.0083326325,82363,325.0,0.0,709.2350381480207,172.29721,0.8529873788356781,7.421216,3,347.35576033592224,0.10148659
364,0.104119256,0.008186763,83294,313.1,0.0,692.3187850378075,172.03304,0.9096068143844604,7.4189444,3,351.685115814209,0.104119256
368,0.09828979,0.008161401,84298,311.775,0.0,685.6502906449845,172.35321,0.87165966629982,7.4224234,4,356.019234418869,0.09828979
372,0.095921814,0.0077883536,85271,309.525,0.0,683.7249983036338,172.32892,0.9405521564185619,7.431444,4,360.31432938575745,0.095921814
376,0.10678759,0.008623071,86260,269.05,0.0,596.8894765487291,156.81413,0.866158202290535,7.4237833,4,364.65425276756287,0.10678759
380,0.13556704,0.008340989,87403,251.05,0.0,545.3726434820067,146.8468,0.8555631041526794,7.441696,4,369.0339422225952,0.13556704
384,0.105192274,0.008597528,88287,250.225,0.0,560.8878123615327,151.3204,0.9397779628634453,7.4296746,4,373.3480703830719,0.105192274
388,0.10588404,0.009987593,89192,248.45,0.0,567.4618529132838,152.94983,0.8920833468437195,7.4346447,4,377.70171880722046,0.10588404
391,0.096691325,0.007960048,90039,254.4,0.0,587.9538577566775,159.323,0.8856188282370567,7.419316,3,382.0705552101135,0.096691325
