TimestepsSoFar,entropy,EpThisIter,EpRewMean,EpisodesSoFar,meankl,entloss,EpLenMean,ev_tdlam_before,TimeElapsed,EpTrueRewMean,surrgain,optimgain
886356,23.462423,10,68.88596,3486,0.004287785,0.0,106.275,0.8925417214632034,1895.8778517246246,549.1519740706157,0.179506,0.179506
889602,23.466227,10,69.85712,3496,0.0039273277,0.0,108.325,0.8043662309646606,1902.5583398342133,548.7351621893592,0.15186054,0.15186054
892800,23.464113,11,66.736244,3507,0.00377306,0.0,105.7,0.8751867488026619,1909.2043545246124,528.7660699072558,0.15287086,0.15287086
896058,23.467218,11,65.90271,3518,0.0041084155,0.0,101.175,0.8962705656886101,1915.8241620063782,506.33380479830646,0.15140297,0.15140297
899241,23.471373,9,68.51239,3527,0.014204698,0.0,102.625,0.8506032675504684,1922.5190834999084,507.9991290733216,0.29333115,0.29333115
902001,23.467836,8,70.49393,3535,0.004255392,0.0,106.425,0.867484450340271,1929.1152622699738,535.6042633610705,0.14224413,0.14224413
905073,23.469221,9,71.98503,3544,0.004256066,0.0,110.15,0.8922085091471672,1935.6806094646454,555.9688538983982,0.16307491,0.16307491
908052,23.468523,9,72.66083,3553,0.004277548,0.0,113.75,0.8691352903842926,1942.264521598816,574.9259923860379,0.16299018,0.16299018
911031,23.469465,8,73.0717,3561,0.004252088,0.0,115.4,0.8907088190317154,1948.9293196201324,584.7819893660612,0.1677902,0.1677902
914019,23.466816,10,71.03075,3571,0.004121122,0.0,112.225,0.9240664392709732,1955.5362594127655,575.1015561230255,0.1539984,0.1539984
917301,23.467953,11,68.995026,3582,0.004464495,0.0,106.75,0.9282088205218315,1962.2981526851654,546.3069748916939,0.15367293,0.15367293
920424,23.467772,9,71.45172,3591,0.0038746013,0.0,109.35,0.8894906789064407,1969.1353499889374,557.5529529747857,0.14155298,0.14155298
923175,23.46663,8,70.81881,3599,0.0041307746,0.0,106.8,0.9006764218211174,1975.7725234031677,544.5680104069215,0.15473655,0.15473655
926109,23.46087,9,71.27925,3608,0.014273305,0.0,108.575,0.920702263712883,1982.8215935230255,547.6154742667173,0.28001055,0.28001055
929298,23.460514,10,71.46548,3618,0.0039560664,0.0,109.55,0.8939401432871819,1989.501051902771,548.1488169554921,0.13981496,0.13981496
932199,23.46419,10,69.81842,3628,0.0040451763,0.0,106.175,0.8816847279667854,1996.2003121376038,531.08408234209,0.15817098,0.15817098
