EpRewMean,entloss,EpTrueRewMean,TimeElapsed,EpLenMean,optimgain,EpThisIter,entropy,surrgain,ev_tdlam_before,TimestepsSoFar,meankl,EpisodesSoFar
72.78057,0.0,319.77834265532533,178.7854404449463,65.2,0.19854765,16,23.92254,0.19854765,0.8071047216653824,61278,0.008252488,486
72.23956,0.0,324.4720625996089,187.94419360160828,67.2,0.18700327,15,23.892511,0.18700327,0.8038119524717331,64275,0.0084103625,501
66.38387,0.0,311.01948222069376,196.95145535469055,64.0,0.18525043,16,23.878172,0.18525043,0.7822449505329132,67161,0.008411948,517
64.17082,0.0,314.66594187930383,205.91110277175903,63.95,0.20332442,15,23.8598,0.20332442,0.8003146201372147,70185,0.008848017,532
68.50003,0.0,327.932467027675,214.98836731910706,66.25,0.18419775,16,23.833736,0.18419775,0.8352170288562775,73329,0.007766001,548
70.228905,0.0,322.18205877200523,223.95627212524414,65.9,0.18082562,15,23.827717,0.18082562,0.7973641455173492,76395,0.009195432,563
74.73622,0.0,337.91675235576963,232.98149180412292,69.05,0.18320647,15,23.788332,0.18320647,0.8069915324449539,79644,0.009053107,578
77.66982,0.0,356.94246244173837,241.96539521217346,72.325,0.18065271,13,23.79158,0.18065271,0.8157113641500473,82629,0.0092417635,591
73.08971,0.0,355.06600097674857,251.01696157455444,71.725,0.1971008,15,23.771952,0.1971008,0.7964963018894196,85767,0.009729567,606
72.37857,0.0,349.32283611685875,260.0640182495117,70.975,0.21523091,14,23.765398,0.21523091,0.8018717765808105,88773,0.009484448,620
73.846016,0.0,346.59482668353337,269.13396525382996,71.075,0.18249908,14,23.759604,0.18249908,0.8529398739337921,91767,0.0096330345,634
71.74137,0.0,346.76233132305816,278.169349193573,70.8,0.20106804,15,23.73242,0.20106804,0.8213637620210648,94938,0.009217673,649
67.31739,0.0,338.98100729379513,287.0920855998993,69.725,0.18855254,15,23.692133,0.18855254,0.7978077977895737,98016,0.0093896855,664
73.642845,0.0,347.23520608648823,296.1714098453522,72.1,0.24442874,13,23.665037,0.24442874,0.7573271244764328,101196,0.010287408,677
78.198715,0.0,359.5860759124862,305.38324880599976,74.85,0.20545447,13,23.649738,0.20545447,0.7766702324151993,104094,0.010006904,690
82.559204,0.0,381.4266902807279,314.49980211257935,78.875,0.22950765,14,23.656572,0.22950765,0.8175709992647171,107481,0.009707452,704
77.96786,0.0,381.54312834555157,323.52002477645874,78.625,0.23830548,12,23.651289,0.23830548,0.8115919679403305,110430,0.0097712185,716
72.564026,0.0,359.0497608940823,332.6138048171997,74.575,0.18401423,16,23.626692,0.18401423,0.8421072214841843,113688,0.008831859,732
71.325195,0.0,364.76818165258317,341.76768231391907,76.4,0.19656491,13,23.613203,0.19656491,0.830072671175003,116811,0.0100184195,745
68.52954,0.0,358.9432482915002,350.8748633861542,75.225,0.20100218,13,23.610918,0.20100218,0.8490583151578903,119916,0.009810571,758
72.348816,0.0,380.40139318848816,359.9433813095093,78.45,0.19303614,14,23.58869,0.19303614,0.8326413780450821,123102,0.0098573435,772
74.270584,0.0,374.8247753889831,368.892778635025,76.85,0.19524315,15,23.580809,0.19524315,0.8293321281671524,126387,0.00952524,787
73.77675,0.0,364.16995737456165,378.0012798309326,75.05,0.22357479,13,23.584963,0.22357479,0.887080691754818,129429,0.009958284,800
77.86831,0.0,378.9714950017125,387.0659759044647,78.475,0.20569304,12,23.5744,0.20569304,0.8662178069353104,132519,0.010526797,812
84.55434,0.0,400.26763379147087,396.1700096130371,82.025,0.23701999,12,23.52978,0.23701999,0.8344611674547195,135474,0.0103869615,824
84.21205,0.0,398.9776500373731,405.2448921203613,81.875,0.22715804,13,23.53021,0.22715804,0.8779864460229874,138480,0.0101718195,837
82.81113,0.0,398.1403265075545,414.2930760383606,80.7,0.22143534,13,23.530516,0.22143534,0.8296223431825638,141720,0.010614728,850
76.32881,0.0,379.9385606491615,423.43789315223694,78.175,0.2327972,13,23.51497,0.2327972,0.822745144367218,144636,0.01087789,863
77.46825,0.0,399.47688726057106,432.82220697402954,81.8,0.2024051,12,23.495184,0.2024051,0.8236914575099945,147696,0.01011451,875
73.937775,0.0,377.6677825801321,441.99898886680603,77.75,0.19147843,14,23.487383,0.19147843,0.801368921995163,150822,0.010359666,889
68.96971,0.0,364.3502792744909,451.1527364253998,75.375,0.21886271,15,23.470133,0.21886271,0.8698893785476685,153978,0.010707358,904
65.22298,0.0,344.6288784719493,460.20001125335693,71.2,0.22784775,14,23.456366,0.22784775,0.8460359573364258,157008,0.010404427,918
68.15069,0.0,349.5553731270269,469.2171528339386,71.85,0.19675161,14,23.451723,0.19675161,0.888790562748909,160110,0.010305727,932
76.01857,0.0,367.3139491104624,478.3237428665161,75.4,0.23086774,12,23.44832,0.23086774,0.77989262342453,163026,0.010716445,944
77.81026,0.0,379.05693599977457,487.6472260951996,78.025,0.25152573,12,23.429445,0.25152573,0.8515092879533768,165963,0.010794814,956
85.88838,0.0,404.05695067673724,496.9876046180725,82.4,0.26705912,12,23.423895,0.26705912,0.8282137513160706,169035,0.010358662,968
85.2433,0.0,406.6647269202993,506.14421033859253,82.9,0.1966964,12,23.41748,0.1966964,0.881857268512249,172065,0.009772533,980
86.402565,0.0,409.79452275667416,515.2558281421661,82.725,0.21753338,14,23.412333,0.21753338,0.9028417095541954,175230,0.011079475,994
77.78786,0.0,387.3393992139537,524.4340386390686,77.9,0.26141098,13,23.404535,0.26141098,0.8335242867469788,178176,0.010244619,1007
81.61767,0.0,399.58346718183475,533.6865620613098,80.9,0.22285196,12,23.38128,0.22285196,0.8551109284162521,181518,0.010976663,1019
83.24978,0.0,410.0324887998553,542.8857870101929,82.9,0.22731979,13,23.383062,0.22731979,0.8308889716863632,184737,0.011201357,1032
81.94955,0.0,420.8930915678201,552.0508546829224,84.8,0.47455692,13,23.376772,0.47455692,0.7909864336252213,187812,0.010771206,1045
76.91823,0.0,398.2650704032354,561.2222924232483,80.025,0.22082716,13,23.387861,0.22082716,0.8318621516227722,190920,0.010775769,1058
73.67291,0.0,391.04861231941675,570.3578152656555,78.575,0.20624052,13,23.37988,0.20624052,0.801932692527771,193974,0.011189717,1071
76.6029,0.0,380.6592547391373,579.5343928337097,77.85,0.2894099,14,23.366964,0.2894099,0.8332381844520569,197154,0.010964705,1085
76.424805,0.0,386.6006618165085,588.7366676330566,78.875,0.24627946,12,23.378683,0.24627946,0.829877182841301,200202,0.010985295,1097
78.190575,0.0,388.1868393158934,597.8722290992737,78.8,0.23524913,14,23.383953,0.23524913,0.8794623911380768,203430,0.011160429,1111
81.64278,0.0,411.6594016333085,607.0062935352325,83.575,0.32409662,12,23.378157,0.32409662,0.8691978752613068,206679,0.0118152555,1123
78.81593,0.0,410.483335785858,616.1574068069458,83.35,0.21011463,12,23.344156,0.21011463,0.8675061166286469,209772,0.01131653,1135
85.51359,0.0,436.03736134681384,625.3194844722748,88.675,0.22778545,11,23.341803,0.22778545,0.8464247733354568,212823,0.0118759405,1146
86.672226,0.0,439.1103820145434,634.5230295658112,88.95,0.23973769,12,23.332048,0.23973769,0.8393986523151398,215913,0.011919307,1158
82.19472,0.0,407.5642828945532,643.6504001617432,83.65,0.29071844,13,23.331793,0.29071844,0.8692332357168198,218943,0.012576257,1171
80.45216,0.0,405.478589186171,652.8388950824738,82.825,0.2682683,12,23.335028,0.2682683,0.856238842010498,222027,0.011532405,1183
79.38729,0.0,396.10411860537005,661.9170918464661,81.6,0.22970971,13,23.331541,0.22970971,0.8401923626661301,225045,0.012282554,1196
79.96139,0.0,404.2073250700261,671.0440063476562,82.05,0.25743708,12,23.328924,0.25743708,0.8393820226192474,228027,0.011019104,1208
76.307816,0.0,394.09585823805367,680.1995892524719,79.225,0.24286953,13,23.32282,0.24286953,0.8475889265537262,231087,0.011578115,1221
80.48797,0.0,408.70857223219684,689.3217718601227,82.55,0.23780483,12,23.322933,0.23780483,0.8599238097667694,234183,0.011593825,1233
81.64929,0.0,409.4237387436084,698.5165939331055,83.925,0.24357484,11,23.313555,0.24357484,0.8275109231472015,237108,0.011661438,1244
85.935936,0.0,430.041674269696,707.5900678634644,88.4,0.29507965,10,23.302755,0.29507965,0.834928885102272,240018,0.012170426,1254
