entloss,TimeElapsed,EpisodesSoFar,EpLenMean,ev_tdlam_before,EpRewMean,surrgain,TimestepsSoFar,EpThisIter,meankl,optimgain,EpTrueRewMean,entropy
0.0,531.9259362220764,1388,86.425,0.8029863983392715,53.01903,0.24156047,252600,11,0.011246643,0.24156047,420.63940652916165,23.552168
0.0,538.4541401863098,1402,83.475,0.8008481115102768,52.22219,0.21853565,255804,14,0.010961426,0.21853565,403.9478270686843,23.542963
0.0,545.0359365940094,1415,81.225,0.7814960032701492,48.410606,0.305782,258894,13,0.011083367,0.305782,388.9886118683487,23.5589
0.0,551.6519701480865,1427,81.3,0.7394466400146484,46.894268,0.26136604,261948,12,0.010618912,0.26136604,392.2572867300679,23.564028
0.0,558.223879814148,1439,80.8,0.8147940784692764,45.361126,0.218942,264864,12,0.011457562,0.218942,389.96782866563666,23.561014
0.0,564.779670715332,1453,80.075,0.8415363729000092,45.903263,0.23291488,268050,14,0.011432863,0.23291488,388.828792118389,23.551756
0.0,571.3224530220032,1465,80.95,0.8516061455011368,51.24952,0.37362248,271101,12,0.011249181,0.37362248,398.5028451705501,23.548811
0.0,577.8524742126465,1477,80.525,0.8287785798311234,57.722656,0.24271584,274128,12,0.010923188,0.24271584,402.34678551774635,23.553873
0.0,584.5278477668762,1490,81.8,0.7426373064517975,59.286987,0.22490895,277203,13,0.01113612,0.22490895,408.9324059868701,23.547283
0.0,590.9442045688629,1503,81.15,0.7999608218669891,59.30358,0.22531109,280248,13,0.011073008,0.22531109,403.6016307030652,23.553972
0.0,597.491119146347,1515,81.4,0.8103775233030319,57.623817,0.27510893,283326,12,0.012480104,0.27510893,401.65665920685507,23.542072
0.0,604.0118861198425,1527,82.925,0.8609971255064011,55.307606,0.24038059,286539,12,0.010863424,0.24038059,408.6376083754411,23.537779
0.0,610.5413885116577,1539,86.125,0.7876917868852615,58.382133,0.29881692,289599,12,0.011328379,0.29881692,427.4488418950083,23.53123
0.0,617.0044250488281,1551,85.075,0.7827213704586029,58.73529,0.26127577,292581,12,0.011752146,0.26127577,427.10539008155394,23.533382
0.0,623.7598853111267,1562,85.7,0.6822900772094727,60.692688,0.33389938,295476,11,0.011138089,0.33389938,429.8513819724444,23.545477
0.0,630.4018652439117,1575,84.525,0.8229904025793076,59.535114,0.28190535,298743,13,0.011847764,0.28190535,420.2528838716033,23.547445
0.0,636.9192910194397,1588,82.925,0.8007415384054184,56.85133,0.26319858,301881,13,0.01177777,0.26319858,415.42827658291196,23.558348
0.0,643.4329779148102,1599,86.275,0.8097909688949585,62.612816,0.26221794,304851,11,0.012022981,0.26221794,430.0107454481487,23.559576
0.0,649.9273047447205,1610,88.2,0.8208448439836502,64.923294,0.28682452,308136,11,0.01272227,0.28682452,440.3757056708846,23.57318
0.0,656.8420467376709,1625,85.85,0.7929970324039459,62.787647,0.28831333,311415,15,0.012367658,0.28831333,425.15349449272844,23.56811
0.0,663.6190569400787,1637,85.0,0.820329561829567,59.546833,0.26178828,314589,12,0.011600029,0.26178828,416.23750523280387,23.576824
0.0,670.2097597122192,1649,83.2,0.7509876638650894,60.581398,0.3037129,317820,12,0.012291483,0.3037129,412.59878148250874,23.572245
0.0,676.8183007240295,1661,86.75,0.8145981431007385,64.766106,0.3092641,320931,12,0.0122910105,0.3092641,431.00022135041417,23.56061
0.0,683.3894259929657,1674,81.7,0.7914629131555557,63.09253,0.26779127,323847,13,0.012781106,0.26779127,410.7448093776426,23.558905
0.0,690.0484101772308,1684,85.35,0.7472065389156342,60.9112,0.25690198,326982,10,0.012151514,0.25690198,418.377166075754,23.563902
0.0,696.671707868576,1696,86.85,0.7515264600515366,60.69741,0.2515781,330096,12,0.011622644,0.2515781,425.38221940120764,23.569399
0.0,703.2986657619476,1708,88.625,0.8350133001804352,59.96875,0.2651996,333180,12,0.012411267,0.2651996,429.12076836771865,23.576109
0.0,709.8574390411377,1720,87.35,0.7763232886791229,60.284157,0.26954687,336288,12,0.0122877,0.26954687,423.3821592060561,23.581316
0.0,716.4886703491211,1732,84.9,0.7980710715055466,58.430748,0.27342218,339357,12,0.012347609,0.27342218,416.3354377348792,23.57585
0.0,723.0588569641113,1743,87.475,0.8383396416902542,61.868874,0.28841335,342498,11,0.013477111,0.28841335,433.1284574216237,23.564943
0.0,729.6628904342651,1756,85.375,0.8515858054161072,60.97743,0.24432379,345693,13,0.012425771,0.24432379,424.675839806587,23.550802
0.0,736.4758200645447,1766,89.125,0.8505475372076035,65.26166,0.28614235,348483,10,0.012258545,0.28614235,444.6370332337725,23.5555
0.0,743.1147344112396,1778,89.625,0.8492322415113449,64.208824,0.2746924,351699,12,0.012556504,0.2746924,447.0600858646834,23.567379
0.0,749.709596157074,1791,85.375,0.8549343347549438,60.22937,0.23143971,354849,13,0.011969147,0.23143971,425.37513337751113,23.567362
0.0,756.3318364620209,1804,82.425,0.8225532025098801,55.441277,0.2651236,357939,13,0.012657946,0.2651236,408.39936477075634,23.565752
0.0,762.9794080257416,1817,79.9,0.87762451171875,55.937366,0.2528105,361107,13,0.012774687,0.2528105,392.6639589730632,23.56545
0.0,769.5081140995026,1830,80.425,0.8695098161697388,56.810474,0.23311031,364299,13,0.012494719,0.23311031,391.7406449901641,23.56911
0.0,776.15958070755,1842,83.1,0.8094349354505539,61.6674,0.26938015,367491,12,0.0124153625,0.26938015,410.55755836815536,23.561949
0.0,782.8203086853027,1855,82.475,0.8461212515830994,60.32015,0.24207246,370491,13,0.012807385,0.24207246,410.5204240306548,23.548895
0.0,789.3430631160736,1868,80.95,0.8132414072751999,58.377136,0.26541865,373566,13,0.01194568,0.26541865,407.4637295368878,23.543966
0.0,796.0226898193359,1881,78.575,0.9018092378973961,56.252483,0.31879145,376740,13,0.012733252,0.31879145,393.156797332979,23.5506
0.0,802.6361057758331,1893,82.8,0.8628760874271393,59.443672,0.2663938,380004,12,0.012103891,0.2663938,412.8254512927116,23.551764
0.0,809.2961785793304,1905,84.9,0.8570102155208588,60.313927,0.28171238,383145,12,0.01299526,0.28171238,420.08926250634767,23.54793
0.0,815.9079570770264,1916,91.15,0.8880704566836357,64.15604,0.3231293,386427,11,0.012370169,0.3231293,452.55135293723777,23.551691
0.0,822.4367337226868,1928,89.2,0.8585561960935593,60.91384,0.25040168,389544,12,0.012572398,0.25040168,450.5429303740363,23.54793
0.0,829.0897665023804,1940,89.375,0.8179749399423599,60.392418,0.30336213,392508,12,0.013130246,0.30336213,453.9623975579323,23.545895
0.0,835.625216960907,1951,87.2,0.8298019766807556,58.14038,0.28148824,395574,11,0.012324531,0.28148824,445.0454793872327,23.54157
0.0,842.1296429634094,1962,87.35,0.8766503408551216,59.04543,0.28530222,398556,11,0.013462784,0.28530222,441.9161936519363,23.540705
0.0,848.8297255039215,1973,92.35,0.8617140352725983,64.13145,0.3078054,401637,11,0.01285479,0.3078054,463.02359799635616,23.53703
0.0,855.4215795993805,1986,88.125,0.8527108579874039,62.802574,0.2570396,404805,13,0.0118892845,0.2570396,437.28339829003164,23.53924
0.0,861.9471294879913,1998,87.375,0.8398653715848923,64.36757,0.24832216,407958,12,0.01318457,0.24832216,439.5519793793925,23.547361
0.0,868.613781452179,2010,87.6,0.8659728020429611,61.566364,0.2765466,411264,12,0.0147448415,0.2765466,437.9122376713174,23.541666
0.0,875.2321336269379,2021,89.1,0.8205901086330414,59.349304,0.28741908,414282,11,0.011529216,0.28741908,445.36149280389657,23.537355
0.0,881.8706109523773,2032,91.75,0.8490697294473648,59.551086,0.32017243,417384,11,0.013275076,0.32017243,457.57754401466127,23.54354
0.0,888.4275228977203,2044,89.425,0.8276581168174744,55.455303,0.26149297,420471,12,0.013228405,0.26149297,444.9830909730696,23.540462
0.0,895.0353662967682,2055,92.7,0.8106188327074051,59.171764,0.2859094,423711,11,0.012364866,0.2859094,465.5526400592454,23.528097
0.0,901.6684155464172,2065,93.175,0.8472135066986084,60.909157,0.27245867,426663,10,0.013078751,0.27245867,471.40143296845145,23.52653
0.0,908.3100354671478,2077,92.3,0.8163427114486694,60.761097,0.32543492,429756,12,0.012931779,0.32543492,470.2220762776461,23.532635
0.0,914.8720235824585,2089,89.3,0.82615627348423,57.9305,0.28495654,432897,12,0.013124069,0.28495654,456.5423944333731,23.532698
0.0,921.4686367511749,2101,92.15,0.8069186210632324,59.72411,0.2623163,436317,12,0.013076772,0.2623163,471.8568588176455,23.528402
0.0,928.2085692882538,2112,88.375,0.8177013993263245,55.52578,0.2571304,439251,11,0.01382797,0.2571304,446.9973346622364,23.532896
0.0,935.1631271839142,2121,97.0,0.7629872411489487,61.33909,0.31818372,442353,9,0.013478309,0.31818372,484.65694336689666,23.537128
0.0,941.8844294548035,2133,95.85,0.7813703715801239,64.06991,0.27455127,445581,12,0.013134431,0.27455127,481.6377299924787,23.531673
0.0,948.5210406780243,2144,96.4,0.8717173784971237,67.248085,0.2619929,448620,11,0.012954485,0.2619929,480.69351222999455,23.53222
0.0,955.0970478057861,2155,98.275,0.8454445749521255,68.73767,0.31780475,451854,11,0.013594363,0.31780475,489.7587898723321,23.521566
0.0,961.7075316905975,2167,92.625,0.8960661292076111,63.383675,0.2598908,455052,12,0.013007245,0.2598908,460.34889118408273,23.523924
0.0,968.3386256694794,2177,95.95,0.8548238277435303,66.20471,0.28906572,458142,10,0.014628213,0.28906572,474.8892950279111,23.51849
0.0,974.962819814682,2189,91.05,0.8516385108232498,64.15258,0.26657036,461172,12,0.012756462,0.26657036,456.616989109997,23.50472
0.0,981.4779238700867,2201,88.0,0.7580724656581879,61.18345,0.29635203,464223,12,0.013371041,0.29635203,448.3246430446479,23.503584
0.0,987.9984843730927,2212,85.725,0.8693718761205673,59.92979,0.335236,467055,11,0.013966935,0.335236,433.46686227998407,23.501242
