EpThisIter,EpLenMean,EpTrueRewMean,TimeElapsed,optimgain,entropy,entloss,surrgain,meankl,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar,EpRewMean
5,172.5,172.5,543.3242597579956,0.006524033,0.5607234,0.0,0.006524033,0.0042654984,0.3451853394508362,117579,728,68.640976
6,185.25,185.25,548.5682284832001,0.008128118,0.5531199,0.0,0.008128118,0.009228358,0.510131299495697,118779,734,76.60634
5,196.45,196.45,554.0372791290283,0.0064618485,0.5331381,0.0,0.0064618485,0.007343057,0.3136522173881531,119779,739,87.4562
5,198.15,198.15,558.3576953411102,0.011314228,0.51124275,0.0,0.011314228,0.007937007,0.451330304145813,120779,744,93.04348
5,200.0,200.0,562.9969244003296,0.0055347555,0.54057264,0.0,0.0055347555,0.0080246935,0.2847750782966614,121779,749,100.22981
5,200.0,200.0,567.6191298961639,0.00906992,0.5034964,0.0,0.00906992,0.0087889545,0.254463255405426,122779,754,105.57576
5,200.0,200.0,572.9489948749542,0.0035412814,0.53778803,0.0,0.0035412814,0.006172721,0.544954240322113,123779,759,112.477394
5,200.0,200.0,577.9156861305237,0.009010831,0.53901327,0.0,0.009010831,0.007167484,0.6041188538074493,124779,764,119.97886
5,200.0,200.0,582.852442741394,0.019253382,0.5157285,0.0,0.019253382,0.009049861,0.5410867035388947,125779,769,130.06557
5,200.0,200.0,587.5508143901825,0.010549506,0.5211347,0.0,0.010549506,0.0075133527,0.6155209243297577,126779,774,136.77843
6,200.0,200.0,592.0797896385193,0.011676963,0.5140726,0.0,0.011676963,0.008843447,0.5860510468482971,127979,780,140.61023
5,200.0,200.0,597.4382991790771,0.0074475715,0.5574509,0.0,0.0074475715,0.00813546,0.7714793980121613,128979,785,147.0159
6,193.675,193.675,601.9036555290222,0.013737101,0.5033201,0.0,0.013737101,0.008103915,0.4091770648956299,129926,791,149.96494
5,193.675,193.675,607.2593359947205,0.0056851897,0.5562848,0.0,0.0056851897,0.007449565,0.7508779317140579,130926,796,157.68077
5,193.675,193.675,612.6745386123657,0.008455065,0.56393397,0.0,0.008455065,0.007162755,0.7750624269247055,131926,801,165.49495
5,193.675,193.675,616.7334563732147,0.008033633,0.53984857,0.0,0.008033633,0.00947112,0.5770377218723297,132926,806,168.45459
6,193.675,193.675,621.7837262153625,0.005894592,0.53905874,0.0,0.005894592,0.0045780856,0.5408755540847778,134126,812,179.44968
6,189.025,189.025,626.6868064403534,0.014607143,0.49798965,0.0,0.014607143,0.007621696,0.6279536783695221,135140,818,184.51144
5,185.475,185.475,631.7990221977234,0.014446008,0.5134615,0.0,0.014446008,0.007411218,0.4982116222381592,135998,823,184.42134
6,191.8,191.8,636.7426176071167,0.006693356,0.5615325,0.0,0.006693356,0.0055531496,0.7460522949695587,137198,829,199.29301
5,191.8,191.8,642.1334998607635,0.0126786465,0.55472046,0.0,0.0126786465,0.008849509,0.5583271980285645,138198,834,199.59239
6,186.35,186.35,646.8640265464783,0.01747662,0.5252443,0.0,0.01747662,0.0069371024,0.7257463037967682,139180,840,194.56767
5,186.05,186.05,651.8706777095795,0.007791072,0.5368544,0.0,0.007791072,0.0062554544,0.8857842981815338,140168,845,194.66953
5,185.2,185.2,657.090414762497,0.0114299925,0.5658607,0.0,0.0114299925,0.006539132,0.9487620554864407,141134,850,189.17873
6,188.1,188.1,662.1063687801361,0.010732735,0.56142724,0.0,0.010732735,0.008939669,0.8755970448255539,142264,856,180.22775
5,191.65,191.65,667.021894454956,0.007195408,0.5517217,0.0,0.007195408,0.0060499343,0.7904382944107056,143264,861,174.85054
5,191.65,191.65,671.4580397605896,0.011084843,0.5588888,0.0,0.011084843,0.007819747,0.7131389081478119,144264,866,163.36362
5,191.65,191.65,676.0258324146271,0.010957787,0.5182301,0.0,0.010957787,0.0076447367,0.3482998013496399,145264,871,152.70357
5,191.65,191.65,680.4997863769531,0.009913353,0.544036,0.0,0.009913353,0.010418493,0.32980144023895264,146264,876,144.84364
6,193.6,193.6,685.3833272457123,0.009657557,0.51373243,0.0,0.009657557,0.008506134,0.3848281502723694,147324,882,137.60281
5,194.275,194.275,690.4709613323212,0.011260817,0.576694,0.0,0.011260817,0.008529448,0.47757261991500854,148324,887,132.30013
6,194.1,194.1,695.662389755249,0.020199034,0.5146172,0.0,0.020199034,0.00939842,0.5461450517177582,149496,893,127.57117
5,195.8,195.8,700.0759944915771,0.006543005,0.50622034,0.0,0.006543005,0.008033246,0.48709648847579956,150496,898,126.22301
5,195.8,195.8,703.7690517902374,0.0035705685,0.56910694,0.0,0.0035705685,0.0067652483,0.5406520664691925,151496,903,124.586876
5,195.8,195.8,708.8168544769287,0.012538418,0.5503932,0.0,0.012538418,0.009548111,0.5692003667354584,152496,908,122.442795
5,195.8,195.8,713.0016121864319,0.0072835265,0.53753746,0.0,0.0072835265,0.0063923644,0.5823127925395966,153496,913,119.39612
5,195.8,195.8,718.0409309864044,0.010495749,0.49939936,0.0,0.010495749,0.008769552,0.6409032642841339,154496,918,116.22774
5,199.3,199.3,723.3135530948639,0.0042677685,0.5230818,0.0,0.0042677685,0.007103584,0.5693800449371338,155496,923,114.33887
5,199.3,199.3,728.0378694534302,0.009521147,0.5539944,0.0,0.009521147,0.006103057,0.6315422356128693,156496,928,110.304344
6,200.0,200.0,733.316234588623,0.0070101568,0.5320673,0.0,0.0070101568,0.008760583,0.6711686253547668,157696,934,106.10964
5,200.0,200.0,738.0582547187805,0.006033556,0.5349826,0.0,0.006033556,0.008217545,0.4217618703842163,158696,939,101.88011
6,194.475,194.475,742.5770831108093,0.01422449,0.502944,0.0,0.01422449,0.007814912,0.4340001940727234,159675,945,93.96763
5,194.475,194.475,747.3917117118835,0.007957524,0.5081565,0.0,0.007957524,0.008362463,0.46949219703674316,160675,950,88.601074
5,194.475,194.475,752.2029316425323,0.007014423,0.52285784,0.0,0.007014423,0.008600115,0.3327450752258301,161675,955,83.30201
5,194.475,194.475,757.1523251533508,0.008748809,0.5144394,0.0,0.008748809,0.008538624,0.07541483640670776,162675,960,77.24263
6,193.4,193.4,761.7726571559906,0.011633609,0.48869243,0.0,0.011633609,0.009875029,0.24427080154418945,163832,966,69.83658
5,193.4,193.4,766.1913349628448,0.009893779,0.52615297,0.0,0.009893779,0.009167114,-0.3741738796234131,164832,971,63.397266
5,193.4,193.4,770.8930683135986,0.009669829,0.49685362,0.0,0.009669829,0.009038523,-0.04575693607330322,165832,976,57.491566
