EpRewMean,surrgain,ev_tdlam_before,EpThisIter,EpisodesSoFar,optimgain,EpLenMean,EpTrueRewMean,entloss,TimeElapsed,meankl,TimestepsSoFar,entropy
189.98929,0.12001822,0.9080595597624779,2,921,0.12001822,700.2,2188.810127632343,0.0,7742.666231393814,0.009983453,948144,6.4377294
192.04619,0.11476003,0.7950632572174072,2,923,0.11476003,705.525,2206.062393763449,0.0,7768.836490869522,0.0113820825,952560,6.440663
199.953,0.122978434,0.8871419727802277,2,925,0.122978434,730.2,2317.5005922635596,0.0,7793.929807186127,0.010633776,956904,6.4216385
199.1834,0.15502194,0.8265595585107803,1,926,0.15502194,725.925,2300.7803144524705,0.0,7819.159427404404,0.011093967,958698,6.4201922
200.87054,0.10153761,0.6425599157810211,2,928,0.10153761,727.6,2305.624476907282,0.0,7844.126319169998,0.010582278,963087,6.425414
200.81595,0.088475764,0.05872499942779541,1,929,0.088475764,727.6,2315.1808535284945,0.0,7870.25652885437,0.010014974,966087,6.436542
205.2603,0.09188605,0.040205538272857666,1,930,0.09188605,746.825,2384.8879762230363,0.0,7894.97810959816,0.010957979,969087,6.4169617
196.51984,0.11800961,0.6529078781604767,3,933,0.11800961,714.625,2268.368790497057,0.0,7921.069942712784,0.011212878,972186,6.4139595
196.57767,0.12393652,0.8163477033376694,2,935,0.12393652,709.675,2260.7858563506697,0.0,7946.101521492004,0.010301993,974949,6.397907
188.95296,0.10396205,0.6628211438655853,3,938,0.10396205,687.425,2190.222167289591,0.0,7972.398670911789,0.011383983,980334,6.3943043
190.65042,0.097149886,-0.05118989944458008,1,939,0.097149886,696.875,2215.7751638498803,0.0,7997.470204114914,0.0132971415,983334,6.35897
189.57114,0.10463504,0.38586896657943726,2,941,0.10463504,694.3,2198.4773770636957,0.0,8023.218169927597,0.013166643,987369,6.3396525
189.24431,0.10748361,0.006449460983276367,1,942,0.10748361,694.3,2190.6567179448575,0.0,8047.787614822388,0.010286265,990369,6.318022
191.96182,0.09456387,-0.032897353172302246,2,944,0.09456387,703.575,2230.786910864604,0.0,8074.151328802109,0.010758995,995727,6.3288913
199.14871,0.12323121,0.6703649163246155,2,946,0.12323121,729.3,2323.0399444256445,0.0,8099.383748292923,0.01051594,1000689,6.3000255
