TimeElapsed,surrgain,EpLenMean,EpTrueRewMean,entloss,EpThisIter,meankl,optimgain,entropy,EpRewMean,TimestepsSoFar,EpisodesSoFar,ev_tdlam_before
1638.9137952327728,0.11051138,622.275,2144.4881271301965,0.0,2,0.011736156,0.11051138,6.4357114,350.14056,385937,1086,0.6389775276184082
1643.160398721695,0.12649986,639.0,2207.7235237258305,0.0,1,0.011639159,0.12649986,6.4201035,359.10675,386937,1087,0.8346182852983475
1647.4392895698547,0.12328854,639.0,2210.0902882805963,0.0,1,0.011656584,0.12328854,6.417175,358.72388,387937,1088,0.767205148935318
1651.7552263736725,0.08047602,646.1,2234.9487971894714,0.0,1,0.0037476877,0.08047602,6.386592,362.09277,388731,1089,0.6851026117801666
1656.005274772644,0.07538487,654.775,2266.8952568340073,0.0,1,0.0038166153,0.07538487,6.403702,367.38214,389381,1090,0.760656550526619
1660.2354609966278,0.10000846,648.55,2243.5219509019835,0.0,2,0.01435348,0.10000846,6.410263,364.40054,390698,1092,0.49720925092697144
1664.5247678756714,0.106475376,662.875,2292.618753339244,0.0,2,0.011255833,0.106475376,6.3917427,371.23615,391886,1094,0.7428510785102844
1668.8051483631134,0.09912284,682.7,2366.4180111320848,0.0,1,0.01149509,0.09912284,6.3706017,381.93402,392886,1095,0.15301203727722168
1673.1297297477722,0.08204202,682.7,2363.1765475140883,0.0,1,0.011373808,0.08204202,6.390793,382.70062,393886,1096,0.29002833366394043
1677.4122586250305,0.107103266,696.9,2413.9916492899447,0.0,2,0.0118572,0.107103266,6.401291,389.76215,395323,1098,0.7226898968219757
1681.7416887283325,0.09446284,704.525,2439.1451585075056,0.0,2,0.011358803,0.09446284,6.35173,392.33408,396574,1100,0.7404589056968689
1686.0448458194733,0.11184753,696.675,2406.3867227520423,0.0,2,0.011627828,0.11184753,6.3160353,387.37424,397350,1102,0.9214509502053261
1690.3309032917023,0.09225858,713.45,2467.6595539784475,0.0,1,0.009890512,0.09225858,6.294068,396.35336,398350,1103,-0.5174479484558105
1694.6668770313263,0.111075886,706.275,2434.505796858693,0.0,1,0.010614319,0.111075886,6.291546,391.1402,398992,1104,0.6276676952838898
1698.9686925411224,0.0937005,722.5,2487.7924946347434,0.0,1,0.011987222,0.0937005,6.2975426,398.72977,399992,1105,-0.08250463008880615
1703.2586901187897,0.13811943,727.025,2505.122026169992,0.0,2,0.01461529,0.13811943,6.2810054,402.51352,401094,1107,0.8969115912914276
1707.544023990631,0.111649245,727.025,2507.552589089245,0.0,1,0.011003947,0.111649245,6.2685084,403.29285,402094,1108,0.00532907247543335
1711.8302986621857,0.15354109,730.65,2519.918727459736,0.0,2,0.013944278,0.15354109,6.2700853,406.1625,403648,1110,0.9356224909424782
1716.087152004242,0.12836824,684.75,2350.39926216526,0.0,3,0.012611676,0.12836824,6.2578077,382.59515,404790,1113,0.9141438007354736
1720.3582775592804,0.117913224,706.175,2418.9600638745824,0.0,1,0.012513649,0.117913224,6.2697716,394.42148,405790,1114,0.3271560072898865
1724.9658472537994,0.16915262,706.2,2416.501508455899,0.0,2,0.013041861,0.16915262,6.260697,394.4935,406976,1116,0.9209522530436516
1729.2943005561829,0.09106703,714.325,2446.2879491239228,0.0,1,0.011476707,0.09106703,6.2325892,399.0272,407976,1117,0.2331884503364563
1733.5636765956879,0.14762408,711.175,2443.1938577736564,0.0,1,0.012969659,0.14762408,6.2379775,399.46558,408850,1118,0.6963448822498322
1737.8709967136383,0.11879679,692.85,2371.5780734975765,0.0,3,0.014274575,0.11879679,6.217592,390.88654,410146,1121,0.9307053312659264
1742.121337890625,0.12566352,680.575,2309.3923760005537,0.0,2,0.011684783,0.12566352,6.239055,382.232,411025,1123,0.9030435383319855
1746.3681011199951,0.08688955,685.7,2324.8820103542776,0.0,1,0.005695609,0.08688955,6.224319,383.48895,412025,1124,0.47470712661743164
1750.6357769966125,0.08848305,674.4,2282.2958400108255,0.0,1,0.004021408,0.08848305,6.256225,377.6163,412573,1125,0.9137198552489281
1754.9108459949493,0.104472384,662.55,2213.8231913777972,0.0,3,0.013638256,0.104472384,6.2619786,369.4919,414439,1128,0.8281235545873642
1759.214450597763,0.13846785,653.7,2179.4068291779586,0.0,1,0.012715633,0.13846785,6.2567787,365.25812,414879,1129,0.9422154165804386
1763.448736190796,0.16420403,674.55,2260.259874233899,0.0,2,0.013257105,0.16420403,6.2695885,375.74326,416680,1131,0.9690094478428364
1767.6951746940613,0.089110225,674.55,2258.594241598437,0.0,1,0.011427823,0.089110225,6.2758946,376.1352,417680,1132,0.22251081466674805
1771.928094625473,0.1123166,663.625,2222.648226899936,0.0,2,0.012589862,0.1123166,6.302678,370.64746,418431,1134,0.9412135146558285
1776.195647239685,0.16099483,661.8,2223.5319788946313,0.0,1,0.012301216,0.16099483,6.3042445,371.69736,419358,1135,0.7806396335363388
