surrgain,optimgain,EpisodesSoFar,EpLenMean,entropy,TimeElapsed,meankl,EpTrueRewMean,EpThisIter,EpRewMean,TimestepsSoFar,ev_tdlam_before,entloss
0.08508228,0.08508228,257,522.6,7.776734,297.70798563957214,0.0076119797,659.6848774857993,3,659.6848774857993,152058,0.7304071187973022,0.0
0.12284281,0.12284281,259,531.675,7.806103,303.7008330821991,0.006834382,667.1243579760442,2,667.1243579760442,155514,0.9588129594922066,0.0
0.089754894,0.089754894,261,532.25,7.8202524,309.6879072189331,0.0064845346,666.4122380263832,2,666.4122380263832,158499,0.8524596840143204,0.0
0.0925664,0.0925664,263,506.425,7.8068852,315.61301136016846,0.0067043225,657.3983897074033,2,657.3983897074033,161400,0.889105536043644,0.0
0.10633551,0.10633551,264,521.475,7.809815,321.5870246887207,0.0072343946,680.355392421336,1,680.355392421336,163710,0.7486315965652466,0.0
0.076538816,0.076538816,267,507.475,7.815783,327.5752396583557,0.007993823,660.1768585594745,3,660.1768585594745,167442,0.8989274948835373,0.0
0.10944681,0.10944681,270,505.375,7.792129,333.54903745651245,0.008131492,676.822672699615,3,676.822672699615,171831,0.9121043533086777,0.0
0.08567495,0.08567495,273,490.225,7.790146,339.55903482437134,0.005984882,667.1935968801321,3,667.1935968801321,174858,0.9016631990671158,0.0
0.10183108,0.10183108,276,457.05,7.7976723,345.53698110580444,0.0075646536,644.4160553142653,3,644.4160553142653,177372,0.935451865196228,0.0
0.1038546,0.1038546,279,474.35,7.793582,351.52013301849365,0.008032592,679.6160660844886,3,679.6160660844886,182025,0.9004981443285942,0.0
0.1506126,0.1506126,281,465.375,7.79979,357.50066113471985,0.0073551065,685.9113902985205,2,685.9113902985205,184863,0.9024909436702728,0.0
0.122718826,0.122718826,283,473.075,7.811875,363.4684910774231,0.0071249725,702.2030976030286,2,702.2030976030286,188400,0.8613311797380447,0.0
0.12913403,0.12913403,285,475.55,7.8046837,369.45447158813477,0.007943159,719.8400030384743,2,719.8400030384743,190761,0.8119101077318192,0.0
0.10791889,0.10791889,288,461.925,7.7968717,375.5415849685669,0.0064320145,711.6065026931865,3,711.6065026931865,193767,0.9464249089360237,0.0
0.09697979,0.09697979,290,481.125,7.7886505,381.5837781429291,0.0071837096,744.7096708487977,2,744.7096708487977,198258,0.8534283488988876,0.0
0.10534887,0.10534887,292,464.4,7.7882075,387.59699606895447,0.008057576,727.8979634454636,2,727.8979634454636,201354,0.7816003412008286,0.0
0.1356407,0.1356407,295,459.1,7.7743993,393.6123695373535,0.006961601,726.1166082803888,3,726.1166082803888,205089,0.8378728181123734,0.0
0.11145308,0.11145308,297,472.375,7.790588,399.6024191379547,0.007520929,752.0960374436152,2,752.0960374436152,208743,0.8458448052406311,0.0
0.1348115,0.1348115,299,464.0,7.7866974,405.59051847457886,0.0071420223,759.39284339804,2,759.39284339804,211194,0.8624429553747177,0.0
