EpLenMean,entloss,TimeElapsed,EpRewMean,EpThisIter,EpisodesSoFar,optimgain,surrgain,meankl,ev_tdlam_before,TimestepsSoFar,entropy,EpTrueRewMean
91.375,0.0,3617.8266315460205,14.667961,10,1885,0.24485728,0.24485728,0.011780151,0.8280985653400421,384150,23.236252,465.5040799642955
93.375,0.0,3646.89071559906,15.710071,11,1896,0.3947593,0.3947593,0.011491374,0.7772520333528519,387027,23.2345,475.19495084633564
93.65,0.0,3674.565719127655,16.002438,11,1907,0.2567569,0.2567569,0.012113126,0.7077489793300629,390228,23.237251,477.883767848619
93.8,0.0,3703.9585576057434,16.514393,11,1918,0.27189004,0.27189004,0.012035696,0.6321193873882294,393225,23.236479,481.1258604854667
89.125,0.0,3732.143630504608,16.457651,12,1930,0.25070244,0.25070244,0.013212151,0.7396431565284729,396213,23.23242,456.6416854901827
90.375,0.0,3760.714462995529,17.00792,12,1942,0.2751835,0.2751835,0.012875084,0.8143275827169418,399486,23.225346,463.4784028644555
87.65,0.0,3789.4655301570892,16.890787,12,1954,0.25825846,0.25825846,0.011874729,0.7310778498649597,402621,23.22573,448.94121044827324
84.3,0.0,3818.18345618248,16.039719,14,1968,0.26600304,0.26600304,0.012750495,0.7011274099349976,405897,23.225548,436.9830229011777
83.8,0.0,3847.642189025879,15.221585,12,1980,0.251669,0.251669,0.012081213,0.7637698203325272,408933,23.229307,433.0914313772158
84.575,0.0,3875.0186207294464,14.9352665,10,1990,0.2603987,0.2603987,0.011787789,0.6351698040962219,411876,23.228468,435.55707995910234
87.125,0.0,3904.0866742134094,14.572736,12,2002,0.28468174,0.28468174,0.01356845,0.6643732488155365,414930,23.220873,449.8487022846046
89.65,0.0,3932.5106580257416,14.879425,12,2014,0.26419073,0.26419073,0.012521114,0.7544271796941757,418071,23.219633,467.0230236755809
84.575,0.0,3960.3103725910187,13.531488,13,2027,0.3124946,0.3124946,0.013720623,0.7348280847072601,421218,23.213457,444.2582867518689
82.725,0.0,3989.20866727829,13.759348,12,2039,0.29322857,0.29322857,0.014367877,0.7477444112300873,424116,23.210054,430.952559795637
82.8,0.0,4018.5379886627197,13.808275,12,2051,0.30335626,0.30335626,0.012281954,0.8191456943750381,427164,23.208591,424.767081076234
82.7,0.0,4046.38906955719,14.277616,12,2063,0.2613025,0.2613025,0.012215874,0.7855584174394608,430266,23.21637,421.9262902467569
86.0,0.0,4075.411958217621,15.47876,12,2075,0.27463686,0.27463686,0.012368111,0.7316242456436157,433392,23.213713,440.0521040895842
88.0,0.0,4103.83850479126,16.338654,11,2086,0.27168402,0.27168402,0.012030862,0.7790005505084991,436521,23.206297,457.57668754964624
89.3,0.0,4133.016953468323,16.431225,11,2097,0.2515525,0.2515525,0.0119466055,0.7917207032442093,439587,23.200768,465.4160601557014
92.9,0.0,4162.453572750092,16.59612,10,2107,0.25340182,0.25340182,0.0117965415,0.7792007476091385,442518,23.201283,480.94343373814735
93.8,0.0,4190.327073335648,16.547935,11,2118,0.308031,0.308031,0.012998758,0.726584255695343,445494,23.199234,484.8558467802044
96.225,0.0,4219.586458683014,16.9856,10,2128,0.27170208,0.27170208,0.01297711,0.7159721255302429,448419,23.202682,496.0546284427319
90.95,0.0,4247.523874044418,16.22208,12,2140,0.25511062,0.25511062,0.013229253,0.7794688194990158,451350,23.2025,471.7941411105614
88.025,0.0,4276.203753709793,16.122488,12,2152,0.30166858,0.30166858,0.0133936955,0.737914115190506,454407,23.1968,458.8772696254411
87.325,0.0,4304.390892267227,15.30744,12,2164,0.29703146,0.29703146,0.012677821,0.7233224213123322,457392,23.19355,453.96765529242856
85.3,0.0,4333.919564008713,15.457153,11,2175,0.27058992,0.27058992,0.012195131,0.710051417350769,460392,23.196453,446.0202972591472
86.3,0.0,4362.008130788803,15.998357,12,2187,0.25713092,0.25713092,0.012884951,0.7600720971822739,463695,23.197527,449.91179026673035
90.0,0.0,4390.535981893539,16.220852,12,2199,0.30222547,0.30222547,0.013809765,0.8350276052951813,466794,23.187243,465.65072714262305
85.775,0.0,4420.279995679855,15.285693,12,2211,0.2786862,0.2786862,0.013469116,0.6969476640224457,469635,23.187805,443.15413337441385
82.95,0.0,4448.155064344406,15.320081,12,2223,0.37318763,0.37318763,0.014516832,0.45974016189575195,472590,23.192333,429.8172756026438
84.9,0.0,4477.629093647003,16.171228,11,2234,0.26871765,0.26871765,0.012187342,0.7797906547784805,475647,23.188213,443.5600140241146
84.025,0.0,4505.073075771332,15.824402,12,2246,0.27796307,0.27796307,0.012998361,0.7963661849498749,478725,23.180088,439.0581763137716
88.575,0.0,4534.396701335907,15.515073,12,2258,0.2746569,0.2746569,0.012942326,0.8254399299621582,481920,23.185778,456.8418568881202
88.65,0.0,4562.781304359436,15.567845,11,2269,0.29832113,0.29832113,0.013554262,0.7441135942935944,484884,23.18356,459.4672488862913
89.625,0.0,4591.4214696884155,15.085065,11,2280,0.25386378,0.25386378,0.012441492,0.6613244414329529,487920,23.185863,458.1467461735442
90.325,0.0,4619.022359132767,15.320877,12,2292,0.33724397,0.33724397,0.014786395,0.7402832210063934,491247,23.183754,464.5663123723305
90.85,0.0,4648.4114282131195,14.932406,12,2304,0.46446553,0.46446553,0.013527263,0.6001871526241302,494307,23.180498,463.32189900755566
85.55,0.0,4677.806156873703,14.433148,12,2316,0.27496207,0.27496207,0.01333113,0.7650809586048126,497226,23.17506,436.85900108274984
83.85,0.0,4704.884170055389,14.569803,13,2329,0.24381174,0.24381174,0.013283541,0.7834985554218292,500496,23.17411,426.43394214542303
86.45,0.0,4734.577779531479,14.770155,12,2341,0.2939512,0.2939512,0.013648152,0.7530131340026855,503778,23.178576,443.52113147626767
86.375,0.0,4763.1577932834625,15.345139,11,2352,0.27764383,0.27764383,0.013832689,0.7660630196332932,506703,23.183685,447.54048844151856
87.1,0.0,4792.501896619797,15.24962,13,2365,0.25438783,0.25438783,0.013638677,0.7752841114997864,509934,23.18535,453.4213381052135
86.825,0.0,4820.245297193527,16.45997,12,2377,0.36281934,0.36281934,0.013117799,0.7219772040843964,513030,23.178444,454.8944052802831
85.45,0.0,4849.6019551754,15.7998705,12,2389,0.32794255,0.32794255,0.013352166,0.7754745334386826,516264,23.180737,445.41536578025745
87.55,0.0,4878.927973747253,16.349016,12,2401,0.27634132,0.27634132,0.014486278,0.8394050449132919,519411,23.176537,458.23712147607
84.775,0.0,4907.654993534088,15.299065,12,2413,0.2726464,0.2726464,0.014074345,0.7988085895776749,522312,23.173397,447.95769946982426
85.325,0.0,4936.458782911301,14.935425,11,2424,0.3074164,0.3074164,0.014052868,0.7287269830703735,525165,23.173399,447.14998064623194
86.275,0.0,4964.814790248871,15.112633,11,2435,0.25998783,0.25998783,0.012950839,0.8398984968662262,528351,23.177017,454.6681365693979
90.825,0.0,4994.081238269806,16.42427,10,2445,0.2757745,0.2757745,0.014211328,0.7903548926115036,531294,23.173996,475.3779276444549
92.675,0.0,5022.081278324127,16.666449,12,2457,0.2892131,0.2892131,0.012993968,0.718831330537796,534447,23.17342,485.05059447422974
93.0,0.0,5050.670988559723,16.792181,11,2468,0.13769248,0.13769248,0.0038938043,0.8430590778589249,537483,23.175335,487.40622914493343
91.075,0.0,5079.572235107422,15.911573,12,2480,0.28190267,0.28190267,0.013542997,0.7774945646524429,540648,23.168612,476.9783696643768
91.15,0.0,5108.337930440903,15.374451,12,2492,0.30695903,0.30695903,0.014173611,0.7493158876895905,543846,23.168156,475.91941243643515
87.55,0.0,5135.742357492447,14.664289,12,2504,0.2498236,0.2498236,0.012947884,0.791209265589714,546969,23.164146,456.2351433517044
89.35,0.0,5164.683977842331,14.762976,11,2515,0.261921,0.261921,0.013857135,0.7975764572620392,550005,23.157991,460.83206064725664
86.675,0.0,5193.3391807079315,14.190384,11,2526,0.2979184,0.2979184,0.014579043,0.7811686545610428,552840,23.161085,445.61400733031826
89.7,0.0,5221.863018274307,13.846753,11,2537,0.26058528,0.26058528,0.013328379,0.7721478939056396,555993,23.153471,460.6774627710911
92.55,0.0,5250.1871881484985,13.9936495,11,2548,0.293242,0.293242,0.012942716,0.7580661922693253,559134,23.150255,477.501191955011
92.925,0.0,5278.371453285217,13.803769,11,2559,0.31104615,0.31104615,0.01435806,0.8140902370214462,562197,23.149763,478.1713406742798
95.625,0.0,5307.34840297699,14.298734,10,2569,0.27690282,0.27690282,0.014971837,0.8158223927021027,565098,23.146517,487.0485078980608
93.4,0.0,5334.869225978851,16.01452,11,2580,0.25890458,0.25890458,0.013615215,0.6730807721614838,568128,23.149721,478.6772449445165
94.25,0.0,5363.415488958359,16.679705,12,2592,0.24853405,0.24853405,0.014955989,0.7437041401863098,571437,23.147503,481.4876972435657
89.875,0.0,5390.88569688797,16.26582,13,2605,0.2748891,0.2748891,0.014080921,0.7672754228115082,574608,23.148695,467.52468966854633
86.825,0.0,5420.2034204006195,14.052371,11,2616,0.29178706,0.29178706,0.014745179,0.7823747247457504,577602,23.147753,451.2268520016684
87.7,0.0,5447.108937263489,14.34801,11,2627,0.34230644,0.34230644,0.014523519,0.7959923446178436,580710,23.14989,462.96599836559596
89.7,0.0,5476.323760271072,15.00958,13,2640,0.25680608,0.25680608,0.013206655,0.8047240674495697,584025,23.138256,473.9468522352623
90.8,0.0,5504.697932243347,15.67351,11,2651,0.14113131,0.14113131,0.003743964,0.7156079113483429,587133,23.141567,481.07709750338
86.325,0.0,5533.5420734882355,15.004046,13,2664,0.28043485,0.28043485,0.013337215,0.8062137365341187,590358,23.136402,460.5611023103655
88.325,0.0,5562.373986005783,15.795667,11,2675,0.14947116,0.14947116,0.0038201974,0.693742424249649,593487,23.138378,467.0632491450101
88.6,0.0,5590.125198125839,16.060255,11,2686,0.26232177,0.26232177,0.013995335,0.7474244236946106,596409,23.137287,463.2532168814902
87.825,0.0,5619.290449142456,16.909595,12,2698,0.44986445,0.44986445,0.014762182,0.5403330326080322,599499,23.136635,456.36741885161825
93.15,0.0,5647.15639424324,18.00806,9,2707,0.30521417,0.30521417,0.014979926,0.7535902112722397,602301,23.132568,481.93307202646685
91.175,0.0,5675.488394498825,16.780827,12,2719,0.2882657,0.2882657,0.014701799,0.8506852835416794,605394,23.130154,474.12717284684993
