meankl,EpLenMean,EpThisIter,EpRewMean,ev_tdlam_before,entloss,TimeElapsed,surrgain,EpisodesSoFar,EpTrueRewMean,optimgain,entropy,TimestepsSoFar
0.0077355523,457.725,2,385.4524,0.886530339717865,0.0,362.60831212997437,0.07678705,319,1025.521052972188,0.07678705,7.504318,244461
0.008689718,450.225,3,384.5446,0.7677449136972427,0.0,367.13361382484436,0.14257899,322,1024.9869454810864,0.14257899,7.502071,247641
0.0077697188,448.1,2,380.81158,0.9411680288612843,0.0,371.70500564575195,0.10905192,324,1019.6974607243916,0.10905192,7.4877453,249939
0.008030577,423.5,2,361.64996,0.8074743449687958,0.0,376.3056561946869,0.118084595,326,974.8375581117147,0.118084595,7.461899,252498
0.00802128,418.9,2,364.6892,0.8049923777580261,0.0,380.8851125240326,0.10911764,328,976.992076078655,0.10911764,7.441725,255810
0.007201012,396.7,4,344.42422,0.8313126862049103,0.0,385.4260015487671,0.09282842,332,920.7227927365273,0.09282842,7.445544,259344
0.0078049046,404.475,3,354.97833,0.8847937434911728,0.0,389.9030146598816,0.10399619,335,956.0486708752717,0.10399619,7.439149,263157
0.008126216,400.3,2,346.2653,0.5534222722053528,0.0,394.3971028327942,0.11053461,337,942.1488999817884,0.11053461,7.439743,265122
0.007336793,413.0,3,363.66074,0.8283878266811371,0.0,398.8969843387604,0.09887387,340,995.4105680145829,0.09887387,7.4544516,269262
0.008378176,402.6,3,357.73602,0.7895020544528961,0.0,403.45519948005676,0.103125386,343,978.047766676704,0.103125386,7.4550323,272316
0.007859268,405.6,2,356.58112,0.7657471150159836,0.0,408.0034329891205,0.093328945,345,986.3169207736113,0.093328945,7.452589,274941
0.008065234,402.275,2,353.32916,0.8186955153942108,0.0,412.5134930610657,0.098205745,347,984.2460963532645,0.098205745,7.4298716,278265
0.008209381,415.425,2,367.2687,0.795500636100769,0.0,417.0690107345581,0.099585265,349,1023.219790455271,0.099585265,7.4269533,281817
0.008138046,421.675,1,376.62787,0.8396082371473312,0.0,421.52500891685486,0.10187129,350,1052.752298851892,0.10187129,7.4198155,283578
0.007746317,423.75,2,378.70343,0.8456837087869644,0.0,425.9638283252716,0.09092159,352,1061.6312993638617,0.09092159,7.4062953,286677
0.0076963566,430.35,2,388.4649,0.8072774261236191,0.0,430.5720565319061,0.11137355,354,1084.3071321916148,0.11137355,7.4016147,289821
0.008790102,418.925,4,377.25854,0.8581525087356567,0.0,435.02978110313416,0.110526994,358,1061.7352686066195,0.110526994,7.401246,293082
0.007524405,414.4,2,372.97955,0.8848773017525673,0.0,439.57414412498474,0.11398612,360,1050.9919574736364,0.11398612,7.4028187,295209
0.007601879,417.725,2,373.48746,0.8642172664403915,0.0,444.135112285614,0.10320309,362,1053.9445774725755,0.10320309,7.4253387,297768
0.008144502,417.125,2,373.47635,0.8818622827529907,0.0,448.6719114780426,0.10798374,364,1054.8104297017533,0.10798374,7.4203477,299994
0.007862985,435.55,1,389.45837,0.10840678215026855,0.0,453.1576249599457,0.08831127,365,1102.973719816696,0.08831127,7.4261436,302994
0.007696136,415.2,3,369.6509,0.8624411672353745,0.0,457.9783310890198,0.09141116,368,1043.4848310316513,0.09141116,7.419083,305634
0.008782232,423.0,2,382.23608,0.8935847505927086,0.0,462.4948773384094,0.122599736,370,1077.6435290355598,0.122599736,7.404249,308463
0.007661778,433.025,2,393.28482,0.7839350998401642,0.0,466.9889452457428,0.12277484,372,1113.9033087345192,0.12277484,7.398148,311307
0.0072984183,447.9,1,404.8672,0.397739052772522,0.0,471.5027894973755,0.08548725,373,1154.4403150871772,0.08548725,7.400439,314307
0.008324292,458.375,1,413.80353,0.8953902423381805,0.0,476.0474877357483,0.08547646,374,1184.0042992709664,0.08547646,7.398238,316899
0.007268479,472.85,1,423.43057,0.10635483264923096,0.0,480.61238956451416,0.06721838,375,1215.070355967343,0.06721838,7.4029536,319899
0.008074164,483.925,2,435.66632,0.9066243469715118,0.0,485.1765511035919,0.09972963,377,1250.2760808408998,0.09972963,7.4078197,323193
0.0092695495,494.75,1,444.94458,0.13753581047058105,0.0,489.74011397361755,0.084879234,378,1277.2320303816637,0.084879234,7.406681,326193
0.0071391836,507.275,1,456.70776,0.8518560528755188,0.0,494.2649073600769,0.1580217,379,1312.112353053021,0.1580217,7.4086785,328884
0.00781565,524.525,2,473.81366,0.8192579597234726,0.0,498.73625087738037,0.10865444,381,1358.8978736211604,0.10865444,7.4065065,333378
0.008228241,527.75,3,481.15634,0.843606173992157,0.0,503.2584037780762,0.099639714,384,1378.0242015975457,0.099639714,7.4025426,336930
0.0076005682,529.325,1,481.40048,0.8326539844274521,0.0,507.7681794166565,0.10717051,385,1379.8185903742208,0.10717051,7.3991857,338460
0.006982986,545.175,2,497.73593,0.7829081118106842,0.0,512.3631746768951,0.09170763,387,1432.2589636643465,0.09170763,7.399352,343686
0.008775671,529.875,3,482.565,0.913441851735115,0.0,516.777393579483,0.107332945,390,1391.0951305342633,0.107332945,7.396669,347163
0.008014558,534.85,2,487.43692,0.6008102297782898,0.0,521.2296831607819,0.1151101,392,1410.3969373935445,0.1151101,7.4072742,350859
0.008661972,538.9,2,489.20908,0.8602425754070282,0.0,525.7041141986847,0.10991321,394,1425.4632485341272,0.10991321,7.3980756,354489
0.007873308,562.925,2,516.1414,0.9067576378583908,0.0,530.1673097610474,0.12520924,396,1503.8752852510772,0.12520924,7.3697524,359304
0.008884776,588.375,2,540.7418,0.9062148556113243,0.0,534.5471222400665,0.13340932,398,1580.5549487958592,0.13340932,7.338016,363687
0.008661187,595.025,2,549.38416,0.8186663240194321,0.0,538.9721069335938,0.09481907,400,1609.0090120281682,0.09481907,7.34233,366612
0.008448399,602.7,3,563.73425,0.9354019984602928,0.0,543.3812234401703,0.113082565,403,1647.0030827115238,0.113082565,7.336178,371247
