EpLenMean,surrgain,EpRewMean,entropy,entloss,EpThisIter,ev_tdlam_before,EpTrueRewMean,meankl,EpisodesSoFar,optimgain,TimestepsSoFar,TimeElapsed
79.55,0.2238683,51.86085,23.40871,0.0,12,0.8083484768867493,389.4513136558071,0.010671027,1057,0.2238683,183270,389.2314591407776
75.7,0.22245286,46.710453,23.405943,0.0,14,0.7397092878818512,374.92801040500046,0.010262525,1071,0.22245286,186378,395.671058177948
76.6,0.24675,47.879375,23.391764,0.0,14,0.7578155845403671,380.85672022528365,0.011435382,1085,0.24675,189594,402.1692521572113
78.625,0.24150556,47.993248,23.390463,0.0,12,0.8239020258188248,387.1011728803096,0.010990171,1097,0.24150556,192705,408.6536991596222
78.625,0.20813513,49.450214,23.380781,0.0,14,0.8080164045095444,383.78667449792863,0.010999904,1111,0.20813513,195813,415.1032621860504
81.125,0.22775945,49.895798,23.376284,0.0,12,0.7494558393955231,394.84787716423637,0.010081103,1123,0.22775945,198828,421.64424109458923
79.725,0.22429848,48.990337,23.354002,0.0,13,0.8564124256372452,388.1782363569853,0.01027503,1136,0.22429848,202023,428.23394536972046
81.75,0.23671483,50.95833,23.340513,0.0,12,0.8074583411216736,400.0188160905328,0.010915387,1148,0.23671483,205008,434.74355602264404
84.375,0.24574456,53.217567,23.334944,0.0,11,0.8107518404722214,416.27169224209365,0.011439995,1159,0.24574456,208035,441.3584978580475
81.625,0.26730627,53.739174,23.326986,0.0,14,0.7410762310028076,411.5182129408022,0.010806005,1173,0.26730627,211068,447.7975583076477
81.4,0.24539357,53.05486,23.341066,0.0,12,0.7338912189006805,407.4119966940414,0.01109377,1185,0.24539357,214077,454.32840490341187
78.125,0.22053461,47.973904,23.338951,0.0,13,0.8239595592021942,389.0983350685641,0.0106093995,1198,0.22053461,217209,460.92942214012146
78.875,0.302888,48.144264,23.35866,0.0,14,0.7935850471258163,387.4832975895343,0.011510261,1212,0.302888,220302,467.53065752983093
79.025,0.26114553,47.654915,23.35156,0.0,12,0.7127852439880371,391.2196730535113,0.011664596,1224,0.26114553,223272,474.1485650539398
80.075,0.24851906,50.358288,23.343016,0.0,12,0.7428044676780701,397.11657475885534,0.0110115465,1236,0.24851906,226308,480.6634774208069
83.225,0.36235446,53.581055,23.333477,0.0,12,0.8256221115589142,413.89902819603174,0.012172153,1248,0.36235446,229386,487.05955266952515
81.0,0.2245173,50.54065,23.343082,0.0,14,0.6933744251728058,396.0371315006856,0.011496142,1262,0.2245173,232497,493.5786895751953
81.275,0.25228816,49.160267,23.346601,0.0,12,0.8436139523983002,398.37559947424637,0.011361057,1274,0.25228816,235566,500.00810980796814
79.75,0.24550778,47.132713,23.363523,0.0,13,0.8496512174606323,394.01832422998405,0.012549559,1287,0.24550778,238734,506.612624168396
84.15,0.23506922,51.606422,23.36646,0.0,12,0.8066254705190659,419.5225903537733,0.011616135,1299,0.23506922,241752,513.2608327865601
84.775,0.31691653,52.659657,23.3772,0.0,11,0.793764665722847,421.8328166370753,0.012173064,1310,0.31691653,244833,519.7321894168854
85.725,0.24218684,54.542957,23.373716,0.0,13,0.8655393123626709,420.08209034333385,0.011803072,1323,0.24218684,248028,526.3960597515106
90.8,0.22951816,58.172253,23.383726,0.0,10,0.8096539080142975,448.529576737784,0.011828292,1333,0.22951816,251016,533.0320403575897
91.025,0.2651122,58.547802,23.390314,0.0,12,0.846696674823761,445.7551919285086,0.011345435,1345,0.2651122,254166,539.6107857227325
88.4,0.24655536,58.0411,23.37795,0.0,12,0.8340963423252106,439.79125904176755,0.011264218,1357,0.24655536,257166,546.1055262088776
86.975,0.26353472,58.3119,23.377218,0.0,13,0.6990770697593689,430.9792290909405,0.011895479,1370,0.26353472,260478,552.5825724601746
83.2,0.27323633,58.366173,23.385504,0.0,13,0.8547957241535187,415.9551018907544,0.011840109,1383,0.27323633,263682,559.1532764434814
90.675,0.27618325,64.15059,23.388899,0.0,9,0.8328258693218231,447.1430989780104,0.011951542,1392,0.27618325,266718,565.7419099807739
94.875,0.24730557,68.68054,23.388937,0.0,10,0.8811089769005775,469.26735322115854,0.011287945,1402,0.24730557,269646,572.361909866333
