EpRewMean,entropy,TimeElapsed,optimgain,EpTrueRewMean,EpLenMean,surrgain,TimestepsSoFar,ev_tdlam_before,EpisodesSoFar,meankl,entloss,EpThisIter
272.5296,4.176307,102.23068237304688,0.041262448,491.47065962950217,405.875,0.041262448,66918,-0.06722021102905273,121,0.006353513,0.0,1
287.93732,4.1758976,106.5195722579956,0.033044156,517.0940786293992,441.275,0.033044156,72273,0.17463630437850952,123,0.0071682204,0.0,2
291.3802,4.2195454,110.79019784927368,0.03846038,523.9530979854517,451.075,0.03846038,74025,0.2592269778251648,124,0.0057182554,0.0,1
301.5048,4.163979,115.10137510299683,0.04185254,542.9654667745906,472.35,0.04185254,77025,-0.025165438652038574,125,0.0058515472,0.0,1
311.07928,4.197939,119.40440630912781,0.022212878,560.9597570988554,493.325,0.022212878,80025,0.014629483222961426,126,0.008129358,0.0,1
319.8308,4.1855474,123.63401389122009,0.050486032,577.757963163839,513.175,0.050486032,82908,0.8522469997406006,127,0.0059380676,0.0,1
328.61475,4.15069,127.90286254882812,0.038054265,591.6935663454194,533.1,0.038054265,85908,-0.1354302167892456,128,0.0064725624,0.0,1
338.35773,4.1507277,132.10044193267822,0.02285181,610.083507849015,554.2,0.02285181,88908,-0.0018111467361450195,129,0.0074706087,0.0,1
348.86945,4.0970387,136.37228631973267,0.0394021,628.6143551192054,576.5,0.0394021,91908,-0.06880581378936768,130,0.0064476165,0.0,1
364.39468,4.081398,140.66489005088806,0.046878017,653.8125796088564,612.65,0.046878017,97296,0.10249316692352295,132,0.006778019,0.0,2
374.81046,4.0881343,145.04755640029907,0.05453062,671.6917143147281,640.6,0.05453062,102036,0.762934222817421,134,0.0063149836,0.0,2
382.33295,4.12045,149.36367845535278,0.035921052,683.3467871606945,661.875,0.035921052,105930,0.682168185710907,136,0.0074469596,0.0,2
390.0796,4.254366,153.6526346206665,0.019993044,698.962185252379,681.1,0.019993044,108930,-0.00868368148803711,137,0.007302165,0.0,1
396.26642,4.2120967,157.9661304950714,0.05173348,709.2802548611188,696.075,0.05173348,111282,0.8241850733757019,138,0.0061548855,0.0,1
404.70563,4.2239323,162.24125719070435,0.027591445,726.8988517171208,716.075,0.027591445,114282,-0.008423447608947754,139,0.007390391,0.0,1
409.66547,4.216797,166.5665626525879,0.029326325,739.1518074961815,731.3,0.029326325,117282,-0.0652627944946289,140,0.0070540933,0.0,1
