entropy,meankl,TimeElapsed,optimgain,EpisodesSoFar,EpLenMean,entloss,surrgain,TimestepsSoFar,EpRewMean,EpTrueRewMean,ev_tdlam_before,EpThisIter
23.741388,0.008483021,134.3419713973999,0.22301899,521,65.425,0.0,0.22301899,64446,49.21433,321.92897541973315,0.6596400439739227,16
23.744894,0.008493103,140.74485731124878,0.17009723,537,66.475,0.0,0.17009723,67644,45.99654,327.58371068351494,0.6970340013504028,16
23.74225,0.008480536,147.1779179573059,0.21025223,551,67.2,0.0,0.21025223,70488,43.63624,329.83862505021295,0.6481136679649353,14
23.727777,0.008312033,153.69932293891907,0.2221824,565,69.35,0.0,0.2221824,73599,45.26969,339.51319289195663,0.7688959240913391,14
23.756834,0.008148415,160.20301795005798,0.18727255,581,69.65,0.0,0.18727255,76962,47.8245,337.1437747749411,0.703616201877594,16
23.740805,0.008189562,166.65692925453186,0.17190626,595,70.625,0.0,0.17190626,79821,47.33387,346.623851397863,0.7917914092540741,14
23.726568,0.008797022,173.10265278816223,0.17916153,610,67.475,0.0,0.17916153,82788,45.19156,336.5499038915629,0.7569886595010757,15
23.712095,0.008957698,179.60321497917175,0.18842456,625,67.525,0.0,0.18842456,85842,43.18061,336.06081514041745,0.7382023632526398,15
23.707767,0.0084283985,186.10203218460083,0.24016038,637,69.325,0.0,0.24016038,88494,44.093517,341.8818610266859,0.6069650053977966,12
23.669268,0.008619963,192.57618689537048,0.1869894,651,70.175,0.0,0.1869894,91398,45.053276,340.31439800805646,0.6302619278430939,14
23.677023,0.0083199795,199.0429105758667,0.19190833,666,70.225,0.0,0.19190833,94464,46.0043,340.6544195114791,0.7858948260545731,15
23.650307,0.008778337,205.47754764556885,0.18439534,679,71.375,0.0,0.18439534,97497,46.637886,345.9404370872779,0.7033804953098297,13
23.638247,0.009166693,211.94212937355042,0.37869692,695,68.75,0.0,0.37869692,100581,43.625023,331.3179177902522,0.7726286351680756,16
23.611998,0.009617832,218.41977405548096,0.25590637,709,69.675,0.0,0.25590637,103695,42.307564,334.01041714639194,0.655831515789032,14
23.620623,0.009061024,224.9586365222931,0.2095068,723,71.75,0.0,0.2095068,106815,43.605812,341.9650359089861,0.7544877529144287,14
23.606367,0.008822503,231.4779007434845,0.22979522,735,75.575,0.0,0.22979522,109650,47.60764,366.2710174035292,0.7352773547172546,12
23.6272,0.009043964,237.980881690979,0.20284134,748,76.725,0.0,0.20284134,112662,48.353325,374.63297725606105,0.7973995953798294,13
23.629332,0.009599604,244.48166179656982,0.18580554,762,74.525,0.0,0.18580554,115575,45.3798,367.7965127464427,0.807997316122055,14
23.612875,0.008753197,250.95759892463684,0.21287265,776,72.025,0.0,0.21287265,118533,42.838905,352.99280853649236,0.7852383553981781,14
23.628908,0.009491397,257.3681092262268,0.21128334,790,72.9,0.0,0.21128334,121776,41.691338,350.2150247945081,0.7345569729804993,14
23.63127,0.008977525,263.8462219238281,0.19587842,805,73.975,0.0,0.19587842,125043,41.04782,358.55635240170744,0.697361409664154,15
23.643305,0.0091556795,270.4304177761078,0.20033252,819,73.8,0.0,0.20033252,128139,40.3982,356.71287791962374,0.7894585281610489,14
23.658998,0.009472163,276.8619167804718,0.1927109,832,75.775,0.0,0.1927109,131286,44.638954,372.2500881217003,0.7290951609611511,13
23.656412,0.009121466,283.17988324165344,0.2173711,846,74.925,0.0,0.2173711,134292,47.199905,363.8464125614154,0.7543997466564178,14
23.653082,0.00923172,289.6493091583252,0.20594564,860,74.4,0.0,0.20594564,137364,49.241173,367.3191484659437,0.7648432105779648,14
