TimeElapsed,entloss,EpThisIter,EpRewMean,EpLenMean,optimgain,ev_tdlam_before,meankl,TimestepsSoFar,surrgain,EpTrueRewMean,EpisodesSoFar,entropy
4421.884613037109,0.0,1,188.83797,626.525,0.116230085,0.8356994539499283,0.009231954,515667,0.116230085,1862.3894195462358,696,6.8474774
4448.414451599121,0.0,2,193.54877,638.425,0.10506374,0.777415007352829,0.00878503,519018,0.10506374,1906.0596463839374,698,6.826377
4474.139852285385,0.0,2,190.84335,628.175,0.09752804,0.8492413461208344,0.009925913,521628,0.09752804,1876.789502123015,700,6.823525
4500.496118307114,0.0,2,190.73814,623.7,0.15714908,0.9026870131492615,0.009278407,524547,0.15714908,1880.1014606637848,702,6.8107758
4526.162901639938,0.0,1,195.52074,641.625,0.09741896,0.8223878443241119,0.008510916,527547,0.09741896,1934.0336424540772,703,6.831238
4552.290961027145,0.0,4,186.8223,611.425,0.115441166,0.9056681022047997,0.009907595,530835,0.115441166,1845.093696865454,707,6.805297
4578.106232643127,0.0,2,183.81465,596.825,0.14078873,0.8846027925610542,0.009844707,534852,0.14078873,1808.0613253241056,709,6.7952623
4604.107787370682,0.0,2,186.63785,602.05,0.12490773,0.8857961595058441,0.009253712,537276,0.12490773,1832.3521861490426,711,6.7770853
4629.337483406067,0.0,2,188.32744,608.025,0.13734128,0.894601970911026,0.009366477,540921,0.13734128,1838.2631926007293,713,6.7939672
4655.4524257183075,0.0,2,190.94025,615.9,0.11555162,0.8898174613714218,0.010132675,544698,0.11555162,1871.1899415606415,715,6.7762766
4681.132146835327,0.0,2,187.80898,605.35,0.101799324,0.8516422361135483,0.009272657,546549,0.101799324,1838.2565124817334,717,6.808612
