entloss,meankl,ev_tdlam_before,TimestepsSoFar,EpisodesSoFar,optimgain,EpRewMean,TimeElapsed,surrgain,entropy,EpTrueRewMean,EpLenMean,EpThisIter
0.0,0.003960962,0.8911852166056633,785913,3181,0.15219954,67.472916,1683.1811537742615,0.15219954,22.99186,542.9666987329438,106.275,10
0.0,0.0042257346,0.8817435503005981,788931,3190,0.16761567,67.80239,1689.9932353496552,0.16761567,22.995138,541.2606112002298,106.025,9
0.0,0.004217943,0.9132334887981415,791706,3199,0.15707788,70.2213,1696.6540727615356,0.15707788,22.990946,546.0823545413244,107.3,9
0.0,0.0039641643,0.8497393727302551,794904,3210,0.15226059,69.7522,1703.197684764862,0.15226059,22.988945,511.38068258055773,102.5,11
0.0,0.004168222,0.886886328458786,797703,3218,0.17731935,70.920006,1709.8503675460815,0.17731935,22.988768,540.3715242023588,106.825,8
0.0,0.0043223677,0.9012372121214867,800628,3228,0.15205368,69.39848,1716.5979001522064,0.15205368,22.988945,522.2670193428505,103.175,10
0.0,0.0038812507,0.8845837488770485,803787,3238,0.14980248,68.59608,1723.1481037139893,0.14980248,22.987469,524.208222682726,102.95,10
0.0,0.0038934026,0.8603310286998749,806652,3247,0.13769281,70.42291,1729.8687751293182,0.13769281,22.985664,532.1055046028168,104.95,9
0.0,0.0044037336,0.8954144567251205,809703,3257,0.15578258,69.20085,1736.5987231731415,0.15578258,22.986004,522.4823891514867,102.425,10
0.0,0.004079901,0.8770033791661263,812814,3267,0.17408176,69.7369,1743.2947914600372,0.17408176,22.986504,525.6038395096864,103.4,10
0.0,0.0041514444,0.875408723950386,815634,3276,0.14813465,70.40355,1750.0248804092407,0.14813465,22.984846,532.1562685418885,104.95,9
0.0,0.004219858,0.8968335166573524,818835,3286,0.15510109,69.14392,1756.677964925766,0.15510109,22.986248,528.4550639769311,103.925,10
0.0,0.004344275,0.9078467264771461,821796,3296,0.15244913,69.066505,1763.3862824440002,0.15244913,22.986637,523.228738586415,103.625,10
0.0,0.0037970366,0.8539378792047501,824958,3307,0.13994926,66.32139,1770.0812375545502,0.13994926,22.986637,508.49400066423675,101.2,11
0.0,0.0038214754,0.874152198433876,828156,3317,0.15085179,65.44621,1776.7686884403229,0.15085179,22.984377,499.47254021297397,100.375,10
0.0,0.0038233418,0.7950298637151718,831333,3326,0.12638971,66.08743,1783.523307800293,0.12638971,22.982178,513.7136846040831,104.15,9
0.0,0.0042879437,0.8771125972270966,834402,3336,0.15090486,66.21421,1790.12757563591,0.15090486,22.97982,520.7534527569251,105.05,10
0.0,0.004231414,0.8988848328590393,837264,3345,0.15249816,69.60184,1796.8284332752228,0.15249816,22.978495,537.4301661570577,107.275,9
0.0,0.0039586066,0.9006063416600227,840282,3354,0.13916346,70.135605,1803.3760960102081,0.13916346,22.976631,554.7583375503475,109.675,9
0.0,0.004077923,0.8557702004909515,843414,3362,0.14996438,73.08276,1810.0484900474548,0.14996438,22.974033,580.0751742986739,113.2,8
0.0,0.0042327736,0.8238881528377533,846543,3371,0.16697985,74.645454,1816.722853422165,0.16697985,22.973871,583.2704656403482,114.575,9
0.0,0.0044519906,0.8928000256419182,849678,3382,0.15447484,72.95851,1823.4083247184753,0.15447484,22.97119,565.9060096343205,111.525,11
0.0,0.0044716755,0.9055490046739578,852570,3391,0.14642444,72.80621,1830.060391664505,0.14642444,22.96981,564.6907883260889,111.175,9
0.0,0.0039905254,0.9115056097507477,855843,3402,0.13876009,67.97168,1836.7522747516632,0.13876009,22.971197,522.4424120319618,103.575,11
0.0,0.0041411445,0.8491306751966476,859149,3412,0.15973324,67.31289,1843.4463255405426,0.15973324,22.97021,521.7208838828025,103.2,10
0.0,0.0044525843,0.8896702527999878,862026,3421,0.17579582,67.08526,1850.2219836711884,0.17579582,22.971907,533.1010024265901,105.475,9
0.0,0.003871196,0.8585879504680634,865056,3431,0.15090466,65.4193,1856.8131291866302,0.15090466,22.97274,521.7450208386625,104.05,10
0.0,0.004006963,0.8487507551908493,868143,3440,0.15211692,69.4717,1863.561073064804,0.15211692,22.970942,550.1356717635333,108.75,9
0.0,0.003917711,0.8546136021614075,871284,3450,0.14589277,68.823845,1870.0754017829895,0.14589277,22.968256,540.3117660172886,107.025,10
