TimeElapsed,EpThisIter,surrgain,EpTrueRewMean,entropy,ev_tdlam_before,EpisodesSoFar,optimgain,EpRewMean,TimestepsSoFar,meankl,entloss,EpLenMean
1283.2894446849823,2,0.050374545,2138.6531628104763,2.3756201,0.7213142216205597,520,0.050374545,522.7623,911667,0.01353178,0.0,591.625
1287.7677609920502,1,0.05683644,2189.2629061872276,2.3417976,0.9794164672493935,521,0.05683644,533.9695,914358,0.010937026,0.0,605.7
1292.1217782497406,1,0.053606227,2210.483249529717,2.3048673,0.9817389156669378,522,0.053606227,538.6064,916335,0.010496188,0.0,611.725
1296.4358501434326,2,0.048405897,2146.6429964994445,2.2891135,0.9784369580447674,524,0.048405897,525.47394,919695,0.010883126,0.0,593.175
1300.809551000595,5,0.06057716,2074.5849487102887,2.305453,0.9321311488747597,529,0.06057716,509.53555,924906,0.012774814,0.0,575.0
1305.048861026764,2,0.050984666,2095.069048561398,2.2869232,0.024596452713012695,531,0.050984666,514.521,928191,0.010676384,0.0,581.6
1309.3903813362122,3,0.052259248,2038.3376553444439,2.2593048,0.7728199362754822,534,0.052259248,501.09064,933240,0.01122899,0.0,566.525
1313.6674447059631,1,0.036623657,2047.4631819233787,2.298703,0.030892491340637207,535,0.036623657,503.3462,936240,0.0105714835,0.0,569.825
1317.9747824668884,2,0.04246577,2119.7765443030585,2.29657,0.7415161430835724,537,0.04246577,519.6433,940167,0.009892111,0.0,589.875
1322.2537400722504,1,0.06297033,2160.9323533907627,2.24014,0.9656013175845146,538,0.06297033,529.4161,942078,0.011089174,0.0,600.8
1326.47687125206,1,0.034314107,2231.6136870590794,2.246799,0.02662426233291626,539,0.034314107,545.446,945078,0.011814112,0.0,620.575
1330.7210142612457,1,0.039371748,2269.2621794416796,2.2332156,-0.011879801750183105,540,0.039371748,553.4144,948078,0.009837078,0.0,631.725
1335.002955198288,2,0.04520455,2341.812814645337,2.2517872,0.7271674871444702,542,0.04520455,569.2195,952404,0.011867081,0.0,652.325
1339.3290989398956,1,0.035268523,2428.2051301777137,2.2615995,0.0195961594581604,543,0.035268523,588.5477,955404,0.0113443695,0.0,675.775
1343.6176416873932,2,0.039201196,2430.050288980868,2.3272276,0.028613805770874023,545,0.039201196,586.68695,961404,0.0120065585,0.0,675.775
1347.8879005908966,1,0.054251608,2461.1966751034715,2.2618704,0.9640083350241184,546,0.054251608,593.9595,963363,0.011690616,0.0,684.375
1352.256541967392,1,0.045406114,2480.433678308611,2.277758,-0.007707476615905762,547,0.045406114,597.46716,966363,0.012329403,0.0,690.25
1356.635790348053,2,0.045011893,2451.590404220256,2.3207123,0.7076791524887085,549,0.045011893,590.59515,970137,0.010501457,0.0,681.925
1361.0163042545319,1,0.04214094,2448.370094442569,2.262698,-0.004622220993041992,550,0.04214094,589.7689,973137,0.013439889,0.0,681.925
1365.3669469356537,2,0.047030047,2398.010884426664,2.2432835,0.5843113362789154,552,0.047030047,579.663,977232,0.010323152,0.0,668.225
1369.724487066269,1,0.046910394,2458.6478674301793,2.2183423,-0.11057662963867188,553,0.046910394,592.91,980232,0.0114969155,0.0,685.45
1374.1479682922363,1,0.035474516,2462.441448342718,2.1906564,0.9646881744265556,554,0.035474516,595.83777,983232,0.0039918735,0.0,685.45
1378.7940111160278,1,0.046994023,2462.1868940134746,2.1662016,0.4986942410469055,555,0.046994023,595.943,986232,0.011439564,0.0,686.35
1382.9185583591461,1,0.040104367,2527.2095126760687,2.177062,0.009503304958343506,556,0.040104367,610.41223,989232,0.009188602,0.0,704.875
1386.9830088615417,1,0.06936779,2522.0220603833627,2.1343112,0.9719893708825111,557,0.06936779,609.79425,991494,0.010449375,0.0,703.5
1390.776222229004,1,0.041744314,2588.3695636998273,2.080079,-0.0037409067153930664,558,0.041744314,624.0872,994494,0.010412818,0.0,722.1
1394.3816845417023,1,0.05634962,2589.6427491342247,2.0412145,0.017939329147338867,559,0.05634962,624.8078,997494,0.013301436,0.0,722.1
