entloss,optimgain,EpRewMean,TimestepsSoFar,EpTrueRewMean,meankl,ev_tdlam_before,EpThisIter,TimeElapsed,EpLenMean,surrgain,EpisodesSoFar,entropy
0.0,0.21747316,53.14747,94998,355.2176120759958,0.009049162,0.7640716284513474,14,215.61541557312012,72.95,0.21747316,639,23.584476
0.0,0.19247624,52.084675,97989,364.22711857716575,0.009099964,0.8041891008615494,13,222.31117463111877,75.7,0.19247624,652,23.585207
0.0,0.21308038,50.425934,101283,364.9341774511328,0.00965332,0.7020676136016846,14,228.917085647583,76.5,0.21308038,666,23.59407
0.0,0.19611758,51.644615,104520,369.85517314998725,0.009374174,0.7845529615879059,14,235.58935284614563,77.05,0.19611758,680,23.568182
0.0,0.20553267,53.134056,107727,370.7738937448025,0.009589,0.7866375893354416,14,242.24776911735535,76.675,0.20553267,694,23.537825
0.0,0.22780988,50.013214,110736,361.31555422573047,0.009533456,0.7019928991794586,14,248.94660663604736,74.525,0.22780988,708,23.500978
0.0,0.20944406,51.581013,113730,368.0567682334366,0.009859934,0.8025204539299011,13,255.64787197113037,75.275,0.20944406,721,23.487795
0.0,0.19115481,52.768394,116697,364.7915345403902,0.008935832,0.7812812626361847,13,262.329354763031,74.75,0.19115481,734,23.456305
0.0,0.19755666,53.40157,119823,374.81612944378446,0.00983339,0.8361107558012009,13,268.9014530181885,77.175,0.19755666,747,23.414572
0.0,0.2148124,57.169273,123015,384.52325757572777,0.010040628,0.7390603721141815,13,275.51333141326904,79.6,0.2148124,760,23.400148
0.0,0.19863805,54.49178,126027,376.097472702934,0.010121609,0.7912382632493973,14,282.07533597946167,77.75,0.19863805,774,23.386637
0.0,0.20647246,55.192543,128937,388.32854018998006,0.010235749,0.8242328763008118,12,288.7410886287689,79.4,0.20647246,786,23.369549
0.0,0.20933874,52.927967,132030,380.8662945660575,0.009914866,0.7686754614114761,12,295.3730049133301,78.65,0.20933874,798,23.37329
0.0,0.23228252,53.40277,135192,386.3863923653142,0.009945825,0.808010920882225,14,302.08551120758057,79.3,0.23228252,812,23.402525
0.0,0.21874881,54.003674,138237,391.1530170210517,0.010706426,0.7766758352518082,13,308.7174048423767,79.925,0.21874881,825,23.4082
0.0,0.20119834,48.859367,141366,373.20686557993065,0.010613086,0.7982016205787659,15,315.4383044242859,74.8,0.20119834,840,23.418459
0.0,0.23352662,47.961964,144435,375.27085738148764,0.009834537,0.7864295840263367,13,322.13721442222595,75.075,0.23352662,853,23.406271
