meankl,EpLenMean,TimeElapsed,entloss,ev_tdlam_before,TimestepsSoFar,surrgain,EpRewMean,optimgain,EpTrueRewMean,EpisodesSoFar,entropy,EpThisIter
0.0067505566,419.7,149.05042123794556,0.0,0.819714680314064,97092,0.082952514,239.10593,0.082952514,442.4545812642476,202,8.324345,2
0.006570164,427.55,153.58494114875793,0.0,0.9077475443482399,100506,0.068254575,243.69955,0.068254575,451.71509733558776,205,8.304978,3
0.006097408,440.75,158.01263427734375,0.0,0.8166911005973816,103440,0.08755279,253.46347,0.08755279,471.5259855640238,208,8.287034,3
0.005958968,422.65,162.44248819351196,0.0,0.9231665879487991,106338,0.074710384,247.40775,0.074710384,459.46393700153504,213,8.277522,5
0.0069092517,386.875,166.8871533870697,0.0,0.9237653836607933,109764,0.099488735,240.12045,0.099488735,453.30532182438526,217,8.252611,4
0.0061627496,322.675,171.39082288742065,0.0,0.8835637345910072,112857,0.07311985,216.7374,0.07311985,404.84212553339785,222,8.236939,5
0.006914215,313.5,175.83847069740295,0.0,0.9453542828559875,116103,0.09544161,209.89009,0.09544161,402.2683319680021,227,8.226741,5
0.0065688826,296.525,180.20419788360596,0.0,0.898508757352829,119214,0.07662551,202.70726,0.07662551,399.7551406103518,232,8.224595,5
0.007414031,265.325,184.63100600242615,0.0,0.8192791789770126,121977,0.072939396,192.98904,0.072939396,393.25415078906536,236,8.217118,4
0.006411097,271.6,189.0706114768982,0.0,0.9281444400548935,125922,0.10123158,192.55576,0.10123158,405.02739931406063,239,8.212827,3
0.0066952324,259.475,193.5007026195526,0.0,0.9002120420336723,129837,0.06659225,177.39345,0.06659225,390.6448639682006,244,8.212357,5
0.0068464726,247.075,197.91454553604126,0.0,0.8213582932949066,133089,0.076980725,167.57486,0.076980725,384.5892285589591,248,8.185071,4
0.0072872825,249.95,202.37607145309448,0.0,0.8300969749689102,134118,0.11965561,167.99008,0.11965561,388.46662792571857,249,8.177125,1
0.006693,261.4,206.73353719711304,0.0,0.7577953040599823,137286,0.09013429,175.27365,0.09013429,413.12155689498303,252,8.169544,3
0.0053172465,278.0,211.10836052894592,0.0,0.7484464347362518,140967,0.09774994,181.53426,0.09774994,428.7452621054108,254,8.18164,2
