EpTrueRewMean,EpisodesSoFar,surrgain,ev_tdlam_before,entropy,EpThisIter,TimestepsSoFar,EpRewMean,EpLenMean,TimeElapsed,meankl,optimgain,entloss
200.0,4483,0.02037429,0.44391167163848877,0.33780873,5,860058,86.963425,200.0,4182.622391462326,0.008087257,0.02037429,0.0
200.0,4488,0.012249494,0.45994049310684204,0.34553313,5,861058,98.06975,200.0,4187.394814491272,0.0057478324,0.012249494,0.0
200.0,4493,0.014340122,0.35494303703308105,0.34124154,5,862058,110.69792,200.0,4192.843281030655,0.008206132,0.014340122,0.0
200.0,4498,0.015573274,0.3102759122848511,0.3269168,5,863058,119.02718,200.0,4198.318874120712,0.009259845,0.015573274,0.0
200.0,4503,0.0069346614,0.4998217225074768,0.35591447,5,864058,131.52495,200.0,4203.967433691025,0.004030631,0.0069346614,0.0
200.0,4509,0.009926376,0.4195657968521118,0.38149068,6,865258,143.34758,200.0,4208.854449033737,0.0063099596,0.009926376,0.0
200.0,4514,0.010031465,0.6181276440620422,0.37845004,5,866258,145.3621,200.0,4214.173744678497,0.007306045,0.010031465,0.0
200.0,4519,0.009868542,0.6789763569831848,0.4139932,5,867258,152.78595,200.0,4219.901383161545,0.00678974,0.009868542,0.0
200.0,4524,0.018689776,0.7457466125488281,0.4036594,5,868258,152.98337,200.0,4224.785535573959,0.008913957,0.018689776,0.0
200.0,4529,0.0076486208,0.7969310432672501,0.4141136,5,869258,156.856,200.0,4229.908762931824,0.0065444172,0.0076486208,0.0
200.0,4534,0.014579003,0.8143645823001862,0.45741343,5,870258,154.36617,200.0,4234.7922976017,0.007787896,0.014579003,0.0
200.0,4539,0.009499989,0.8277008682489395,0.44236276,5,871258,153.1766,200.0,4239.792839288712,0.006491079,0.009499989,0.0
200.0,4544,0.021182608,0.8655921369791031,0.44055814,5,872258,143.68387,200.0,4244.689932346344,0.0103477985,0.021182608,0.0
200.0,4550,0.01918953,0.9003860950469971,0.44892937,6,873458,139.19896,200.0,4249.0435037612915,0.007617725,0.01918953,0.0
200.0,4555,0.014795708,0.918713204562664,0.45973653,5,874458,135.7681,200.0,4253.7429184913635,0.0074143875,0.014795708,0.0
200.0,4560,0.01018132,0.9303432479500771,0.4630754,5,875458,132.07834,200.0,4259.174435377121,0.005699062,0.01018132,0.0
200.0,4565,0.010963724,0.9239319413900375,0.48620343,5,876458,130.49298,200.0,4264.5086987018585,0.0051955576,0.010963724,0.0
199.725,4570,0.0072657038,0.9303890913724899,0.47424412,5,877447,130.25798,199.725,4269.194310665131,0.004906672,0.0072657038,0.0
199.725,4575,0.015488286,0.9460796341300011,0.4618969,5,878447,130.46042,199.725,4274.760840415955,0.0070375577,0.015488286,0.0
199.725,4580,0.0055238446,0.942620538175106,0.46144855,5,879447,130.03586,199.725,4279.884178638458,0.0071701594,0.0055238446,0.0
199.725,4585,0.011719231,0.953961692750454,0.4871564,5,880447,129.89401,199.725,4285.140909910202,0.006335533,0.011719231,0.0
199.725,4591,0.007489967,0.9541503489017487,0.46354395,6,881647,130.57121,199.725,4290.439879417419,0.006199061,0.007489967,0.0
199.725,4596,0.020602435,0.9652031771838665,0.46207836,5,882647,131.38565,199.725,4295.7988958358765,0.006771267,0.020602435,0.0
199.625,4601,0.014503355,0.9713551849126816,0.44855335,5,883643,131.48242,199.625,4301.53590130806,0.0061573274,0.014503355,0.0
197.0,4606,0.01665008,0.9617004357278347,0.41445506,5,884538,130.02681,197.0,4306.387429237366,0.0069604856,0.01665008,0.0
197.275,4612,0.017763654,0.9722805973142385,0.4428866,6,885738,128.71146,197.275,4310.986462593079,0.007735674,0.017763654,0.0
197.275,4617,0.014778596,0.9717430304735899,0.43817872,5,886738,127.039024,197.275,4316.236683368683,0.010697361,0.014778596,0.0
197.275,4622,0.015386934,0.9557974375784397,0.45764038,5,887738,127.4984,197.275,4321.2533259391785,0.005423987,0.015386934,0.0
197.275,4627,0.014156387,0.9006939828395844,0.45292333,5,888738,127.26266,197.275,4326.580969333649,0.007303696,0.014156387,0.0
197.275,4632,0.0056699887,0.8234882801771164,0.44371492,5,889738,125.55613,197.275,4331.452167034149,0.00905226,0.0056699887,0.0
197.275,4637,0.0066968994,0.8409088551998138,0.44972438,5,890738,123.89529,197.275,4336.50786948204,0.0055007515,0.0066968994,0.0
197.4,4642,0.046194434,0.6716642081737518,0.4607255,5,891738,122.641556,197.4,4341.174981832504,0.008396342,0.046194434,0.0
200.0,4647,0.011473408,0.8513811975717545,0.4789772,5,892738,123.93618,200.0,4346.750804901123,0.008850735,0.011473408,0.0
200.0,4653,0.011924591,0.8733571171760559,0.47246063,6,893938,124.74269,200.0,4351.052039384842,0.0059552225,0.011924591,0.0
200.0,4658,0.016128266,0.8525154441595078,0.47831994,5,894938,125.06515,200.0,4356.324157476425,0.006231864,0.016128266,0.0
200.0,4663,0.0093075335,0.8613865524530411,0.47974807,5,895938,122.862564,200.0,4361.4881274700165,0.007218754,0.0093075335,0.0
200.0,4668,0.0061794594,0.8738773316144943,0.49247187,5,896938,120.917725,200.0,4366.236729860306,0.0056210514,0.0061794594,0.0
200.0,4673,0.02208384,0.8923736363649368,0.48787236,5,897938,120.19065,200.0,4371.470045566559,0.009072763,0.02208384,0.0
199.425,4678,0.012854168,0.735978901386261,0.46299878,5,898915,119.42415,199.425,4376.63435292244,0.0070614,0.012854168,0.0
199.05,4683,0.011869064,0.93105448782444,0.49181917,5,899900,118.37395,199.05,4381.037532329559,0.005354302,0.011869064,0.0
199.05,4689,0.010171673,0.770748645067215,0.5107545,6,901100,115.18266,199.05,4386.361901760101,0.01040785,0.010171673,0.0
199.05,4694,0.011214694,0.38399070501327515,0.47444668,5,902100,111.850365,199.05,4391.997139930725,0.0073525705,0.011214694,0.0
198.55,4699,0.007424482,0.43546682596206665,0.5093596,5,903080,109.01253,198.55,4397.587613582611,0.008677665,0.007424482,0.0
198.55,4704,0.010769057,0.47833168506622314,0.48933345,5,904080,109.1002,198.55,4402.904552936554,0.0068252576,0.010769057,0.0
198.025,4709,0.014990344,0.5775398313999176,0.5194153,5,905059,109.850136,198.025,4408.204895734787,0.008680178,0.014990344,0.0
197.4,4715,0.0071431426,0.6478355824947357,0.5397991,6,906234,111.106445,197.4,4412.854882478714,0.00414827,0.0071431426,0.0
197.3,4720,0.010400858,0.6381322145462036,0.509073,5,907192,113.61936,197.3,4417.595985174179,0.0056228,0.010400858,0.0
193.425,4726,0.011466298,0.8500522822141647,0.51183534,6,908237,116.80217,193.425,4422.185486793518,0.005671492,0.011466298,0.0
192.25,4731,0.015169059,0.7954776585102081,0.5194724,5,909190,118.0563,192.25,4427.605917692184,0.010074691,0.015169059,0.0
190.95,4737,0.015780838,0.8683856278657913,0.52683127,6,910318,123.444595,190.95,4433.217088460922,0.005101338,0.015780838,0.0
189.225,4742,0.016036792,0.8842429518699646,0.52182597,5,911249,130.34995,189.225,4438.677923679352,0.009640705,0.016036792,0.0
184.825,4748,0.020867418,0.6725043654441833,0.49153888,6,912252,131.7282,184.825,4443.628039598465,0.004588625,0.020867418,0.0
184.175,4754,0.017678652,0.8177252560853958,0.5133624,6,913401,134.17557,184.175,4448.70698261261,0.01021448,0.017678652,0.0
184.025,4759,0.011082258,0.8840565159916878,0.5143893,5,914354,134.19821,184.025,4454.245833158493,0.005531585,0.011082258,0.0
185.4,4764,0.01506513,0.9354308918118477,0.53049207,5,915354,133.942,185.4,4459.560862779617,0.0065482007,0.01506513,0.0
188.65,4769,0.017362129,0.8777299523353577,0.5313268,5,916354,136.4759,188.65,4464.139184474945,0.009009272,0.017362129,0.0
187.1,4775,0.018854085,0.7525190114974976,0.4922189,6,917402,135.09048,187.1,4468.722800731659,0.0072269384,0.018854085,0.0
185.925,4781,0.011186493,0.7210370302200317,0.45737064,6,918486,132.8916,185.925,4473.946012020111,0.00804762,0.011186493,0.0
190.85,4786,0.012860589,0.8232696950435638,0.49775386,5,919486,135.2922,190.85,4478.67956662178,0.008876389,0.012860589,0.0
189.775,4791,0.01230176,0.858996793627739,0.50503075,5,920443,132.38211,189.775,4484.235996007919,0.0056665735,0.01230176,0.0
189.975,4797,0.012607423,0.7264706194400787,0.48941064,6,921553,130.36206,189.975,4489.337717533112,0.007823182,0.012607423,0.0
189.975,4802,0.018227216,0.7806689590215683,0.5394207,5,922553,128.0594,189.975,4495.148811578751,0.006247439,0.018227216,0.0
187.7,4807,0.009902642,0.743964433670044,0.5062829,5,923462,123.6614,187.7,4500.049377679825,0.0062073153,0.009902642,0.0
191.5,4813,0.0035382425,0.8275421112775803,0.5080822,6,924662,121.57674,191.5,4504.709929704666,0.0058988184,0.0035382425,0.0
192.6,4818,0.015588819,0.7392723858356476,0.4938231,5,925662,117.74396,192.6,4509.592795610428,0.007613059,0.015588819,0.0
194.4,4823,0.014043983,0.6075907349586487,0.48125377,5,926662,115.05353,194.4,4514.243865966797,0.01134356,0.014043983,0.0
194.4,4828,0.011177699,0.8591630309820175,0.46904117,5,927662,110.18074,194.4,4519.171435117722,0.008672865,0.011177699,0.0
195.475,4833,0.015897483,0.5753286480903625,0.47201195,5,928662,107.380066,195.475,4523.874125957489,0.005496431,0.015897483,0.0
189.125,4840,0.0093145445,0.22088104486465454,0.42300284,7,929718,101.48953,189.125,4528.480450868607,0.005885736,0.0093145445,0.0
187.85,4845,0.014690048,0.4133220911026001,0.44215405,5,930667,99.62296,187.85,4533.453207492828,0.0077311853,0.014690048,0.0
189.5,4850,0.017052975,0.38470572233200073,0.45209187,5,931642,97.20689,189.5,4539.081271886826,0.007222036,0.017052975,0.0
189.5,4856,0.009758171,0.6179614663124084,0.5039154,6,932842,91.652466,189.5,4544.141094684601,0.008672515,0.009758171,0.0
189.5,4861,0.01932412,0.4468933939933777,0.4858939,5,933842,86.79115,189.5,4548.888312578201,0.012055753,0.01932412,0.0
187.45,4866,0.0051174248,0.25113940238952637,0.4355445,5,934760,82.775925,187.45,4553.786238908768,0.009922852,0.0051174248,0.0
187.45,4871,0.0132421,0.2336503267288208,0.46162182,5,935760,79.39613,187.45,4558.62770986557,0.006979853,0.0132421,0.0
192.225,4877,0.023043979,0.08691287040710449,0.43433905,6,936960,77.35394,192.225,4563.017016649246,0.008553697,0.023043979,0.0
193.15,4882,0.01693089,0.28493207693099976,0.4195672,5,937844,74.8579,193.15,4567.180379629135,0.0075225052,0.01693089,0.0
194.8,4887,0.014928024,0.15123242139816284,0.41311383,5,938844,71.86263,194.8,4572.700714588165,0.0074167633,0.014928024,0.0
195.05,4892,0.016053611,0.20159417390823364,0.45404813,5,939844,70.727356,195.05,4578.0115032196045,0.0072331624,0.016053611,0.0
195.05,4898,0.008177645,0.17531931400299072,0.39402404,6,941044,71.02296,195.05,4583.485474586487,0.007711524,0.008177645,0.0
195.05,4903,0.013185155,0.3233126401901245,0.39280757,5,942044,71.910904,195.05,4588.305824041367,0.006275655,0.013185155,0.0
192.3,4909,0.015792707,-0.029786348342895508,0.36618915,6,943052,72.58612,192.3,4594.273847103119,0.0073089967,0.015792707,0.0
189.225,4914,0.014388451,0.24960261583328247,0.40042108,5,943929,73.87599,189.225,4599.45134806633,0.00788494,0.014388451,0.0
192.125,4920,0.012983424,0.49904096126556396,0.4000093,6,945129,80.87825,192.125,4603.621933460236,0.007216782,0.012983424,0.0
192.125,4925,0.013543168,0.6012285947799683,0.44435483,5,946129,90.53801,192.125,4607.344635009766,0.005483526,0.013543168,0.0
192.125,4930,0.0072160885,0.4477478861808777,0.42732456,5,947129,96.956215,192.125,4611.893061876297,0.00581662,0.0072160885,0.0
192.125,4935,0.011767449,0.10682404041290283,0.42838585,5,948129,106.03096,192.125,4616.656325817108,0.007237643,0.011767449,0.0
192.125,4940,0.012235505,0.32080787420272827,0.4707863,5,949129,116.610756,192.125,4621.555891990662,0.00511612,0.012235505,0.0
192.125,4945,0.016567301,0.22007501125335693,0.44143045,5,950129,123.28801,192.125,4626.324375629425,0.007298961,0.016567301,0.0
194.85,4951,0.014292438,0.1482672095298767,0.44559583,6,951246,129.00029,194.85,4630.933704614639,0.00809945,0.014292438,0.0
197.925,4956,0.01895409,0.21393638849258423,0.44776052,5,952246,137.38797,197.925,4636.435868740082,0.0068111224,0.01895409,0.0
196.55,4961,0.0073516043,0.18253642320632935,0.4440798,5,953191,138.96819,196.55,4641.954793930054,0.0074172504,0.0073516043,0.0
196.55,4966,0.009822562,0.36707204580307007,0.45053095,5,954191,140.9123,196.55,4647.010167837143,0.0061417134,0.009822562,0.0
196.55,4972,0.012667908,0.3710787296295166,0.4586802,6,955391,147.77817,196.55,4651.794745206833,0.006692861,0.012667908,0.0
196.55,4977,0.016353615,0.49743276834487915,0.4632554,5,956391,147.9979,196.55,4656.792035102844,0.007557041,0.016353615,0.0
191.2,4983,0.011909004,0.41882359981536865,0.42406696,6,957377,142.00748,191.2,4662.0657958984375,0.0089396015,0.011909004,0.0
191.2,4988,0.011450699,0.6563792824745178,0.43533686,5,958377,146.48149,191.2,4667.209479093552,0.008044771,0.011450699,0.0
193.275,4993,0.009774119,0.7790156006813049,0.4586658,5,959377,150.34998,193.275,4672.188982963562,0.0062514455,0.009774119,0.0
193.275,4998,0.0135412775,0.8236971646547318,0.46522957,5,960377,147.30899,193.275,4676.661750793457,0.008448182,0.0135412775,0.0
191.0,5004,0.019058142,0.6993882060050964,0.4549744,6,961431,145.62122,191.0,4681.420202732086,0.007676681,0.019058142,0.0
191.0,5009,0.011509942,0.8838999196887016,0.47212157,5,962431,144.27164,191.0,4686.112883806229,0.007867773,0.011509942,0.0
191.0,5014,0.02147092,0.9149799644947052,0.47040242,5,963431,140.62894,191.0,4690.73761844635,0.009897491,0.02147092,0.0
192.6,5019,0.012319226,0.9252690970897675,0.4731828,5,964431,143.0317,192.6,4695.497318983078,0.0049898825,0.012319226,0.0
196.35,5025,0.0073025683,0.9434571303427219,0.4867949,6,965631,144.62651,196.35,4699.812510728836,0.0071323104,0.0073025683,0.0
196.35,5030,0.014430348,0.9499770626425743,0.48051035,5,966631,144.27744,196.35,4704.9931473731995,0.006618969,0.014430348,0.0
195.875,5035,0.023146667,0.9432738535106182,0.4669369,5,967612,141.06294,195.875,4709.895012140274,0.011557721,0.023146667,0.0
