TimestepsSoFar,EpRewMean,EpLenMean,TimeElapsed,ev_tdlam_before,surrgain,meankl,EpThisIter,entropy,EpisodesSoFar,entloss,EpTrueRewMean,optimgain
370320,598.6963,609.25,508.5089132785797,0.04644352197647095,0.035333656,0.009362495,1,3.1525362,344,0.0,1989.6855256646936,0.035333656
372123,604.97186,615.175,512.7712497711182,0.980483015999198,0.050545447,0.00880751,1,3.1700752,345,0.0,2011.3748194351538,0.050545447
375015,600.5925,608.925,517.0224094390869,0.9741519410163164,0.059187487,0.009468146,2,3.121676,347,0.0,1990.6035029667946,0.059187487
377634,580.6714,584.75,521.2823212146759,0.9726652428507805,0.058776245,0.009327358,3,3.1465762,350,0.0,1912.8997435387118,0.058776245
379626,582.3363,586.95,525.4806599617004,0.9761139806360006,0.05662439,0.009957913,1,3.0935993,351,0.0,1920.2751897845155,0.05662439
382608,588.6328,595.95,529.7262744903564,0.9501376636326313,0.062215682,0.009192409,2,3.0729344,353,0.0,1955.0707511969547,0.062215682
385704,596.85846,604.8,533.9793152809143,0.9666561000049114,0.057647604,0.00897976,2,3.1024396,355,0.0,1988.1108147490008,0.057647604
389559,601.9347,609.9,538.2249095439911,0.9612043760716915,0.064304516,0.009465869,2,3.0665493,357,0.0,2006.7053430487408,0.064304516
392559,615.0339,621.975,542.4323556423187,0.7358822822570801,0.048577692,0.009169796,1,3.0291157,358,0.0,2050.1581735081063,0.048577692
395712,614.44617,619.425,546.661869764328,0.9837980214506388,0.061248206,0.008904329,2,2.9671547,360,0.0,2043.6692019871916,0.061248206
398712,627.41974,633.95,550.9237406253815,0.7481435239315033,0.048308633,0.009768266,1,2.9716287,361,0.0,2092.825621037769,0.048308633
401370,631.9293,637.75,555.1987388134003,0.9717103783041239,0.07088846,0.009886027,1,2.9695823,362,0.0,2107.6659709034384,0.07088846
404283,647.9631,652.1,559.3740482330322,0.9745405856519938,0.063360885,0.0090651885,1,3.0381794,363,0.0,2160.202455150224,0.063360885
407283,661.77423,665.9,563.5434792041779,0.008324921131134033,0.03922014,0.008187503,1,3.0568523,364,0.0,2206.5263683990547,0.03922014
410283,664.2316,665.9,567.7697575092316,0.7818703949451447,0.04942982,0.010088522,1,2.975649,365,0.0,2213.959281501303,0.04942982
413283,667.2018,665.9,571.963294506073,0.025317490100860596,0.040508285,0.00901936,1,2.9385688,366,0.0,2218.122555878222,0.040508285
416283,680.35803,679.15,576.1924548149109,0.5148733258247375,0.046148747,0.010235327,1,2.881223,367,0.0,2264.563480501552,0.046148747
419871,680.25964,677.175,580.4613592624664,0.9786362182348967,0.055704102,0.009226085,2,2.881533,369,0.0,2262.8121198268636,0.055704102
422871,683.9583,679.875,584.7355296611786,0.8901001811027527,0.056680605,0.009418217,1,2.9026768,370,0.0,2264.311611246839,0.056680605
425871,685.62683,679.875,589.0146472454071,0.09773844480514526,0.050262928,0.010185746,1,2.8970926,371,0.0,2265.8536997861597,0.050262928
428871,697.813,692.125,593.2866129875183,0.1209709644317627,0.05037411,0.010527283,1,2.9195278,372,0.0,2310.8038067686075,0.05037411
431052,696.5775,685.3,597.5389719009399,0.8857545480132103,0.046740275,0.009882191,1,2.8960352,373,0.0,2293.634058317946,0.046740275
433263,694.50165,678.725,601.7941644191742,0.9695036206394434,0.053343862,0.009985903,1,2.8779,374,0.0,2277.3378952103053,0.053343862
434790,695.1283,678.125,606.1029169559479,0.9846726087853312,0.061529905,0.010340037,1,2.8708193,375,0.0,2278.290370065709,0.061529905
439350,704.5082,682.45,610.3869292736053,0.9830678589642048,0.05778659,0.010154499,2,2.7654753,377,0.0,2302.4303971547624,0.05778659
442350,713.92206,693.525,614.6607720851898,0.9756433349102736,0.051088497,0.009931817,1,2.6673188,378,0.0,2341.303820194096,0.051088497
