entropy,TimeElapsed,meankl,EpThisIter,entloss,EpRewMean,EpTrueRewMean,TimestepsSoFar,optimgain,EpisodesSoFar,EpLenMean,surrgain,ev_tdlam_before
8.076786,82.93672275543213,0.005859971,2,0.0,149.26877,250.17604594558603,51459,0.06171745,171,219.125,0.06171745,0.8304803520441055
8.05901,87.3987934589386,0.006016059,4,0.0,148.97571,267.27308129589727,54699,0.06627851,175,225.025,0.06627851,0.9027486592531204
8.042039,91.96335077285767,0.006230956,3,0.0,147.65427,272.32269304615676,57303,0.059206687,178,229.925,0.059206687,0.945212971419096
8.036181,96.35939407348633,0.0065529924,3,0.0,148.60867,283.00055522821947,59871,0.07064134,181,238.025,0.07064134,0.9142015799880028
8.083482,100.71412777900696,0.006144763,4,0.0,154.76164,301.6659333288394,63213,0.0720279,185,253.175,0.0720279,0.8374939262866974
8.038803,105.15523433685303,0.0070097074,3,0.0,161.5126,322.6111393433421,67800,0.057498597,188,277.85,0.057498597,0.882163479924202
8.028186,109.56108403205872,0.0068729343,3,0.0,165.42792,338.1994438671474,70689,0.07571688,191,285.7,0.07571688,0.9674044065177441
7.9963503,113.98685884475708,0.0063045565,4,0.0,168.00484,349.1893755361367,73791,0.06427073,195,291.275,0.06427073,0.9382629916071892
7.972533,118.3825294971466,0.0069867508,4,0.0,171.27104,364.6306163694938,76659,0.071540296,199,299.25,0.071540296,0.8547754138708115
7.975709,122.78999590873718,0.006243192,3,0.0,173.97302,375.2172717168361,79155,0.077816255,202,302.575,0.077816255,0.9554307609796524
7.968079,127.20045876502991,0.006862724,2,0.0,175.93819,384.71090100379007,81687,0.078475535,204,305.9,0.078475535,0.9000706076622009
7.9454384,131.5914661884308,0.006844965,4,0.0,181.34041,406.1877983121458,85059,0.069986925,208,313.75,0.069986925,0.9739231374114752
7.948838,135.97925281524658,0.0066629164,4,0.0,175.84982,401.9289118394597,88344,0.084858775,212,295.65,0.084858775,0.8173364251852036
7.9508696,140.3422019481659,0.0064966367,3,0.0,182.6322,420.06452245152457,91011,0.08703977,215,302.6,0.08703977,0.7900123447179794
7.941517,144.8929741382599,0.0066707036,2,0.0,188.81783,440.6578274218658,92898,0.08401047,217,308.45,0.08401047,0.9286836832761765
7.9200315,149.6476821899414,0.00656757,3,0.0,191.13704,451.7881720431633,95676,0.09315426,220,305.475,0.09315426,0.8930163905024529
7.8966827,154.1647276878357,0.006606293,2,0.0,200.83987,475.1872738784268,98316,0.09011786,222,317.0,0.09011786,0.7036435604095459
7.8913107,158.64402770996094,0.006987283,3,0.0,203.0635,486.24540222251187,101544,0.13374704,225,319.425,0.13374704,0.7217049300670624
7.879517,163.03832054138184,0.006976909,3,0.0,199.0822,484.88494748786724,104241,0.08384511,228,303.675,0.08384511,0.8877899125218391
7.879017,167.46697163581848,0.0073491796,4,0.0,202.08707,501.18324622497494,108243,0.091063984,232,304.85,0.091063984,0.8474163264036179
7.8900185,171.90776586532593,0.006365294,5,0.0,201.42986,504.4182371338064,112182,0.08163738,237,308.375,0.08163738,0.7375497221946716
7.9011374,176.26055455207825,0.006369457,3,0.0,208.42403,529.2628827241693,115293,0.091289476,240,316.875,0.091289476,0.9334094971418381
7.882187,180.7447156906128,0.0066760853,5,0.0,203.43864,521.8185258406804,118800,0.07256424,245,302.1,0.07256424,0.7479952275753021
7.8651114,185.17022728919983,0.0059283357,3,0.0,206.32462,530.8134210726912,121515,0.09303741,248,303.8,0.09303741,0.7602955102920532
7.8660307,189.60920071601868,0.0066544283,3,0.0,208.71964,540.8023306471254,124215,0.09047633,251,305.6,0.09047633,0.7964978963136673
7.845386,194.01532745361328,0.006611253,4,0.0,209.10054,548.1614071339654,127911,0.101496905,255,307.5,0.101496905,0.8001058399677277
7.83783,198.424733877182,0.00783157,4,0.0,206.27043,546.0054266545973,131157,0.0936902,259,300.575,0.0936902,0.8936005085706711
7.8288536,202.81228494644165,0.0064950977,2,0.0,205.7657,548.3336432268078,134067,0.089060105,261,303.5,0.089060105,0.6997900605201721
7.823792,207.23942232131958,0.0059868405,4,0.0,203.03209,545.0053093250048,137586,0.07372554,265,300.35,0.07372554,0.8824760094285011
7.836182,211.65375804901123,0.006652586,3,0.0,205.35612,548.0238280824135,140010,0.09595385,268,298.075,0.09595385,0.7295179069042206
7.812817,216.07419085502625,0.0068905195,3,0.0,209.06058,556.9705198531592,144540,0.095844135,271,307.775,0.095844135,0.840223103761673
7.8172126,220.43344902992249,0.006684202,2,0.0,218.29343,574.0167171123311,147555,0.09142666,273,312.95,0.09142666,0.8177338987588882
7.805008,224.85157871246338,0.0071012503,2,0.0,226.17278,595.4804834277447,150081,0.11249369,275,327.075,0.11249369,0.664592832326889
7.807361,229.2874698638916,0.00640046,3,0.0,232.90634,612.798877239303,153273,0.12150255,278,336.95,0.12150255,0.6449034810066223
