EpRewMean,ev_tdlam_before,entloss,EpThisIter,optimgain,meankl,TimeElapsed,EpLenMean,TimestepsSoFar,EpisodesSoFar,EpTrueRewMean,entropy,surrgain
51.94686,0.6241724491119385,0.0,13,0.21632963,0.0090649165,207.32945919036865,73.25,92703,669,358.9805784983181,23.898987,0.21632963
52.798573,0.7499224543571472,0.0,14,0.19003102,0.008724255,213.9632580280304,75.575,95694,683,366.7884871203429,23.898514,0.19003102
52.007782,0.764132022857666,0.0,13,0.20968242,0.008525155,220.66647291183472,76.4,98706,696,369.20255363770366,23.920412,0.20968242
47.49569,0.7604191154241562,0.0,16,0.18771866,0.00872672,227.36542773246765,70.9,101748,712,346.404384543402,23.905338,0.18771866
42.185295,0.6723345816135406,0.0,17,0.19806974,0.009584728,234.01752376556396,65.45,104814,729,319.13047258239897,23.884052,0.19806974
42.775787,0.6845915913581848,0.0,14,0.2091558,0.009293575,240.68238162994385,66.375,107994,743,323.5702421536681,23.861326,0.2091558
42.854836,0.7413542866706848,0.0,14,0.18661001,0.008679729,247.33354663848877,69.85,110937,757,340.7576476167568,23.836506,0.18661001
43.034863,0.6687077283859253,0.0,15,0.22566688,0.008675018,254.01225066184998,71.125,114060,772,347.3772993091886,23.824957,0.22566688
41.22007,0.7483841478824615,0.0,16,0.22624895,0.0091586,260.70717906951904,67.625,117012,788,333.3493951799031,23.832767,0.22624895
35.499947,0.6353184878826141,0.0,17,0.17700472,0.0092687,267.3596820831299,61.275,120042,805,307.51128344009356,23.824543,0.17700472
38.161083,0.7757407575845718,0.0,15,0.20295733,0.008611949,273.99832582473755,63.075,123066,820,315.27251856816054,23.853277,0.20295733
38.19037,0.7567439079284668,0.0,15,0.19667643,0.0091361115,280.5551812648773,65.725,126201,835,321.9351920193076,23.868484,0.19667643
43.976887,0.7482708990573883,0.0,14,0.30169392,0.009671965,287.2141070365906,69.775,129264,849,335.2736975075369,23.832111,0.30169392
45.83473,0.7057457566261292,0.0,14,0.21327204,0.008979958,293.82729268074036,71.275,132288,863,337.03178651425753,23.84424,0.21327204
52.00683,0.7010590732097626,0.0,10,0.20208877,0.00914585,300.4604501724243,79.525,135216,873,377.5023748915006,23.830402,0.20208877
50.78632,0.7457910776138306,0.0,16,0.22621638,0.009941334,307.0709421634674,76.275,138417,889,363.53734878333483,23.83498,0.22621638
50.356625,0.6277649104595184,0.0,14,0.21335295,0.009180965,313.736656665802,77.85,141630,903,375.3110549741521,23.859797,0.21335295
48.862892,0.6635375022888184,0.0,13,0.23732492,0.009601723,320.33014011383057,73.075,144723,916,356.03079728946904,23.8277,0.23732492
50.029564,0.7576584815979004,0.0,14,0.19339624,0.009550763,327.0720453262329,76.125,147750,930,368.0309431695449,23.835266,0.19339624
50.623768,0.759275808930397,0.0,13,0.23774487,0.010152531,333.65433263778687,76.425,150801,943,370.7451958776962,23.832932,0.23774487
46.982227,0.7074195742607117,0.0,14,0.24927156,0.009431962,340.2126564979553,72.85,153684,957,353.86002344160335,23.85402,0.24927156
47.752922,0.7943475842475891,0.0,12,0.22203755,0.010159079,346.8405952453613,74.725,156456,969,360.0667263489068,23.825867,0.22203755
46.93067,0.7269247174263,0.0,13,0.22274026,0.009827778,353.48673367500305,75.025,159564,982,362.7086020997675,23.822586,0.22274026
50.224094,0.7361754775047302,0.0,14,0.2266971,0.009718492,360.1146938800812,76.4,162588,996,368.409965828626,23.795835,0.2266971
52.781982,0.7507257163524628,0.0,14,0.250306,0.009907618,366.7387487888336,75.65,165771,1010,370.67187291890366,23.749735,0.250306
54.905933,0.6943584084510803,0.0,13,0.20441252,0.009727104,373.2930874824524,75.375,168852,1023,375.00982049855236,23.729425,0.20441252
54.70188,0.7642893642187119,0.0,13,0.2131753,0.009662909,379.89205527305603,76.475,171765,1036,382.81539013922185,23.698725,0.2131753
54.657,0.7227414846420288,0.0,14,0.20923603,0.010224897,386.52873396873474,76.15,174909,1050,380.5901785081543,23.70583,0.20923603
52.31655,0.7222626209259033,0.0,14,0.25038198,0.010373896,393.06930708885193,73.875,177954,1064,361.9011341242275,23.682108,0.25038198
53.567566,0.7763110548257828,0.0,13,0.25875062,0.009905288,399.6218671798706,74.175,181059,1077,363.0111917036553,23.70866,0.25875062
53.237293,0.7200278639793396,0.0,13,0.21335074,0.010163974,406.1690776348114,76.075,184038,1090,371.54205186728245,23.699213,0.21335074
