TimeElapsed,EpTrueRewMean,surrgain,EpLenMean,TimestepsSoFar,ev_tdlam_before,meankl,entloss,optimgain,EpThisIter,EpRewMean,entropy,EpisodesSoFar
641.3967914581299,422.02829743060045,0.25175416,83.6,352161,0.904232032597065,0.012750642,0.0,0.25175416,12,422.02829743060045,23.496586,1806
647.0288434028625,435.53065648823804,0.31141177,85.525,355068,0.8897107765078545,0.012767391,0.0,0.31141177,11,435.53065648823804,23.489008,1817
652.7186012268066,463.04085589961414,0.3109415,90.625,358182,0.8455727845430374,0.012883483,0.0,0.3109415,10,463.04085589961414,23.487774,1827
658.389835357666,451.21202143700395,0.26964653,89.075,361254,0.9043756052851677,0.012439533,0.0,0.26964653,13,451.21202143700395,23.485514,1840
664.0347712039948,447.04238028828587,0.25816473,89.1,364449,0.8769450038671494,0.0135574825,0.0,0.25816473,12,447.04238028828587,23.485113,1852
669.5311748981476,441.7408087491896,0.27820736,88.4,367476,0.8496014475822449,0.011797712,0.0,0.27820736,10,441.7408087491896,23.482,1862
675.1362445354462,455.6860884371883,0.27680844,92.1,370395,0.9074664264917374,0.0128224585,0.0,0.27680844,10,455.6860884371883,23.479166,1872
680.6677360534668,477.4267144135263,0.2717421,97.4,373533,0.8908987417817116,0.014311086,0.0,0.2717421,11,477.4267144135263,23.48537,1883
686.2704968452454,465.70474397924136,0.27564147,94.75,376818,0.9240214973688126,0.014700309,0.0,0.27564147,13,465.70474397924136,23.483904,1896
691.8225672245026,432.39467381622023,0.24760398,87.025,379707,0.9014629572629929,0.012577025,0.0,0.24760398,12,432.39467381622023,23.489437,1908
697.3092138767242,424.80512541917153,0.2790736,85.5,382746,0.8693393915891647,0.012319389,0.0,0.2790736,11,424.80512541917153,23.482845,1919
702.9023773670197,422.2431524899168,0.2606155,84.6,385698,0.9016326516866684,0.012727629,0.0,0.2606155,12,422.2431524899168,23.475504,1931
708.3922140598297,437.0996413483719,0.2697941,87.775,388833,0.9219853579998016,0.013840454,0.0,0.2697941,11,437.0996413483719,23.484293,1942
713.9393379688263,450.5466902966176,0.29276776,90.425,391887,0.9147850126028061,0.0122990515,0.0,0.29276776,11,450.5466902966176,23.493082,1953
719.4169592857361,444.8281354882188,0.2627943,88.675,394782,0.9096432104706764,0.01283838,0.0,0.2627943,12,444.8281354882188,23.4903,1965
725.0174915790558,431.84606455471055,0.28655422,85.85,397911,0.9126684814691544,0.012283348,0.0,0.28655422,13,431.84606455471055,23.494062,1978
730.5941388607025,432.58980731350255,0.2780175,86.2,401145,0.8794758319854736,0.012984425,0.0,0.2780175,11,432.58980731350255,23.495522,1989
736.1391868591309,449.39024591290655,0.26592812,89.475,404154,0.8715252876281738,0.013141771,0.0,0.26592812,11,449.39024591290655,23.503155,2000
741.6933362483978,446.42780492504835,0.3017008,89.575,407007,0.8544615060091019,0.014043886,0.0,0.3017008,11,446.42780492504835,23.500422,2011
747.2443633079529,471.14775959122414,0.15912679,95.125,410100,0.8867114707827568,0.0037776637,0.0,0.15912679,10,471.14775959122414,23.497297,2021
752.7712647914886,467.758125167836,0.30564147,94.2,413127,0.8983467295765877,0.014026336,0.0,0.30564147,11,467.758125167836,23.496515,2032
758.3662755489349,468.36223758354174,0.27421957,94.625,416505,0.8682138025760651,0.011996588,0.0,0.27421957,12,468.36223758354174,23.497068,2044
763.917906999588,446.92892349134365,0.27993482,89.425,419580,0.8898912817239761,0.013660797,0.0,0.27993482,12,446.92892349134365,23.498785,2056
769.4715728759766,447.827655576896,0.26371324,89.3,422853,0.9184687733650208,0.013089951,0.0,0.26371324,12,447.827655576896,23.496403,2068
775.0373020172119,440.7770064055532,0.24572864,86.9,425886,0.8921617940068245,0.013344777,0.0,0.24572864,12,440.7770064055532,23.493227,2080
780.5309636592865,443.77668674761844,0.27394477,87.7,428964,0.8848856464028358,0.013791562,0.0,0.27394477,12,443.77668674761844,23.491617,2092
786.0383636951447,426.53914661827787,0.26740175,83.75,432111,0.9212522655725479,0.013506697,0.0,0.26740175,13,426.53914661827787,23.492023,2105
791.5564684867859,421.2199279973305,0.2997509,84.0,435060,0.9051759392023087,0.013838424,0.0,0.2997509,11,421.2199279973305,23.488836,2116
797.3947830200195,433.4627156650455,0.14840615,85.875,438210,0.9289277121424675,0.0038467771,0.0,0.14840615,12,433.4627156650455,23.48438,2128
802.8891723155975,449.9729695284917,0.28187475,89.35,441240,0.9026439338922501,0.0132488385,0.0,0.28187475,10,449.9729695284917,23.482603,2138
808.3963644504547,470.5697551161381,0.29141852,93.625,444447,0.9072397872805595,0.013502397,0.0,0.29141852,11,470.5697551161381,23.473898,2149
813.8620510101318,452.09955156594935,0.27895343,89.75,447426,0.8726717233657837,0.014287006,0.0,0.27895343,13,452.09955156594935,23.47119,2162
819.3316593170166,450.47234318333847,0.28770334,90.45,450675,0.9006069600582123,0.013211176,0.0,0.28770334,11,450.47234318333847,23.464521,2173
824.9407105445862,441.70934875068633,0.16783126,88.375,453588,0.8505294620990753,0.0037846912,0.0,0.16783126,11,441.70934875068633,23.466618,2184
830.3290617465973,446.2024624628801,0.27409923,89.0,456708,0.9121548160910606,0.013879127,0.0,0.27409923,12,446.2024624628801,23.471859,2196
835.7786493301392,433.2108222435494,0.28037283,86.225,459828,0.8936597555875778,0.013872824,0.0,0.28037283,13,433.2108222435494,23.470377,2209
841.3355512619019,422.48027158748073,0.31145114,83.9,462687,0.8148835897445679,0.01394497,0.0,0.31145114,11,422.48027158748073,23.469748,2220
846.8469815254211,432.74490146521657,0.2781207,86.35,465639,0.9236698374152184,0.014199773,0.0,0.2781207,10,432.74490146521657,23.470377,2230
852.3008391857147,430.30555315094745,0.24194448,86.975,468681,0.9036935269832611,0.01391342,0.0,0.24194448,12,430.30555315094745,23.467367,2242
857.712028503418,440.70294163008185,0.25212276,88.6,471726,0.9076174199581146,0.014724578,0.0,0.25212276,12,440.70294163008185,23.461344,2254
863.2166483402252,450.51494720250537,0.30179727,90.95,475026,0.9094279780983925,0.013014106,0.0,0.30179727,11,450.51494720250537,23.464117,2265
868.8971633911133,441.2066527877363,0.28146338,88.6,478029,0.9251648113131523,0.0136475805,0.0,0.28146338,12,441.2066527877363,23.462564,2277
874.3434035778046,463.23503541761045,0.33028919,92.475,481092,0.8718207478523254,0.014589207,0.0,0.33028919,10,463.23503541761045,23.463545,2287
879.8211178779602,475.50605164491196,0.25812775,94.825,484158,0.9112096130847931,0.013390336,0.0,0.25812775,10,475.50605164491196,23.465155,2297
885.3544986248016,499.1519687450092,0.2789127,98.55,487287,0.8422545939683914,0.013724953,0.0,0.2789127,10,499.1519687450092,23.461733,2307
890.9289791584015,502.853463456452,0.26333773,100.425,490332,0.8958027586340904,0.012830908,0.0,0.26333773,11,502.853463456452,23.461931,2318
896.463036775589,477.9992557953292,0.24977987,96.325,493284,0.921693965792656,0.01302764,0.0,0.24977987,11,477.9992557953292,23.454348,2329
901.9256443977356,472.3832395893711,0.17473605,94.85,496215,0.9160158932209015,0.0039909207,0.0,0.17473605,10,472.3832395893711,23.451838,2339
907.4714124202728,440.279939663392,0.24079545,89.525,499050,0.9270186573266983,0.013240603,0.0,0.24079545,11,440.279939663392,23.461264,2350
912.9621932506561,436.21837889923756,0.26393297,89.15,502278,0.9031813442707062,0.014927226,0.0,0.26393297,13,436.21837889923756,23.46462,2363
918.4667398929596,439.97060014817237,0.14399953,90.3,505545,0.8836910724639893,0.0038902967,0.0,0.14399953,11,439.97060014817237,23.465837,2374
923.8862042427063,448.358597359659,0.26632383,91.025,508689,0.8911493346095085,0.0142529365,0.0,0.26632383,11,448.358597359659,23.468283,2385
929.3044764995575,471.848108435078,0.3337264,94.45,511632,0.891323946416378,0.013088264,0.0,0.3337264,10,471.848108435078,23.473639,2395
934.7499105930328,461.3192005330908,0.13942215,91.3,514788,0.8611323982477188,0.0039983643,0.0,0.13942215,13,461.3192005330908,23.468912,2408
940.2376234531403,458.63619614230254,0.2581702,91.125,517803,0.882754810154438,0.012809919,0.0,0.2581702,11,458.63619614230254,23.464048,2419
945.797162771225,442.3418003616547,0.24943884,87.55,520848,0.9133840575814247,0.013527414,0.0,0.24943884,11,442.3418003616547,23.458256,2430
951.3778574466705,438.3309692876568,0.28254545,87.975,523920,0.9064846411347389,0.012910901,0.0,0.28254545,12,438.3309692876568,23.467525,2442
957.1133804321289,460.0990819009397,0.2585461,92.625,527262,0.9199014008045197,0.013675066,0.0,0.2585461,11,460.0990819009397,23.464352,2453
962.6858658790588,444.0831856508963,0.2604051,90.675,530439,0.8856800571084023,0.013763148,0.0,0.2604051,12,444.0831856508963,23.466803,2465
968.3136110305786,446.9873119626542,0.28144127,90.125,533661,0.8917043581604958,0.014831209,0.0,0.28144127,13,446.9873119626542,23.467451,2478
973.9487602710724,444.0267889043889,0.28995797,88.1,536835,0.9195717573165894,0.014917689,0.0,0.28995797,12,444.0267889043889,23.462969,2490
979.6911523342133,439.08220963100547,0.2551601,87.3,539922,0.8984238505363464,0.014561394,0.0,0.2551601,11,439.08220963100547,23.459234,2501
985.2777099609375,450.8395722805206,0.28480566,89.325,542691,0.9382794350385666,0.013745331,0.0,0.28480566,11,450.8395722805206,23.463444,2512
990.9254972934723,465.61894380646874,0.14709467,92.075,545751,0.8873249664902687,0.0038376919,0.0,0.14709467,10,465.61894380646874,23.466373,2522
996.6697618961334,458.9392007864033,0.54474056,91.075,548856,0.9174715951085091,0.014150601,0.0,0.54474056,12,458.9392007864033,23.467512,2534
1002.3937902450562,472.5950494263828,0.23916496,93.4,551874,0.8689855486154556,0.013901216,0.0,0.23916496,10,472.5950494263828,23.478758,2544
1008.082682132721,462.1675825216794,0.28881514,91.0,554997,0.9199709370732307,0.014472571,0.0,0.28881514,12,462.1675825216794,23.477116,2556
1013.6598510742188,443.31153715633536,0.26354307,87.5,558174,0.9167608171701431,0.01495079,0.0,0.26354307,13,443.31153715633536,23.477703,2569
1019.208723783493,438.3552306578933,0.13595957,86.825,561258,0.9035405591130257,0.0038229628,0.0,0.13595957,11,438.3552306578933,23.47933,2580
1024.7995870113373,437.40127254500965,0.14675292,86.375,564330,0.9126927852630615,0.0038356264,0.0,0.14675292,12,437.40127254500965,23.480953,2592
