entropy,meankl,optimgain,EpThisIter,EpRewMean,TimestepsSoFar,ev_tdlam_before,EpLenMean,EpTrueRewMean,EpisodesSoFar,entloss,surrgain,TimeElapsed
5.3731866,0.010316302,0.07910688,1,707.5958,893502,-0.0035289525985717773,702.5,2232.820003509611,749,0.0,0.07910688,1268.9774363040924
5.33874,0.011307728,0.07475135,1,709.0736,896502,0.5370170176029205,704.7,2239.3749731916155,750,0.0,0.07475135,1273.3824305534363
5.3661885,0.011527605,0.083292484,2,688.92834,900057,0.686283677816391,684.325,2169.4877848879014,752,0.0,0.083292484,1277.7499299049377
5.3628726,0.0117583675,0.08769177,1,689.4233,903057,0.013180136680603027,684.325,2175.495971139041,753,0.0,0.08769177,1282.1796307563782
5.3448663,0.010047044,0.07244947,2,696.0136,908877,0.8869579210877419,690.375,2201.465677099231,755,0.0,0.07244947,1286.5632479190826
5.332541,0.01175124,0.08933081,1,695.53064,911877,-0.054671406745910645,690.375,2202.487567193348,756,0.0,0.08933081,1290.9801185131073
5.2862554,0.011338949,0.13206273,1,697.4542,913116,0.9884918192401528,690.325,2216.2965023097577,757,0.0,0.13206273,1295.3536927700043
5.218041,0.011686413,0.074586496,1,706.6022,916116,0.0014600157737731934,701.15,2250.332029806045,758,0.0,0.074586496,1299.681640625
5.2128353,0.011753077,0.095267735,1,708.28577,919116,-0.0012296438217163086,705.525,2262.212541698648,759,0.0,0.095267735,1304.0945439338684
5.241093,0.012311123,0.106054015,1,718.2637,920676,0.8672652989625931,714.25,2299.738273790977,760,0.0,0.106054015,1308.534331560135
5.240944,0.010054289,0.07573713,1,715.2013,923676,-0.02957463264465332,714.25,2296.817038759088,761,0.0,0.07573713,1312.897201538086
5.254273,0.011403595,0.08672792,1,735.2316,926676,0.01915884017944336,735.475,2367.680163303605,762,0.0,0.08672792,1317.316876411438
5.247902,0.011680425,0.10123558,2,726.0635,931575,0.5578954219818115,726.3,2336.888429311051,764,0.0,0.10123558,1321.7143194675446
5.240295,0.012124015,0.120670155,2,720.194,934671,0.7440136075019836,716.7,2314.855781122762,766,0.0,0.120670155,1326.0915110111237
5.1876826,0.0117831,0.17520806,3,714.49023,938715,0.7950343489646912,706.4,2293.791435690275,769,0.0,0.17520806,1330.483067035675
5.1652207,0.009991717,0.07804626,1,708.5204,941715,-0.014867544174194336,706.4,2275.7563078725725,770,0.0,0.07804626,1334.9468245506287
5.1807246,0.011595079,0.0831147,1,723.14264,944715,0.009138047695159912,722.125,2325.499289899052,771,0.0,0.0831147,1339.6583597660065
5.163067,0.010262538,0.0738764,1,735.74756,947715,-0.01246631145477295,735.425,2371.45951029952,772,0.0,0.0738764,1344.0630223751068
5.1572933,0.01309625,0.09318766,1,755.80994,950715,0.006618618965148926,756.125,2439.973431516179,773,0.0,0.09318766,1348.4708015918732
5.13572,0.010640882,0.12902929,2,746.8001,954123,0.8827496320009232,748.5,2409.012775683146,775,0.0,0.12902929,1352.7780995368958
5.138161,0.010804046,0.091737255,1,746.02625,957123,0.12469500303268433,748.5,2408.1294092948074,776,0.0,0.091737255,1357.0929720401764
5.0839458,0.010636158,0.12461273,2,751.6212,960672,0.6673296988010406,751.325,2430.4901602837263,778,0.0,0.12461273,1361.4641478061676
5.1265492,0.0108953975,0.10664138,1,747.378,962025,0.8729623556137085,747.075,2416.619880720992,779,0.0,0.10664138,1365.8422911167145
