meankl,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,surrgain,EpThisIter,TimeElapsed,entloss,EpLenMean,entropy,EpRewMean,EpisodesSoFar,optimgain
0.004460224,0.7751239538192749,915840,2757.9640917895313,0.029403567,2,14329.097484588623,0.0,776.05,1.4531668,397.44095,1585,0.029403567
0.010174184,-0.052106261253356934,916840,2758.3102534586683,0.037782237,1,14338.758937835693,0.0,776.05,1.465013,397.2657,1586,0.037782237
0.011749754,-0.04931485652923584,917840,2759.0568099618026,0.054154344,1,14348.41617512703,0.0,776.05,1.4664981,396.93048,1587,0.054154344
0.013496368,0.009148657321929932,918840,2821.448719487852,0.05016333,1,14358.317523956299,0.0,794.05,1.4479022,404.80997,1588,0.05016333
0.010522808,0.7803056389093399,920109,2758.2140962272188,0.048321187,2,14367.983969449997,0.0,775.775,1.4747189,396.68686,1590,0.048321187
0.010666726,0.9744026586413383,921109,2830.411466213961,0.053034883,1,14377.538769960403,0.0,795.025,1.4826562,406.16058,1591,0.053034883
0.011512203,0.7635651379823685,922109,2831.491647063712,0.040986814,1,14387.617966413498,0.0,795.025,1.4911281,406.71024,1592,0.040986814
0.011038725,0.980843223631382,922885,2885.4828617479993,0.06361902,1,14397.237426280975,0.0,809.2,1.479959,414.06592,1593,0.06361902
0.012442323,0.002937495708465576,923885,2885.4729352047993,0.044012338,1,14408.523381948471,0.0,809.2,1.476269,413.85516,1594,0.044012338
0.011428097,0.15165984630584717,924885,2886.8148214077037,0.03916497,1,14420.27989602089,0.0,809.2,1.4895867,414.03067,1595,0.03916497
0.01072096,0.9402117282152176,926843,2957.1985694410223,0.059725933,2,14430.139269590378,0.0,827.95,1.469209,423.95148,1597,0.059725933
0.010657983,0.06321448087692261,927843,2958.6151422706757,0.05164189,1,14439.780287265778,0.0,827.95,1.4716512,424.4842,1598,0.05164189
0.011411756,0.0395469069480896,928843,2958.6391799929697,0.046743233,1,14449.50853228569,0.0,827.95,1.4677153,424.88385,1599,0.046743233
0.011112342,0.9624742157757282,929717,2951.687437386508,0.060503107,1,14459.488556146622,0.0,824.8,1.4639941,424.21567,1600,0.060503107
0.010635882,0.13518255949020386,930717,2952.7466232011234,0.044052146,1,14469.255788087845,0.0,824.8,1.482237,424.8478,1601,0.044052146
0.010807714,0.07508248090744019,931318,2915.5238574681944,0.050577004,1,14479.003025054932,0.0,814.825,1.4775134,420.34137,1602,0.050577004
0.0043758624,0.12908977270126343,932318,2917.192327706934,0.024429232,1,14488.631527423859,0.0,814.825,1.4929477,421.0543,1603,0.024429232
