meankl,TimeElapsed,ev_tdlam_before,EpRewMean,EpLenMean,entropy,surrgain,EpTrueRewMean,optimgain,TimestepsSoFar,entloss,EpThisIter,EpisodesSoFar
0.0069245966,227.11407566070557,0.9249526932835579,343.37665,381.675,7.909133,0.07787593,622.8378297619556,0.07787593,158610,0.0,3,295
0.0070885876,231.1462574005127,0.8210395872592926,359.7648,397.3,7.886978,0.08655502,658.9710083459984,0.08655502,162144,0.0,2,297
0.007527061,235.31342339515686,0.910865418612957,372.91586,409.475,7.8836675,0.08817659,688.7517495142783,0.08817659,165306,0.0,2,299
0.00708022,239.42762660980225,0.8968730568885803,389.34967,419.025,7.8780026,0.10154242,726.8976561451975,0.10154242,169548,0.0,3,302
0.008092634,243.6168475151062,0.8815754055976868,390.31897,419.775,7.845216,0.098934904,724.7716921211756,0.098934904,173043,0.0,3,305
0.0077533824,247.66708421707153,0.9153348878026009,397.8877,418.55,7.8513336,0.12187027,745.5341532745467,0.12187027,175917,0.0,2,307
0.0068406397,251.61975836753845,0.823173314332962,399.23932,415.2,7.8426633,0.10792521,749.9674402357108,0.10792521,177012,0.0,1,308
0.0073544066,255.54196310043335,0.8598983734846115,397.62643,414.1,7.8387613,0.08756988,749.2802073659392,0.08756988,178017,0.0,1,309
0.007839641,259.59108567237854,0.8702599704265594,406.2365,416.8,7.8417487,0.11128174,769.7969848893183,0.11128174,181026,0.0,2,311
0.0071041808,263.6527807712555,0.01717996597290039,416.43686,432.7,7.8516245,0.07218916,794.8341292544713,0.07218916,184026,0.0,1,312
0.007327444,267.6245005130768,0.8474490493535995,421.5617,429.975,7.8494115,0.082134575,813.6931348688775,0.082134575,187725,0.0,3,315
0.008122022,271.71371817588806,0.8711451888084412,424.62207,428.625,7.8308144,0.10067259,819.2143547902884,0.10067259,190899,0.0,3,318
0.008432319,275.6880910396576,0.8450532257556915,439.33893,436.3,7.8271966,0.097905606,853.6808113562262,0.097905606,194442,0.0,3,321
0.0077419025,279.6747510433197,0.9423590041697025,439.01703,426.475,7.8257933,0.0847372,852.5889546303686,0.0847372,197541,0.0,3,324
0.007827022,283.6790807247162,0.8796120285987854,444.2591,426.3,7.816166,0.08329497,875.4841849820926,0.08329497,200802,0.0,3,327
0.00773869,287.6959047317505,0.9105451479554176,440.41592,422.75,7.7994423,0.084753305,878.0901993477786,0.084753305,203901,0.0,3,330
0.0076353545,291.6945791244507,0.7308188080787659,439.23373,431.6,7.787585,0.07118819,883.3339473096033,0.07118819,207330,0.0,2,332
0.0075377757,295.68033599853516,0.9304728284478188,455.29492,445.525,7.7935333,0.09910419,935.9455139596068,0.09910419,212073,0.0,3,335
0.007828979,299.6537969112396,0.5075185894966125,459.9894,452.95,7.78862,0.0707718,955.5762939416323,0.0707718,216498,0.0,2,337
0.008206684,303.73059368133545,0.7248834371566772,448.32904,443.8,7.794494,0.07701149,943.3781840893159,0.07701149,220176,0.0,3,340
0.0071035787,307.7872292995453,0.9017348885536194,457.57007,452.025,7.7995005,0.14304948,974.2664208346847,0.14304948,223791,0.0,2,342
0.008028952,311.8442862033844,0.887556217610836,456.52753,451.65,7.7841315,0.091802634,986.5861999344692,0.091802634,227241,0.0,3,345
0.007871369,315.7925269603729,0.9263482987880707,464.0328,461.3,7.783084,0.08606839,1006.7314990042785,0.08606839,232368,0.0,3,348
