EpRewMean,meankl,EpTrueRewMean,EpThisIter,EpisodesSoFar,TimestepsSoFar,entropy,EpLenMean,ev_tdlam_before,entloss,surrgain,TimeElapsed,optimgain
1589.560538916015,0.008612743,1589.560538916015,1,400,315522,7.2167225,677.475,0.022132515907287598,0.0,0.079141386,415.6578996181488,0.079141386
1631.894095117506,0.0074694045,1631.894095117506,1,401,318522,7.2133307,692.4,0.153039813041687,0.0,0.083880566,419.7104501724243,0.083880566
1675.2518564768966,0.008247967,1675.2518564768966,2,403,322536,7.21654,704.1,0.5669724643230438,0.0,0.07585545,423.642151594162,0.07585545
1658.327160819829,0.008463198,1658.327160819829,2,405,325596,7.2037225,693.775,0.9048760905861855,0.0,0.104484975,427.76294231414795,0.104484975
1680.8472162747253,0.008186709,1680.8472162747253,1,406,328596,7.193465,703.225,0.03330099582672119,0.0,0.076875985,431.90241503715515,0.076875985
1678.7589424467574,0.007886795,1678.7589424467574,1,407,331596,7.211425,703.225,0.055795252323150635,0.0,0.08346399,436.00757002830505,0.08346399
1700.92281557143,0.0077679683,1700.92281557143,1,408,334473,7.214661,711.275,0.8319199979305267,0.0,0.08134437,440.09652185440063,0.08134437
1735.760989855379,0.0077412273,1735.760989855379,1,409,337473,7.2146473,724.3,0.15699118375778198,0.0,0.09428684,444.23788928985596,0.09428684
1800.1322068952813,0.010065824,1800.1322068952813,2,411,342768,7.216476,746.85,0.4448589086532593,0.0,0.087332435,448.2264926433563,0.087332435
1792.7667251091875,0.008963875,1792.7667251091875,1,412,345768,7.2012362,746.85,0.051535725593566895,0.0,0.08125053,452.3267047405243,0.08125053
1842.9833197370638,0.008349565,1842.9833197370638,1,413,348768,7.208495,763.7,0.10877221822738647,0.0,0.09426598,456.43842935562134,0.09426598
1863.7034968955486,0.008531547,1863.7034968955486,2,415,351888,7.2231927,770.525,0.6793690025806427,0.0,0.10301128,460.50510454177856,0.10301128
