surrgain,ev_tdlam_before,EpLenMean,TimeElapsed,meankl,EpTrueRewMean,entloss,EpisodesSoFar,TimestepsSoFar,entropy,EpThisIter,EpRewMean,optimgain
0.16597988,0.5036855340003967,66.675,836.0119395256042,0.009171253,341.83026374860555,0.0,580,79824,23.80464,16,18.498343,0.16597988
0.1662874,0.7123246788978577,69.05,864.1489999294281,0.0085471505,357.2815421182194,0.0,595,83043,23.805977,15,18.627712,0.1662874
0.19287106,0.6226750016212463,68.625,892.8430109024048,0.009046197,356.2736154510206,0.0,611,86205,23.781403,16,18.702084,0.19287106
0.1739549,0.6884600520133972,68.55,920.5775983333588,0.008372717,353.8929254625192,0.0,625,89160,23.752289,14,19.518475,0.1739549
0.17538261,0.6537327468395233,69.625,948.3502843379974,0.009014781,361.1402049808745,0.0,640,92313,23.722486,15,18.89839,0.17538261
0.17678878,0.7049974203109741,65.4,976.4108037948608,0.0085655125,338.9898322215572,0.0,657,95397,23.666172,17,15.53451,0.17678878
0.17598751,0.6107373237609863,67.5,1005.0023078918457,0.008353851,348.6013256703984,0.0,671,98541,23.64134,14,14.430063,0.17598751
0.17598562,0.6358080208301544,69.775,1032.4762978553772,0.0084895585,357.67715136548895,0.0,685,101694,23.631746,14,14.380429,0.17598562
0.20029892,0.6813494563102722,68.425,1061.702398777008,0.008835111,351.8131279484798,0.0,701,104892,23.624376,16,13.925733,0.20029892
0.17675953,0.674256831407547,71.05,1090.1537382602692,0.008677875,368.0387297423716,0.0,716,108126,23.589205,15,16.877987,0.17675953
0.1844237,0.571276992559433,69.85,1118.7037591934204,0.00883505,355.4646329829333,0.0,729,110913,23.585737,13,18.480625,0.1844237
0.21116653,0.6287708282470703,70.55,1146.788091659546,0.009032164,355.01214332023443,0.0,744,114006,23.570015,15,19.155567,0.21116653
0.19082426,0.6719096601009369,74.0,1175.1463558673859,0.008740131,372.10132455454806,0.0,756,117006,23.559242,12,19.730381,0.19082426
0.18248475,0.6502328217029572,73.45,1203.6727430820465,0.00855809,372.0991474627434,0.0,771,120090,23.54997,15,17.604397,0.18248475
0.20387053,0.5780330896377563,72.95,1231.4566900730133,0.008883502,370.6014639367287,0.0,785,122973,23.546751,14,16.633524,0.20387053
0.23417714,0.5467371046543121,73.25,1259.9755899906158,0.009445437,366.5654313732881,0.0,797,126036,23.550936,12,15.34553,0.23417714
0.21163404,0.6401638388633728,72.65,1287.4831540584564,0.009401179,364.68953619122067,0.0,812,129060,23.536787,15,15.7534685,0.21163404
0.2126277,0.6043815016746521,72.5,1316.1806120872498,0.009736094,366.64088542194884,0.0,827,132153,23.51114,15,15.502968,0.2126277
0.21844177,0.6718928217887878,72.3,1343.206018447876,0.009140691,371.5145570759979,0.0,840,135207,23.517199,13,16.159632,0.21844177
0.1799467,0.769904226064682,71.85,1372.4364664554596,0.008758813,368.08866625379943,0.0,855,138288,23.533007,15,16.083115,0.1799467
