meankl,TimestepsSoFar,entropy,ev_tdlam_before,surrgain,EpThisIter,TimeElapsed,optimgain,EpRewMean,EpTrueRewMean,EpLenMean,EpisodesSoFar,entloss
0.008875847,73560,23.508135,0.714693546295166,0.20555873,13,153.96311378479004,0.20555873,49.680347,340.66415878469235,69.175,568,0.0
0.008485888,76749,23.503157,0.7757047712802887,0.20509239,15,160.45995450019836,0.20509239,51.337494,350.9115128116523,71.3,583,0.0
0.00920547,79749,23.47835,0.7800241559743881,0.17974621,15,166.93779373168945,0.17974621,54.399994,357.39495237422204,72.35,598,0.0
0.008856427,82707,23.442316,0.7370133101940155,0.22540279,12,173.35275101661682,0.22540279,51.664185,356.1941184800683,72.775,610,0.0
0.00891917,85854,23.451166,0.7597010880708694,0.2322365,15,179.7782745361328,0.2322365,51.681408,354.05056897688064,72.325,625,0.0
0.008838911,88893,23.454588,0.7384047508239746,0.18809366,14,186.25630474090576,0.18809366,51.451855,366.2062627894826,74.975,639,0.0
0.009346854,91947,23.457258,0.794275552034378,0.17503807,15,192.71067810058594,0.17503807,45.52088,342.06107719406106,69.725,654,0.0
0.009401049,94881,23.446295,0.817455381155014,0.2156817,14,199.14608144760132,0.2156817,47.24495,348.0177390662454,70.45,668,0.0
0.008860948,97842,23.42578,0.8057663142681122,0.19748344,13,205.56924438476562,0.19748344,45.642754,349.18122837257806,71.0,681,0.0
0.008558154,100719,23.410822,0.7974231243133545,0.19774476,13,211.9984827041626,0.19774476,45.849995,363.61599686596253,73.1,694,0.0
0.010059241,103758,23.409489,0.7323586344718933,0.21106586,14,218.49676775932312,0.21106586,42.28902,365.12639854331115,73.975,708,0.0
0.0093159145,106908,23.404474,0.6905386745929718,0.19165656,15,225.03459882736206,0.19165656,39.874928,357.9383525469115,72.525,723,0.0
0.009838324,110115,23.349121,0.6521537601947784,0.21310696,15,231.52971172332764,0.21310696,41.446644,348.9550732352815,71.5,738,0.0
0.009544954,113127,23.312017,0.6852929890155792,0.23513919,14,237.9646508693695,0.23513919,45.985023,354.4783385405989,72.025,752,0.0
0.009001596,116148,23.307377,0.7632745057344437,0.18673381,15,244.4885733127594,0.18673381,45.90368,344.1864694628577,70.5,767,0.0
0.008707881,119421,23.291498,0.742192417383194,0.24477583,15,250.88017797470093,0.24477583,46.132385,338.65676302355587,69.55,782,0.0
0.008896166,122601,23.275213,0.6350401043891907,0.20244119,16,257.3678424358368,0.20244119,42.88624,328.1084115472762,67.575,798,0.0
0.008801622,125685,23.28296,0.5668008625507355,0.20644444,16,263.8044624328613,0.20644444,40.813633,322.774878803073,66.25,814,0.0
0.009385165,128643,23.28361,0.7603789865970612,0.21380794,14,270.3898255825043,0.21380794,40.31045,326.9252533289189,67.55,828,0.0
0.010900899,131664,23.291426,0.7248866856098175,0.19091988,13,276.99389004707336,0.19091988,43.508392,344.7255799238913,70.625,841,0.0
0.010164738,134778,23.301105,0.7302011251449585,0.2506339,14,283.55594420433044,0.2506339,48.895866,353.16821021734074,73.525,855,0.0
0.009234646,137877,23.305174,0.7904657572507858,0.19935611,15,289.9490125179291,0.19935611,47.950615,344.5721134583456,71.875,870,0.0
0.009208795,140955,23.303728,0.6825399994850159,0.22204468,13,296.49125027656555,0.22204468,44.666992,347.74155025300587,73.1,883,0.0
0.009769309,144051,23.262028,0.746685266494751,0.20358321,14,302.90177392959595,0.20358321,40.566383,356.16550616533806,73.625,897,0.0
0.009450607,147099,23.24811,0.7510035634040833,0.1990917,12,309.5091290473938,0.1990917,43.138653,382.92102981078705,78.4,909,0.0
0.009266259,150204,23.237467,0.6742806732654572,0.21469474,12,315.9458692073822,0.21469474,47.445293,400.4213704340079,81.45,921,0.0
0.01076862,153207,23.250021,0.7730797827243805,0.22433043,13,322.4543318748474,0.22433043,52.74812,405.7557267461535,82.625,934,0.0
0.010755798,156105,23.268309,0.7665613442659378,0.21609604,12,328.9806389808655,0.21609604,54.012745,395.89916997511966,81.15,946,0.0
0.010421038,159291,23.25612,0.7707239091396332,0.24873796,13,335.48009753227234,0.24873796,50.324303,383.4212082761886,79.15,959,0.0
0.010853665,162447,23.23559,0.7997436225414276,0.22967735,14,341.9387414455414,0.22967735,49.92814,384.0782298545164,79.55,973,0.0
0.009600089,165408,23.239809,0.6909883320331573,0.25529042,13,348.29083156585693,0.25529042,50.528667,372.44515846452134,77.525,986,0.0
0.0094178645,168504,23.237617,0.7563441395759583,0.23776925,14,354.7605302333832,0.23776925,51.66697,365.4537594451068,75.35,1000,0.0
0.010197905,171396,23.2124,0.786663681268692,0.25996855,12,361.330486536026,0.25996855,52.94352,376.46007647667494,76.975,1012,0.0
0.010806292,174447,23.224348,0.8463967144489288,0.22850908,12,367.8829433917999,0.22850908,53.653248,393.56077701578363,79.325,1024,0.0
0.010055258,177531,23.238787,0.8006379753351212,0.22489464,14,374.4455499649048,0.22489464,53.051525,397.46146174191165,79.725,1038,0.0
0.010195455,180612,23.24958,0.7931612432003021,0.20698357,13,380.8429710865021,0.20698357,50.36718,387.4534488598466,78.3,1051,0.0
0.010338843,183711,23.215582,0.7294115424156189,0.21953267,14,387.3149688243866,0.21953267,46.850227,370.98882325886836,74.975,1065,0.0
0.010105053,186738,23.185282,0.7205459177494049,0.20593457,12,393.7497932910919,0.20593457,49.845966,378.89460170761384,77.925,1077,0.0
0.011200768,189738,23.180992,0.5065278112888336,0.23320206,14,400.28892612457275,0.23320206,47.274193,370.1713355750138,76.05,1091,0.0
0.010963483,192891,23.198,0.7530898600816727,0.24452534,14,406.86730003356934,0.24452534,48.836433,371.45254105101696,76.5,1105,0.0
0.010321997,196038,23.170332,0.6756295263767242,0.18620914,14,413.30055117607117,0.18620914,46.472298,359.46646509036435,74.5,1119,0.0
0.011065458,199041,23.151857,0.8067969083786011,0.23707908,12,419.82590794563293,0.23707908,52.252117,373.8268952722384,77.525,1131,0.0
0.011219562,201966,23.155756,0.7894752323627472,0.23376854,12,426.2988245487213,0.23376854,54.058826,387.8856346222093,79.425,1143,0.0
0.0113025755,204954,23.179197,0.7879482954740524,0.2923364,12,432.71076917648315,0.2923364,58.171764,408.80874247772715,82.1,1155,0.0
0.010388516,208140,23.18138,0.6615895628929138,0.28804582,13,439.2568099498749,0.28804582,58.400856,406.00764036650605,81.85,1168,0.0
0.0110306945,211116,23.196756,0.8201221823692322,0.27210402,12,445.63363099098206,0.27210402,60.499573,405.11415708640124,82.35,1180,0.0
0.010470623,214344,23.192144,0.814715564250946,0.2471695,13,452.18771839141846,0.2471695,55.93679,397.412240950914,81.825,1193,0.0
0.010235044,217212,23.184895,0.8276289701461792,0.23637915,13,458.5902044773102,0.23637915,54.907593,391.95864974079876,80.825,1206,0.0
0.01017349,220338,23.189274,0.8195671439170837,0.24158958,14,465.0566794872284,0.24158958,49.724464,375.5309350573325,76.85,1220,0.0
