ev_tdlam_before,EpTrueRewMean,EpRewMean,entloss,TimeElapsed,EpThisIter,EpisodesSoFar,optimgain,TimestepsSoFar,EpLenMean,surrgain,meankl,entropy
0.4842613935470581,2387.558064439529,528.52405,0.0,1369.8035147190094,2,762,0.09087786,948681,801.925,0.09087786,0.010990157,7.2919307
0.009870052337646484,2448.4596264859347,540.4911,0.0,1374.2184011936188,1,763,0.09471314,951681,820.125,0.09471314,0.0108748805,7.309871
0.8252487629652023,2402.8997537528458,530.35095,0.0,1378.7179336547852,1,764,0.0928341,952815,804.575,0.0928341,0.010515169,7.3082843
0.8021416068077087,2473.474784921098,544.56024,0.0,1383.0843443870544,1,765,0.09879504,955707,821.9,0.09879504,0.010133657,7.302962
-0.16170406341552734,2473.6244041470545,543.34,0.0,1387.5575852394104,1,766,0.0951257,958707,821.9,0.0951257,0.008948194,7.2873545
0.8982327952980995,2390.7271067356755,524.6388,0.0,1391.9969260692596,2,768,0.11700304,960543,794.925,0.11700304,0.010011518,7.2211146
0.61773881316185,2405.774671170121,526.9408,0.0,1396.3600344657898,2,770,0.08603601,964443,798.4,0.08603601,0.008542631,7.186645
0.766962856054306,2451.04463810605,535.3486,0.0,1400.7783212661743,1,771,0.104441315,967443,809.825,0.104441315,0.010967343,7.1976886
-0.40345823764801025,2447.2077665588417,533.87537,0.0,1405.2208726406097,1,772,0.09013726,970443,809.825,0.09013726,0.010497745,7.21429
-0.08022940158843994,2449.9964751511498,533.1294,0.0,1409.6857421398163,1,773,0.095306784,973443,809.825,0.095306784,0.009403754,7.2205944
0.8649666458368301,2305.237099311328,501.2465,0.0,1415.852058649063,3,776,0.10906149,976362,759.15,0.10906149,0.010775259,7.2072616
0.8226137161254883,2288.194949508983,497.96378,0.0,1422.6024053096771,1,777,0.1096466,978318,756.35,0.1096466,0.012060111,7.1561284
0.7467270493507385,2264.011578092965,493.4903,0.0,1429.287721157074,2,779,0.08505764,981636,749.075,0.08505764,0.009640425,7.1356187
0.9063960835337639,2271.541884976711,496.97812,0.0,1435.8489000797272,1,780,0.09913951,983433,757.525,0.09913951,0.008807319,7.1343827
0.01700723171234131,2335.678488568991,509.8498,0.0,1442.4923088550568,1,781,0.07639773,986433,776.6,0.07639773,0.008171765,7.1465487
0.8088414818048477,2257.536372366068,495.06952,0.0,1449.1820628643036,2,783,0.09759109,990033,756.6,0.09759109,0.011641168,7.1106706
0.30301403999328613,2248.8244310023024,493.7918,0.0,1455.8980815410614,1,784,0.087050386,993033,756.6,0.087050386,0.01066347,7.14008
0.8628354072570801,2284.903040335721,501.0481,0.0,1462.1908977031708,1,785,0.11053592,994980,765.3,0.11053592,0.009746662,7.1760125
0.07314515113830566,2286.6630585639423,502.29053,0.0,1468.1046922206879,1,786,0.0778251,997980,765.3,0.0778251,0.0099076675,7.1893783
0.7185165584087372,2168.4261433889865,476.4698,0.0,1474.00230717659,3,789,0.096251324,1002291,728.65,0.096251324,0.010408616,7.1869025
