EpLenMean,EpThisIter,EpRewMean,entloss,TimestepsSoFar,TimeElapsed,EpTrueRewMean,surrgain,ev_tdlam_before,meankl,EpisodesSoFar,optimgain,entropy
689.225,2,1586.6086012020892,0.0,244596,314.00158977508545,1586.6086012020892,0.13103038,0.9210942983627319,0.007972311,381,0.13103038,7.705273
691.725,2,1588.6926549392847,0.0,248139,317.7696056365967,1588.6926549392847,0.094887406,0.6718003153800964,0.007257296,383,0.094887406,7.6882973
704.95,1,1622.8044791539257,0.0,251139,321.5710258483887,1622.8044791539257,0.07170425,0.20696896314620972,0.007394892,384,0.07170425,7.6864505
705.325,1,1618.5900589253088,0.0,252696,325.4021167755127,1618.5900589253088,0.08333348,0.8090674132108688,0.007021173,385,0.08333348,7.675366
715.05,1,1658.5123932017946,0.0,255696,329.3252730369568,1658.5123932017946,0.07933497,0.03738754987716675,0.007893339,386,0.07933497,7.6835294
710.825,2,1655.5752428173025,0.0,259152,333.18959522247314,1655.5752428173025,0.08656443,0.48262786865234375,0.0078077014,388,0.08656443,7.6850576
720.425,1,1671.2437153057442,0.0,262152,337.0494647026062,1671.2437153057442,0.069665164,0.05512821674346924,0.0077651828,389,0.069665164,7.692264
735.075,2,1689.428842234855,0.0,266586,340.94554901123047,1689.428842234855,0.07542689,0.9300374463200569,0.007842282,391,0.07542689,7.6658974
732.7,2,1691.410061822778,0.0,272049,344.71437430381775,1691.410061822778,0.08215137,0.6426718533039093,0.007731377,393,0.08215137,7.658219
728.425,1,1672.154399401795,0.0,274536,348.5037212371826,1672.154399401795,0.08131811,0.9000462293624878,0.0081325015,394,0.08131811,7.6575475
728.25,2,1706.4043089872787,0.0,279387,352.4340682029724,1706.4043089872787,0.11690607,0.8991940468549728,0.008178965,396,0.11690607,7.650928
728.25,1,1706.1228465239226,0.0,282387,356.2764549255371,1706.1228465239226,0.06606518,0.09724050760269165,0.008047815,397,0.06606518,7.650512
738.1,1,1735.9597446523774,0.0,285387,360.1211061477661,1735.9597446523774,0.07056726,0.032803118228912354,0.008427831,398,0.07056726,7.6538568
742.625,1,1749.234941050876,0.0,288387,364.0501437187195,1749.234941050876,0.101340026,0.8608495146036148,0.0075659426,399,0.101340026,7.6618047
733.075,1,1731.2814134959037,0.0,290097,367.8747134208679,1731.2814134959037,0.08803286,0.8712896257638931,0.0075613293,400,0.08803286,7.6501336
742.475,2,1761.0947683773527,0.0,295008,371.69741797447205,1761.0947683773527,0.083509296,0.4134168028831482,0.00769415,402,0.083509296,7.629639
736.475,1,1749.2896959592388,0.0,296964,375.4951243400574,1749.2896959592388,0.08171365,0.8170881867408752,0.007476434,403,0.08171365,7.646103
753.425,1,1786.6044576692373,0.0,299964,379.3214068412781,1786.6044576692373,0.07941499,0.1791744828224182,0.008221658,404,0.07941499,7.6359987
