EpRewMean,ev_tdlam_before,TimestepsSoFar,EpTrueRewMean,EpisodesSoFar,entropy,optimgain,surrgain,meankl,EpThisIter,EpLenMean,TimeElapsed,entloss
65.27696,0.7449495494365692,58077,310.79346155454806,468,23.95215,0.16816568,0.16816568,0.007877199,16,63.25,167.48110270500183,0.0
66.376785,0.7702284455299377,61209,316.4228333236326,484,23.91302,0.20341797,0.20341797,0.008509405,16,64.35,176.50159525871277,0.0
59.00594,0.744565486907959,64362,298.7963602835938,502,23.902163,0.17565241,0.17565241,0.008501218,18,61.025,185.48196578025818,0.0
68.04879,0.7825207114219666,67368,321.4915756657755,516,23.853989,0.19085805,0.19085805,0.008514317,14,65.125,194.60100769996643,0.0
70.14718,0.799931988120079,70590,331.396998040967,532,23.878986,0.17976831,0.17976831,0.008475479,16,66.85,203.6526436805725,0.0
66.46045,0.7569455653429031,73764,330.49827768190823,549,23.84204,0.17336692,0.17336692,0.0083640665,17,66.475,212.76338982582092,0.0
61.554565,0.7059957087039948,76839,314.0289943209519,565,23.799335,0.2057395,0.2057395,0.008846853,16,63.875,221.7825562953949,0.0
58.870636,0.7168830931186676,79827,309.2424990965123,581,23.76613,0.1642757,0.1642757,0.008867731,16,63.4,230.83636474609375,0.0
64.83475,0.7601331919431686,82923,327.6032357860412,594,23.72923,0.18454692,0.18454692,0.008794081,13,67.3,239.9054548740387,0.0
71.296135,0.7797216475009918,85920,357.5880644943812,607,23.765623,0.21022668,0.21022668,0.008993505,13,72.775,249.0486032962799,0.0
77.0031,0.691789299249649,88977,373.11755186632854,621,23.747625,0.20875724,0.20875724,0.008998342,14,76.25,258.10382318496704,0.0
80.032166,0.7713131159543991,92094,383.3263968126374,633,23.762384,0.19929731,0.19929731,0.0093038445,12,78.4,267.20495533943176,0.0
83.580505,0.7476356327533722,95262,391.67822613054733,646,23.794928,0.18901084,0.18901084,0.009335652,13,80.825,276.3375835418701,0.0
78.354515,0.7746024876832962,98322,380.3207178054143,661,23.77614,0.19791228,0.19791228,0.008637913,15,77.875,285.43963718414307,0.0
78.55437,0.8290557116270065,101358,379.3202015747321,673,23.772383,0.20693988,0.20693988,0.009789819,12,77.2,294.6006305217743,0.0
75.69157,0.7246293425559998,104481,369.8094427828294,687,23.777605,0.19482234,0.19482234,0.009409547,14,75.35,303.63674902915955,0.0
76.518166,0.8213521242141724,107523,361.7979159301043,702,23.712713,0.19535619,0.19535619,0.0093021635,15,74.575,312.7840323448181,0.0
