TimestepsSoFar,EpRewMean,EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,entloss,meankl,EpThisIter,EpLenMean,optimgain,TimeElapsed,surrgain,entropy
395194,101.00458,2155,200.0,0.8955637738108635,0.0,0.0063313567,5,200.0,0.0082247015,1860.2699370384216,0.0082247015,0.47278315
396194,101.723206,2160,200.0,0.8061409741640091,0.0,0.00543697,5,200.0,0.0052524344,1865.1592676639557,0.0052524344,0.4838125
397194,101.91877,2165,200.0,0.8396703898906708,0.0,0.008344915,5,200.0,0.016864063,1869.4773533344269,0.016864063,0.45291698
398194,100.12912,2170,200.0,0.8217276334762573,0.0,0.005833355,5,200.0,0.010078805,1873.8220393657684,0.010078805,0.4793964
399194,99.72931,2175,200.0,0.5440017879009247,0.0,0.0074767694,5,200.0,0.009827287,1878.403069972992,0.009827287,0.5051976
400194,100.01418,2180,200.0,0.6128860712051392,0.0,0.008238506,5,200.0,0.011193506,1883.4530210494995,0.011193506,0.49547726
401394,96.884415,2186,200.0,0.4373165965080261,0.0,0.0054653734,6,200.0,0.0071233,1888.4470970630646,0.0071233,0.47270352
402394,94.92842,2191,200.0,0.6590532064437866,0.0,0.006003769,5,200.0,0.008006096,1893.1510694026947,0.008006096,0.48728746
403394,94.19708,2196,200.0,-0.5469750165939331,0.0,0.0043005757,5,200.0,0.0104951225,1898.2650401592255,0.0104951225,0.47370473
404385,95.67184,2201,199.775,-0.05184662342071533,0.0,0.008072665,5,199.775,0.0114994105,1903.6355941295624,0.0114994105,0.46519518
405385,96.67284,2206,199.775,0.04725635051727295,0.0,0.0085644405,5,199.775,0.02040087,1908.7604494094849,0.02040087,0.47269785
406385,95.75675,2211,199.775,0.426641583442688,0.0,0.0062791547,5,199.775,0.009113362,1914.0800967216492,0.009113362,0.48939425
407385,109.61283,2216,199.775,0.42384618520736694,0.0,0.006713398,5,199.775,0.013535417,1918.69202876091,0.013535417,0.48453057
408385,108.36647,2221,199.775,0.6350047886371613,0.0,0.006633953,5,199.775,0.013903759,1924.153166770935,0.013903759,0.4828021
409585,116.215355,2227,199.775,0.5655511021614075,0.0,0.0073527847,6,199.775,0.012081429,1929.0875062942505,0.012081429,0.4842502
410585,118.30937,2232,199.775,0.5354753732681274,0.0,0.0046200696,5,199.775,0.0048165955,1935.642947435379,0.0048165955,0.4990233
411585,132.84329,2237,199.775,0.8434548676013947,0.0,0.007056011,5,199.775,0.013708144,1941.3603336811066,0.013708144,0.4743672
412585,135.78476,2242,200.0,0.36375880241394043,0.0,0.0051250244,5,200.0,0.010696231,1946.3907089233398,0.010696231,0.4893853
413585,145.3292,2247,200.0,0.8327643722295761,0.0,0.005493773,5,200.0,0.012014094,1951.1653459072113,0.012014094,0.47475561
414585,151.12656,2252,200.0,0.82432721555233,0.0,0.007999278,5,200.0,0.013899928,1956.2086045742035,0.013899928,0.47622508
415585,144.84032,2257,200.0,0.755067840218544,0.0,0.00509103,5,200.0,0.005417266,1960.6985232830048,0.005417266,0.44600865
416585,150.25467,2262,200.0,0.8651354163885117,0.0,0.0066889757,5,200.0,0.008434798,1965.5483400821686,0.008434798,0.4528702
417785,151.33481,2268,200.0,0.7735178470611572,0.0,0.009091463,6,200.0,0.009263504,1970.6045536994934,0.009263504,0.47290903
418785,153.0192,2273,200.0,0.8854390159249306,0.0,0.006570588,5,200.0,0.008814252,1976.631322145462,0.008814252,0.49220687
419785,145.17786,2278,200.0,0.8771367520093918,0.0,0.008752239,5,200.0,0.010462618,1981.1242237091064,0.010462618,0.45643365
420785,143.02072,2283,200.0,0.9137451872229576,0.0,0.0074869352,5,200.0,0.008357057,1986.0761065483093,0.008357057,0.4397475
421785,139.67427,2288,200.0,0.8800560534000397,0.0,0.007264209,5,200.0,0.008115339,1991.570360660553,0.008115339,0.45563033
422785,136.68855,2293,200.0,0.8874588310718536,0.0,0.008652419,5,200.0,0.01557111,1996.337833404541,0.01557111,0.45003158
423785,132.63486,2298,200.0,0.8339146971702576,0.0,0.006629207,5,200.0,0.010517353,2001.008022069931,0.010517353,0.46588475
424785,129.32353,2303,200.0,0.7142704129219055,0.0,0.008069498,5,200.0,0.013714998,2006.036847114563,0.013714998,0.46018964
425785,124.71098,2308,200.0,0.5906040966510773,0.0,0.009175346,5,200.0,0.0076267337,2010.9648241996765,0.0076267337,0.44874823
426985,121.22251,2314,200.0,0.7852302491664886,0.0,0.00823706,6,200.0,0.009959516,2016.175882101059,0.009959516,0.45329565
427985,116.953445,2319,200.0,0.7879920452833176,0.0,0.0069304435,5,200.0,0.010096591,2021.4738595485687,0.010096591,0.4529885
428985,110.64243,2324,200.0,0.6142228543758392,0.0,0.0068123783,5,200.0,0.019112142,2028.1383678913116,0.019112142,0.4361422
429985,104.158005,2329,200.0,0.763023853302002,0.0,0.0085863415,5,200.0,0.010484301,2034.3210384845734,0.010484301,0.4205145
430985,100.169044,2334,200.0,0.47473329305648804,0.0,0.00710088,5,200.0,0.015186447,2038.807492017746,0.015186447,0.41644037
431985,95.848816,2339,200.0,0.33594322204589844,0.0,0.0068292813,5,200.0,0.017930798,2043.8261601924896,0.017930798,0.44500765
432985,91.33775,2344,200.0,0.756073534488678,0.0,0.0038592091,5,200.0,0.004688496,2048.826728582382,0.004688496,0.45500624
433985,90.097916,2349,200.0,0.2575458884239197,0.0,0.01026922,5,200.0,0.008146847,2053.8727498054504,0.008146847,0.44888118
435185,87.34982,2355,200.0,0.10904037952423096,0.0,0.004359035,6,200.0,0.0076732626,2060.4322617053986,0.0076732626,0.460519
436185,88.04043,2360,200.0,-0.2330549955368042,0.0,0.0053645577,5,200.0,0.0066865166,2065.7592763900757,0.0066865166,0.43923536
437185,94.52787,2365,200.0,-0.06779086589813232,0.0,0.007437013,5,200.0,0.012943234,2071.2781898975372,0.012943234,0.4266976
438185,95.240585,2370,200.0,0.21052086353302002,0.0,0.008051262,5,200.0,0.010783769,2077.8454167842865,0.010783769,0.41070065
439185,96.29077,2375,200.0,0.1840793490409851,0.0,0.0059033334,5,200.0,0.010142906,2083.9798703193665,0.010142906,0.416011
440185,98.37881,2380,200.0,0.3214879035949707,0.0,0.00539678,5,200.0,0.006438169,2089.111044883728,0.006438169,0.44022393
441185,101.31319,2385,200.0,0.4148492217063904,0.0,0.0041790977,5,200.0,0.0043319436,2094.4367864131927,0.0043319436,0.424291
442185,105.43811,2390,200.0,0.29929882287979126,0.0,0.0077675483,5,200.0,0.009830234,2099.3140149116516,0.009830234,0.40889543
443385,110.113846,2396,200.0,0.03465503454208374,0.0,0.00781928,6,200.0,0.012441102,2104.6941215991974,0.012441102,0.41947994
444385,118.37831,2401,200.0,-0.3274346590042114,0.0,0.0034362176,5,200.0,0.0058115353,2110.2426030635834,0.0058115353,0.4445448
445385,118.58632,2406,200.0,0.02857261896133423,0.0,0.009100687,5,200.0,0.009587156,2116.8198080062866,0.009587156,0.4456104
446385,125.456764,2411,200.0,0.31681883335113525,0.0,0.005892184,5,200.0,0.006003662,2123.0163860321045,0.006003662,0.43344533
447385,132.25162,2416,200.0,0.28233611583709717,0.0,0.0072962195,5,200.0,0.0078225285,2127.948522090912,0.0078225285,0.43090862
448385,136.49393,2421,200.0,0.18899279832839966,0.0,0.0059682173,5,200.0,0.007076448,2131.915291070938,0.007076448,0.4068694
449385,144.20743,2426,200.0,0.4082651138305664,0.0,0.0062250383,5,200.0,0.015792875,2138.2004177570343,0.015792875,0.4321295
450385,144.99889,2431,200.0,0.3983042240142822,0.0,0.006226562,5,200.0,0.017139733,2143.045844078064,0.017139733,0.4593044
451385,144.31396,2436,200.0,0.31153959035873413,0.0,0.008591612,5,200.0,0.018373232,2148.0991082191467,0.018373232,0.44032893
452585,138.72151,2442,200.0,0.4840356707572937,0.0,0.0043940307,6,200.0,0.007221983,2152.4667665958405,0.007221983,0.43384466
453585,142.13998,2447,200.0,0.6399529874324799,0.0,0.0070200902,5,200.0,0.015217558,2158.229724407196,0.015217558,0.43986842
454585,140.57765,2452,200.0,0.5363172888755798,0.0,0.0058749868,5,200.0,0.009660026,2163.7652781009674,0.009660026,0.42679065
