EpisodesSoFar,EpTrueRewMean,ev_tdlam_before,EpLenMean,surrgain,TimestepsSoFar,TimeElapsed,meankl,entloss,EpRewMean,entropy,EpThisIter,optimgain
370,1514.2064942055372,-0.08535885810852051,491.0,0.034080066,168651,201.64393067359924,0.00827566,0.0,1514.2064942055372,3.3330386,1,0.034080066
371,1561.3329481474466,-0.0005766153335571289,507.9,0.034165595,171651,205.32821798324585,0.008715963,0.0,1561.3329481474466,3.3652978,1,0.034165595
372,1595.9116031387707,-0.04692995548248291,522.725,0.041264314,174651,208.9936559200287,0.0076838024,0.0,1595.9116031387707,3.340609,1,0.041264314
373,1644.333420281978,-0.006900429725646973,541.85,0.03925331,177651,212.6136519908905,0.010589708,0.0,1644.333420281978,3.3739617,1,0.03925331
374,1695.541052425861,-0.004694819450378418,560.575,0.03824734,180651,216.2228548526764,0.009702563,0.0,1695.541052425861,3.2985249,1,0.03824734
375,1740.3060220488799,-0.0019991397857666016,578.125,0.034797147,183651,219.84247541427612,0.007913762,0.0,1740.3060220488799,3.3251257,1,0.034797147
376,1762.9736122779354,0.9628255665302277,586.55,0.05489212,186000,223.42755651474,0.0076653883,0.0,1762.9736122779354,3.365965,1,0.05489212
378,1799.0961270975422,0.7009537518024445,601.625,0.0406248,189690,227.07175660133362,0.008917112,0.0,1799.0961270975422,3.3872917,2,0.0406248
379,1842.2713697256343,0.9694350082427263,618.175,0.051320262,192315,230.69758462905884,0.0074856253,0.0,1842.2713697256343,3.3861992,1,0.051320262
380,1878.1480698222363,0.011698484420776367,635.4,0.044348832,195315,234.28833889961243,0.007485792,0.0,1878.1480698222363,3.3505323,1,0.044348832
381,1915.0471743876574,-0.05610191822052002,650.925,0.043296833,198315,237.86821055412292,0.008809732,0.0,1915.0471743876574,3.375458,1,0.043296833
382,1952.284572950552,-0.3159675598144531,669.15,0.039723463,201315,241.4969620704651,0.0080206795,0.0,1952.284572950552,3.3079295,1,0.039723463
384,1951.1809152029632,-0.029087424278259277,676.15,0.0540025,204963,245.07061076164246,0.0086414935,0.0,1951.1809152029632,3.2864776,2,0.0540025
385,2004.4858973319801,0.1325162649154663,696.475,0.0437562,207963,248.72581315040588,0.007541203,0.0,2004.4858973319801,3.2916796,1,0.0437562
387,2029.887216693016,0.6285387873649597,711.125,0.039777435,211635,252.41901350021362,0.0071708225,0.0,2029.887216693016,3.2634885,2,0.039777435
388,2070.7112339462783,-0.17634868621826172,729.95,0.04126016,214635,256.07290267944336,0.008194685,0.0,2070.7112339462783,3.3001473,1,0.04126016
389,2099.0188649444503,0.2212008237838745,743.075,0.043854587,217635,259.71008253097534,0.008828519,0.0,2099.0188649444503,3.2664273,1,0.043854587
390,2122.983581433649,0.05183535814285278,755.325,0.053281628,220635,263.4091625213623,0.009604541,0.0,2122.983581433649,3.2557087,1,0.053281628
392,2122.664159763026,0.04995131492614746,761.525,0.043187845,224055,267.04583835601807,0.008337841,0.0,2122.664159763026,3.2323284,2,0.043187845
393,2108.54210972893,0.14092177152633667,763.65,0.04105697,227055,270.7016935348511,0.0077024205,0.0,2108.54210972893,3.2369082,1,0.04105697
394,2105.2287754676104,0.24045145511627197,767.375,0.03272973,230055,274.3268835544586,0.008291349,0.0,2105.2287754676104,3.2613502,1,0.03272973
395,2136.3741741764984,-0.021319866180419922,782.025,0.049819708,233055,277.99869680404663,0.008282933,0.0,2136.3741741764984,3.2943444,1,0.049819708
396,2171.9348172853634,0.009698748588562012,798.9,0.045403767,236055,281.5993890762329,0.00883092,0.0,2171.9348172853634,3.3033843,1,0.045403767
397,2220.922633615742,-0.0849839448928833,819.3,0.041982904,239055,285.31684589385986,0.009094247,0.0,2220.922633615742,3.3227541,1,0.041982904
398,2206.990794154136,-0.013114213943481445,819.3,0.031602155,242055,288.9684085845947,0.009078635,0.0,2206.990794154136,3.3401182,1,0.031602155
399,2219.927620019066,0.9264227002859116,823.65,0.05903694,244521,292.56515979766846,0.008700145,0.0,2219.927620019066,3.3145983,1,0.05903694
401,2218.1335571095633,0.7535276263952255,823.95,0.040317763,248787,296.09497332572937,0.0083579235,0.0,2218.1335571095633,3.3349004,2,0.040317763
403,2226.0651102949037,0.8539326190948486,829.975,0.05474499,252246,299.7725281715393,0.008197663,0.0,2226.0651102949037,3.3123455,2,0.05474499
405,2233.0853008757776,0.7111651301383972,832.9,0.04549332,256083,303.3900144100189,0.007767881,0.0,2233.0853008757776,3.3074014,2,0.04549332
406,2247.402198293309,0.0028963088989257812,836.75,0.046392996,259083,306.93944096565247,0.009153314,0.0,2247.402198293309,3.3180456,1,0.046392996
409,2187.8213025303316,0.33391237258911133,821.375,0.047378823,264216,310.55237770080566,0.008583628,0.0,2187.8213025303316,3.2944875,3,0.047378823
410,2176.3597709256464,-0.12321031093597412,821.375,0.04525783,267216,314.1324062347412,0.008018021,0.0,2176.3597709256464,3.3199677,1,0.04525783
411,2175.1312881200297,0.03347146511077881,821.375,0.038034216,270216,317.75905871391296,0.008949355,0.0,2175.1312881200297,3.3495088,1,0.038034216
413,2116.63622494787,0.3837815523147583,803.825,0.051005147,274110,321.3613693714142,0.0086789895,0.0,2116.63622494787,3.3387077,2,0.051005147
414,2110.849154972574,-0.10016286373138428,803.825,0.04950037,277110,324.9698975086212,0.0096428,0.0,2110.849154972574,3.3399744,1,0.04950037
416,2067.8904174284485,0.9494034796953201,789.525,0.054404885,280743,328.57670283317566,0.008202343,0.0,2067.8904174284485,3.3630285,2,0.054404885
417,2065.192739801628,-0.040100693702697754,789.525,0.047651783,283743,332.21907591819763,0.008707484,0.0,2065.192739801628,3.3613565,1,0.047651783
418,2119.087566543139,0.01589137315750122,808.775,0.043701258,286743,335.8635642528534,0.0075345086,0.0,2119.087566543139,3.4010856,1,0.043701258
419,2106.199301932934,0.9501371420919895,803.4,0.06017941,288723,339.4030830860138,0.008861244,0.0,2106.199301932934,3.4442837,1,0.06017941
420,2116.553930131038,0.010519683361053467,803.4,0.043736786,291723,343.0899455547333,0.0087189935,0.0,2116.553930131038,3.4456174,1,0.043736786
421,2060.473665743355,0.9447890035808086,782.075,0.063381165,292164,346.79245233535767,0.00818874,0.0,2060.473665743355,3.4561074,1,0.063381165
423,2050.5551131136285,0.6963350176811218,773.7,0.048214182,297159,350.42538356781006,0.008101665,0.0,2050.5551131136285,3.4485478,2,0.048214182
424,2107.7110269444556,0.00498044490814209,793.3,0.03977949,300159,354.00778889656067,0.008074297,0.0,2107.7110269444556,3.4585965,1,0.03977949
425,2099.9329907919882,-0.0074427127838134766,793.3,0.04049645,303159,357.7279198169708,0.008201066,0.0,2099.9329907919882,3.4754617,1,0.04049645
426,2107.7256699847726,-0.05038309097290039,793.3,0.027526423,306159,361.3011131286621,0.008937996,0.0,2107.7256699847726,3.4657295,1,0.027526423
428,2100.892329457348,0.3400540351867676,791.025,0.04058823,309558,364.98862171173096,0.008247571,0.0,2100.892329457348,3.4271307,2,0.04058823
