surrgain,entropy,EpisodesSoFar,EpRewMean,TimeElapsed,EpLenMean,EpThisIter,optimgain,EpTrueRewMean,meankl,TimestepsSoFar,entloss,ev_tdlam_before
0.090980336,5.9620414,962,413.75543,1843.5305597782135,779.2,1,0.090980336,2699.4538376054684,0.011663141,445739,0.0,0.12342345714569092
0.11081149,5.954407,963,410.47247,1847.848070383072,772.5,1,0.11081149,2677.2527729573076,0.010351669,446471,0.0,0.8082604557275772
0.09334831,5.9514213,964,412.5753,1852.1925768852234,776.2,1,0.09334831,2684.7499270077797,0.008749679,446774,0.0,0.7654485553503036
0.07729661,5.9818535,965,414.2541,1856.5582225322723,779.75,1,0.07729661,2690.279372834747,0.011643324,447774,0.0,-0.11890172958374023
0.09548704,5.9613457,966,413.26572,1860.8578569889069,778.15,1,0.09548704,2682.8868801646013,0.0102691855,448710,0.0,0.93790028616786
0.08018656,5.9672203,967,413.35284,1865.139767408371,778.15,1,0.08018656,2679.7743846773988,0.010686619,449710,0.0,-0.056020498275756836
0.096626915,5.960204,969,405.61475,1869.3860425949097,762.525,2,0.096626915,2619.646106225767,0.010100767,451085,0.0,0.7421932816505432
0.07442014,5.940657,970,405.20648,1873.646179676056,762.525,1,0.07442014,2609.430476004324,0.0098042395,452085,0.0,0.09061795473098755
0.088665955,5.980147,971,405.1992,1877.949030637741,762.2,1,0.088665955,2606.5841440525433,0.009801304,452542,0.0,0.8979866579174995
0.07764629,5.9848037,972,415.4518,1882.243580341339,782.025,1,0.07764629,2678.798824148872,0.01043367,453542,0.0,0.2848798632621765
0.09322701,5.9807734,973,412.74103,1886.5266387462616,777.325,1,0.09322701,2664.0023536637336,0.0101549355,454207,0.0,0.8523174077272415
0.07538397,5.9648027,974,424.46396,1890.786788702011,799.175,1,0.07538397,2750.1577999832384,0.012670084,455207,0.0,-0.022020697593688965
0.04661069,5.9444633,975,427.8615,1895.0865216255188,805.95,1,0.04661069,2763.908500221515,0.004425075,456207,0.0,0.025598227977752686
0.09604867,5.937926,978,412.79688,1899.3809175491333,778.525,3,0.09604867,2653.3285015790307,0.011227463,458110,0.0,0.8145757019519806
0.09903553,5.9463344,980,398.2367,1903.6548647880554,751.6,2,0.09903553,2553.8881044519135,0.011250948,458839,0.0,0.8871001601219177
0.09664118,5.922347,982,402.23422,1907.9570970535278,758.175,2,0.09664118,2577.892273010002,0.012105148,460245,0.0,0.49369704723358154
0.07778848,5.9149785,983,404.61856,1912.2245242595673,763.1,1,0.07778848,2589.9227125722086,0.012799939,461245,0.0,0.3549818992614746
0.13133559,5.849381,985,394.76837,1916.4900422096252,744.8,2,0.13133559,2498.9953514058516,0.01164058,462513,0.0,0.6039843261241913
0.08398212,5.837809,986,395.24506,1920.7460277080536,744.8,1,0.08398212,2496.8370684933784,0.011684151,463513,0.0,0.12711048126220703
0.06650519,5.857255,987,395.29388,1924.993689775467,744.1,1,0.06650519,2479.6478096397723,0.0039846166,464370,0.0,0.6479746103286743
0.07803036,5.891413,988,404.4719,1929.2576236724854,760.125,1,0.07803036,2540.4378520567975,0.010563672,465370,0.0,-0.020450949668884277
0.09203485,5.8170614,990,410.55682,1933.48548579216,770.2,2,0.09203485,2574.4905706422537,0.010931546,466447,0.0,0.6332659423351288
0.09266765,5.837871,991,410.80225,1937.7659575939178,770.2,1,0.09266765,2580.155159366624,0.011461982,467447,0.0,-0.0975046157836914
0.055088755,5.7915444,993,410.2359,1942.0609126091003,768.425,2,0.055088755,2571.6726008913265,0.0040070405,468639,0.0,0.5944039523601532
0.08386625,5.7741647,994,409.6962,1946.3651394844055,768.425,1,0.08386625,2557.0606089758994,0.011980599,469639,0.0,0.005879044532775879
0.07804485,5.792033,995,409.99023,1950.6951484680176,769.15,1,0.07804485,2547.2707920538755,0.010168674,470639,0.0,-0.0007460117340087891
0.092743635,5.8528028,997,399.52454,1955.0220127105713,749.55,2,0.092743635,2451.517173663103,0.011803075,471781,0.0,0.4211859107017517
0.09624455,5.8474717,1000,395.63702,1959.3320970535278,740.85,3,0.09624455,2408.4673071754582,0.010687917,473373,0.0,0.7512678802013397
0.096513346,5.893316,1002,382.25797,1963.6633729934692,715.15,2,0.096513346,2317.92464593491,0.0121821575,474345,0.0,0.9694135431200266
0.107546374,5.8353715,1004,390.14514,1967.983386039734,729.65,2,0.107546374,2386.3825900563343,0.013147512,475960,0.0,0.9215143546462059
0.09047665,5.868529,1005,390.5329,1972.3267664909363,729.65,1,0.09047665,2375.361228767478,0.011230417,476960,0.0,0.0598142147064209
0.08941129,5.882405,1006,391.51147,1976.6836042404175,731.25,1,0.08941129,2375.936530251168,0.010196086,477960,0.0,-0.026604533195495605
0.112993546,5.8841596,1008,380.03107,1980.9949462413788,710.9,2,0.112993546,2306.0263771953805,0.011220731,479146,0.0,0.8070891350507736
0.11478023,5.871281,1009,388.26517,1985.3242545127869,724.775,1,0.11478023,2357.8430518896566,0.010959106,480076,0.0,0.7707220911979675
0.08835505,5.8885503,1012,377.50888,1989.6196196079254,704.425,3,0.08835505,2294.133727098227,0.012312458,481719,0.0,0.6813538670539856
0.10444187,5.8645434,1013,374.01187,1993.9381070137024,697.775,1,0.10444187,2267.6501098370727,0.013728477,482118,0.0,0.834097221493721
0.1011183,5.8217607,1015,363.8624,1998.2304220199585,678.325,2,0.1011183,2209.3412142463067,0.012248837,483340,0.0,0.8458847552537918
