surrgain,EpisodesSoFar,TimeElapsed,optimgain,EpLenMean,ev_tdlam_before,meankl,TimestepsSoFar,EpThisIter,entloss,entropy,EpTrueRewMean,EpRewMean
0.11850753,1236,2240.455083847046,0.11850753,745.05,0.6621767580509186,0.011639211,528469,3,0.0,5.95992,2271.429008704631,367.50433
0.10628013,1238,2244.762804746628,0.10628013,753.125,0.5671076774597168,0.011652276,529992,2,0.0,5.95038,2304.246415702317,370.07794
0.0659515,1239,2249.074136018753,0.0659515,736.375,0.6973375976085663,0.0038855001,530322,1,0.0,5.9589887,2249.2153914369883,361.50757
0.08645274,1240,2253.38818025589,0.08645274,749.275,0.929448164999485,0.004301427,531087,1,0.0,5.98033,2290.934412780953,367.3237
0.15123317,1241,2257.7465920448303,0.15123317,740.825,0.9076113924384117,0.013376181,531749,1,0.0,5.9794974,2269.466164312215,363.88873
0.12994179,1242,2262.0973944664,0.12994179,732.3,0.6889583170413971,0.012325365,532130,1,0.0,6.004842,2246.8339955597676,358.7103
0.061015476,1244,2266.432114839554,0.061015476,738.65,0.6845483481884003,0.0044705756,533595,2,0.0,5.996476,2257.075922041203,360.7168
0.10548606,1245,2270.772998571396,0.10548606,737.45,0.820788785815239,0.013168789,534288,1,0.0,5.975688,2253.433523807881,360.2198
0.057215124,1246,2275.1300110816956,0.057215124,737.45,-0.040410518646240234,0.0040775193,535288,1,0.0,5.9813223,2261.2411239671283,360.94904
0.087754115,1247,2279.435105085373,0.087754115,750.925,-0.08707523345947266,0.01208331,536288,1,0.0,5.983031,2313.2576827475305,368.24188
0.099774845,1248,2283.801431655884,0.099774845,750.925,-0.06548142433166504,0.010921983,537288,1,0.0,5.991806,2319.7984395792587,368.79517
0.11874383,1249,2288.134727716446,0.11874383,757.45,0.8772969245910645,0.013234224,537948,1,0.0,5.9543657,2344.9888958545807,372.32187
0.09281354,1250,2292.4440100193024,0.09281354,757.45,0.0432438850402832,0.01354518,538948,1,0.0,5.931768,2345.127331318916,371.20856
0.102164626,1251,2296.8010442256927,0.102164626,746.875,0.9021309018135071,0.011855853,539424,1,0.0,5.974611,2311.659132364613,367.4523
0.120057635,1253,2301.1274313926697,0.120057635,748.4,0.8200017362833023,0.013515444,540651,2,0.0,5.9788013,2314.4297189692725,368.0841
0.11615946,1254,2305.400104522705,0.11615946,731.025,0.913051001727581,0.010945417,540956,1,0.0,5.9873857,2264.671939288271,359.25854
0.13226679,1255,2309.7216033935547,0.13226679,751.1,-0.2828819751739502,0.013648461,541956,1,0.0,6.0137324,2327.902110900599,368.36456
0.09133822,1256,2314.020943403244,0.09133822,760.425,0.21164166927337646,0.010557547,542956,1,0.0,6.003521,2358.5746136479765,372.61923
0.11120346,1257,2318.357076883316,0.11120346,763.9,-0.22534453868865967,0.013089962,543956,1,0.0,6.0179243,2362.4637022777433,372.8441
0.1113615,1258,2322.645456790924,0.1113615,763.9,-0.06911599636077881,0.012180283,544956,1,0.0,6.0383463,2353.129511980853,372.62717
0.09750374,1260,2326.954921722412,0.09750374,760.925,0.3988375663757324,0.012993707,546201,2,0.0,5.987995,2327.487053597829,370.4388
0.14823367,1261,2331.270791530609,0.14823367,760.925,-0.013863801956176758,0.013812819,547201,1,0.0,5.992802,2332.836953730337,368.98273
0.34266424,1262,2335.53942322731,0.34266424,747.95,0.8194036334753036,0.0110944575,547682,1,0.0,6.00317,2281.9344702176227,361.7342
0.08942595,1263,2339.7764616012573,0.08942595,747.95,0.01490873098373413,0.013995055,548682,1,0.0,6.0433335,2278.641738453999,359.63885
0.09431493,1264,2344.06520652771,0.09431493,747.95,0.08111339807510376,0.011714844,549682,1,0.0,6.0302076,2269.9817359467415,359.31503
0.067471474,1266,2348.3460891246796,0.067471474,743.725,0.594651073217392,0.0042377263,551056,2,0.0,6.0349164,2243.818457667262,356.90567
0.09862166,1267,2352.6132247447968,0.09862166,741.3,0.8501548767089844,0.010223789,551498,1,0.0,6.0337677,2224.990090321083,354.34552
0.10968221,1268,2356.945785045624,0.10968221,758.525,0.31076252460479736,0.011151204,552498,1,0.0,6.0213814,2275.542526743539,361.61847
0.14739731,1270,2361.2146220207214,0.14739731,759.1,0.7322641015052795,0.012415472,553892,2,0.0,6.040608,2280.3041573918626,361.25238
0.091912314,1271,2365.5462486743927,0.091912314,759.1,-0.09561312198638916,0.012153294,554892,1,0.0,6.0706625,2269.6741253399605,360.28906
0.08914418,1273,2369.889959335327,0.08914418,746.575,0.5867758691310883,0.011545317,556391,2,0.0,6.0773354,2205.5349515150256,353.47272
0.36353645,1275,2374.1888880729675,0.36353645,727.075,0.8006278872489929,0.0053412872,557372,2,0.0,6.0685225,2148.235248612732,345.87637
0.10057667,1277,2378.5324807167053,0.10057667,739.1,0.7098142504692078,0.012592316,559033,2,0.0,6.114746,2190.8519629371094,351.76102
0.10340531,1278,2382.8552062511444,0.10340531,751.025,0.0687870979309082,0.013213092,560033,1,0.0,6.147442,2225.6515714922884,357.88608
0.113596745,1281,2387.219064950943,0.113596745,739.0,0.7918010652065277,0.014494402,561309,3,0.0,6.1253815,2183.7886591566944,352.1942
0.12598367,1283,2391.57208609581,0.12598367,733.7,0.6326596736907959,0.012154805,562478,2,0.0,6.1450005,2169.9233698017765,350.8306
0.102282695,1284,2395.97309756279,0.102282695,747.075,0.14337867498397827,0.01310016,563478,1,0.0,6.1658163,2211.278000174022,358.37665
0.11495303,1286,2400.341840982437,0.11495303,746.075,0.5672806203365326,0.011714425,565131,2,0.0,6.1578965,2194.834972019929,357.62787
0.123178616,1288,2404.745114803314,0.123178616,722.375,0.8407880812883377,0.013952833,566183,2,0.0,6.1422276,2114.1026750850674,346.97
0.16498873,1289,2409.173412799835,0.16498873,730.875,-0.3941875696182251,0.01211729,567183,1,0.0,6.1708827,2144.356276817275,352.5572
0.109098405,1290,2413.5194652080536,0.109098405,730.875,0.06387275457382202,0.012124032,568183,1,0.0,6.201839,2133.0678909374833,352.91547
0.18004791,1292,2417.911081314087,0.18004791,729.0,0.7731557786464691,0.013531947,569307,2,0.0,6.1753955,2124.5193341442864,351.6029
0.075633734,1294,2422.2961819171906,0.075633734,735.725,0.7436778843402863,0.0038446323,570385,2,0.0,6.169113,2146.8894325631313,355.92465
0.12807727,1295,2426.679040670395,0.12807727,735.725,-0.22450101375579834,0.014552937,571385,1,0.0,6.1718755,2143.0741467324488,356.0506
0.08305526,1296,2431.0182423591614,0.08305526,730.0,0.8497301638126373,0.0040311124,572156,1,0.0,6.196366,2119.044307612675,352.92426
0.09731214,1297,2435.4513058662415,0.09731214,730.0,0.04742461442947388,0.010170665,573156,1,0.0,6.23891,2116.1860395722692,353.2685
0.16648135,1299,2439.8242416381836,0.16648135,726.825,0.849433645606041,0.014476761,574274,2,0.0,6.2410884,2119.6889808538695,353.08023
0.112205125,1301,2444.2244720458984,0.112205125,692.45,0.8551340252161026,0.014030653,574899,2,0.0,6.2541313,2010.8387270709077,336.0787
0.082595065,1302,2448.6207644939423,0.082595065,705.425,0.12635624408721924,0.0119830575,575899,1,0.0,6.231034,2052.4140003519196,342.81525
0.07032893,1303,2452.9966855049133,0.07032893,699.85,0.91938416659832,0.004225292,576676,1,0.0,6.1911435,2031.7706410883427,341.51987
0.15146588,1305,2457.3729293346405,0.15146588,695.975,0.770138218998909,0.011271722,578521,2,0.0,6.169496,2013.4631367039124,339.7863
0.12615922,1306,2462.2911143302917,0.12615922,698.025,0.8696185350418091,0.01385178,578977,1,0.0,6.1658974,2016.027163530292,340.28876
0.116059855,1307,2467.5303885936737,0.116059855,704.65,0.758168950676918,0.012296646,579684,1,0.0,6.199356,2039.6721318373675,343.5039
0.07604305,1309,2472.7051622867584,0.07604305,706.55,0.8516579419374466,0.0042584697,581281,2,0.0,6.20705,2040.361724116868,345.84943
0.12209624,1311,2477.5943264961243,0.12209624,694.8,0.8523628264665604,0.01237414,582684,2,0.0,6.202877,2007.2180451577128,342.04413
0.1383133,1313,2482.4432570934296,0.1383133,680.875,0.830144003033638,0.013082835,583626,2,0.0,6.2202806,1979.703717730911,337.37375
0.14598818,1315,2487.2128632068634,0.14598818,677.0,0.7822769582271576,0.01227106,584452,2,0.0,6.193314,1965.2464967546025,335.0601
0.12454812,1317,2491.6049942970276,0.12454812,660.825,0.8354091197252274,0.01414771,585466,2,0.0,6.1599727,1914.6923621529,328.85416
0.1332409,1319,2495.954442024231,0.1332409,663.15,0.6217712759971619,0.011074733,586991,2,0.0,6.164718,1918.6246347696276,330.04852
0.11672822,1321,2500.2584311962128,0.11672822,677.55,0.6696517467498779,0.012359666,588411,2,0.0,6.1772466,1961.5120431683322,336.77383
0.12500355,1323,2504.517635822296,0.12500355,667.7,0.9201067462563515,0.012882622,589186,2,0.0,6.188187,1938.3349884914921,332.7311
0.12308952,1325,2508.7836294174194,0.12308952,652.775,0.7002164125442505,0.011975438,590589,2,0.0,6.1770034,1898.6479656299496,325.97217
0.099328764,1326,2513.0366258621216,0.099328764,661.45,0.10373818874359131,0.011888171,591589,1,0.0,6.186295,1922.1882911299167,329.94623
0.11777646,1327,2517.306394100189,0.11777646,672.625,0.5737618505954742,0.012378618,592589,1,0.0,6.2270555,1944.8112315027968,333.7985
0.14600718,1328,2521.577548265457,0.14600718,684.95,0.9033609703183174,0.012701664,593581,1,0.0,6.2375674,1992.585978858595,340.28348
0.16129294,1329,2525.873118162155,0.16129294,684.95,0.9278738424181938,0.012961064,594581,1,0.0,6.2548985,1968.9496351706941,337.20258
0.11099065,1331,2530.076378107071,0.11099065,676.575,0.7514606267213821,0.011651132,596068,2,0.0,6.2185106,1939.6065911250164,331.59113
0.13683504,1333,2534.306373357773,0.13683504,664.85,0.8874245956540108,0.014069816,596785,2,0.0,6.243596,1904.27973624141,325.59882
0.05966828,1335,2538.557037591934,0.05966828,668.6,0.8126417547464371,0.003900348,598129,2,0.0,6.2658267,1906.2694850147207,326.77753
0.10742504,1336,2542.8010444641113,0.10742504,674.325,0.04941070079803467,0.013587408,599129,1,0.0,6.2439995,1929.5004976520297,331.2828
0.05943885,1337,2547.039591550827,0.05943885,674.325,0.03779071569442749,0.006682096,600129,1,0.0,6.236896,1939.285717922708,332.8282
0.1241726,1338,2551.265334367752,0.1241726,668.85,0.7288243174552917,0.013854286,600484,1,0.0,6.255387,1924.3943906304514,330.19983
0.08920145,1339,2555.527495622635,0.08920145,680.25,0.13800567388534546,0.0138670225,601484,1,0.0,6.2543526,1956.0980142697197,335.45966
0.09505202,1341,2559.727514743805,0.09505202,713.425,0.6275004148483276,0.014861834,603436,2,0.0,6.284744,2081.858524743252,354.9772
0.090262115,1342,2563.9374556541443,0.090262115,710.575,0.8610367774963379,0.0037991088,604322,1,0.0,6.2979307,2076.912172256293,353.5953
0.119508184,1343,2568.109799146652,0.119508184,716.15,0.6510074138641357,0.010928461,605322,1,0.0,6.3039503,2105.1590795096513,356.43192
0.059037518,1344,2572.2884027957916,0.059037518,716.15,-0.08647215366363525,0.004027818,606322,1,0.0,6.298336,2106.191314499586,356.47455
0.111732185,1345,2576.510724544525,0.111732185,705.85,0.7620808780193329,0.0130964825,606755,1,0.0,6.2910805,2080.2183061957667,351.4091
0.13943528,1348,2580.70991396904,0.13943528,697.925,0.9034630209207535,0.014945959,608198,3,0.0,6.317998,2070.6466747324193,349.92413
0.14235252,1349,2584.9045734405518,0.14235252,697.925,0.615522563457489,0.012401257,609198,1,0.0,6.273986,2093.0150747916464,352.07343
0.09071256,1350,2589.102975845337,0.09071256,698.425,-0.08849501609802246,0.013859067,610198,1,0.0,6.2825975,2092.016690197304,352.64456
0.069698885,1351,2593.330711364746,0.069698885,709.025,0.9086311683058739,0.00394238,611045,1,0.0,6.293171,2129.9574419232185,357.90958
0.09745206,1352,2597.5159134864807,0.09745206,716.55,0.3958395719528198,0.012046587,612045,1,0.0,6.3276353,2153.0982148157764,361.2521
0.13807994,1355,2601.7124814987183,0.13807994,711.95,0.8786049783229828,0.013986675,612930,3,0.0,6.296748,2131.4223681543576,357.9774
0.23793215,1356,2606.161498069763,0.23793215,707.625,0.6056613028049469,0.01396261,613235,1,0.0,6.297257,2119.1260497517187,355.90698
0.06854093,1357,2610.3465542793274,0.06854093,708.825,0.8175593763589859,0.003836106,613819,1,0.0,6.3162694,2115.73238680513,355.9864
0.11747675,1358,2614.600863456726,0.11747675,708.825,-0.14816606044769287,0.013901354,614819,1,0.0,6.3098607,2118.0634563480758,355.38315
0.14952812,1360,2618.8401684761047,0.14952812,705.15,0.8853897899389267,0.014781751,616197,2,0.0,6.2920485,2123.016921743712,353.88248
0.22740306,1361,2623.0473856925964,0.22740306,710.1,0.8356709182262421,0.014585275,616815,1,0.0,6.2694054,2139.253687130798,356.11002
0.11475241,1362,2627.256325483322,0.11475241,724.075,-0.3809884786605835,0.01134528,617815,1,0.0,6.2583766,2179.039376686077,362.15494
0.1099967,1363,2631.4347565174103,0.1099967,740.725,-0.07863724231719971,0.013989671,618815,1,0.0,6.253071,2227.380416879654,369.7685
0.12195949,1364,2635.6321811676025,0.12195949,726.95,0.9200291708111763,0.014058239,619264,1,0.0,6.260249,2190.75190749746,363.4121
0.118308626,1365,2639.802123069763,0.118308626,741.575,0.8973317444324493,0.012096354,620252,1,0.0,6.2205815,2243.440217741348,371.31903
0.07659945,1367,2643.9761838912964,0.07659945,731.4,0.7249190211296082,0.0040466273,621845,2,0.0,6.2078867,2209.494632155357,366.07346
