EpThisIter,EpTrueRewMean,EpisodesSoFar,ev_tdlam_before,meankl,TimeElapsed,TimestepsSoFar,EpRewMean,entloss,EpLenMean,entropy,optimgain,surrgain
2,1982.9482452595253,1313,0.983377605676651,0.011423543,13161.453723192215,791840,341.14655,0.0,652.85,1.2361478,0.05597671,0.05597671
3,1849.2755778918734,1316,0.9823529738932848,0.011372397,13171.003120660782,793033,325.3881,0.0,616.325,1.2489728,0.060293734,0.060293734
3,1836.1534456157292,1319,0.9925947161391377,0.01230078,13181.797116994858,794522,328.9627,0.0,611.375,1.2424136,0.06580587,0.06580587
2,1858.417132483797,1321,0.9908682452514768,0.010612512,13193.962721347809,795535,336.4279,0.0,616.8,1.25198,0.053474702,0.053474702
2,1753.3304260648438,1323,0.9954452360980213,0.010185975,13203.549206018448,796356,326.646,0.0,587.325,1.2622126,0.062978715,0.062978715
3,1754.0279099047173,1326,0.993208397179842,0.010649318,13213.201484918594,797748,328.96356,0.0,584.6,1.2497507,0.0621654,0.0621654
2,1712.2750005414534,1328,0.9929754659533501,0.010583701,13222.94695019722,798749,324.0327,0.0,568.925,1.2456502,0.062096115,0.062096115
3,1651.3568590735886,1331,0.9908291315659881,0.010868399,13232.678262710571,799956,316.84146,0.0,551.0,1.2437717,0.065663174,0.065663174
2,1577.7489694806388,1333,0.9929682915098965,0.011317695,13242.354286909103,800776,308.6447,0.0,530.775,1.2300901,0.05452192,0.05452192
1,1654.57880543188,1334,0.057372450828552246,0.011702215,13252.324892520905,801776,319.98016,0.0,549.125,1.2563375,0.038273513,0.038273513
1,1680.2123252688875,1335,0.9936542571522295,0.010843111,13262.12433886528,802216,324.1937,0.0,555.3,1.2428068,0.046687126,0.046687126
1,1655.1547354579084,1336,0.9789608772844076,0.0038566727,13271.76427435875,802931,321.33136,0.0,548.175,1.2277678,0.024545658,0.024545658
1,1686.4303224318755,1337,0.9947012839838862,0.0104714595,13281.374967098236,803336,324.34637,0.0,552.975,1.2122178,0.059062734,0.059062734
2,1718.510559804828,1339,0.987350719049573,0.011006731,13290.97947716713,804218,320.5092,0.0,543.025,1.2164723,0.056727573,0.056727573
1,1721.2445297530357,1340,0.019862890243530273,0.011285207,13300.653245925903,805218,321.9593,0.0,543.025,1.21107,0.03583233,0.03583233
1,1776.2535463673617,1341,0.9643258452415466,0.011255753,13310.260862588882,806218,330.47983,0.0,558.025,1.207287,0.047634557,0.047634557
1,1855.2249435335311,1342,0.036097943782806396,0.011641389,13319.9232711792,807218,340.52667,0.0,573.875,1.1975402,0.039326563,0.039326563
1,1876.1383007091958,1343,0.9825098980218172,0.012651933,13329.673654556274,807872,342.44952,0.0,575.775,1.188871,0.053784676,0.053784676
1,1916.0626996365459,1344,0.052738070487976074,0.013119277,13339.26893043518,808872,346.19568,0.0,575.775,1.1901294,0.04337987,0.04337987
2,1915.2267691185746,1346,0.9695639964193106,0.010565691,13348.898257732391,809844,343.3609,0.0,551.55,1.1656369,0.06213332,0.06213332
1,1958.3486603679223,1347,0.9807678032666445,0.0110557,13359.02283334732,810579,348.4763,0.0,544.925,1.153293,0.05031367,0.05031367
1,2000.6171215097154,1348,0.657598078250885,0.011194801,13368.807764291763,811579,352.50748,0.0,550.675,1.1778897,0.041273147,0.041273147
1,2062.246964665297,1349,-0.2300865650177002,0.010844333,13378.5947971344,812579,358.8461,0.0,566.975,1.1622285,0.04549446,0.04549446
1,2079.059113216441,1350,0.9770879168063402,0.012164133,13388.486510276794,813189,359.11322,0.0,569.675,1.1571146,0.049872283,0.049872283
1,2120.324149740052,1351,0.03446948528289795,0.01174344,13398.337653636932,814189,362.2088,0.0,581.75,1.1212522,0.045616087,0.045616087
1,2186.0660627461707,1352,0.9780744332820177,0.0110722445,13408.080887556076,815189,368.93536,0.0,599.075,1.1284714,0.051072005,0.051072005
1,2220.590125376002,1353,0.90986018627882,0.011972664,13417.61624622345,816189,370.5434,0.0,608.725,1.1290488,0.048156735,0.048156735
1,2228.087159627938,1354,0.9650217331945896,0.010409364,13428.945015907288,816799,368.2597,0.0,610.85,1.1189221,0.04573742,0.04573742
3,2230.5142105408822,1357,0.812012642621994,0.011625479,13440.592858076096,818391,360.5338,0.0,612.075,1.1394483,0.04833429,0.04833429
1,2292.5953320779654,1358,0.007653772830963135,0.011268466,13450.24544453621,819391,367.13852,0.0,629.575,1.145924,0.044718914,0.044718914
1,2354.255846666827,1359,0.02966320514678955,0.010200126,13459.91759467125,820391,373.46338,0.0,646.725,1.1413211,0.041368097,0.041368097
1,2386.0914697000103,1360,0.9788887351751328,0.011172085,13469.728112459183,821296,375.18686,0.0,655.075,1.1505622,0.052810386,0.052810386
1,2404.7386576498516,1361,0.9898278014734387,0.010728883,13479.544086933136,821929,374.76205,0.0,659.85,1.1608915,0.04943329,0.04943329
1,2458.5284475995454,1362,-0.02693641185760498,0.010795777,13489.269857645035,822929,379.92023,0.0,675.1,1.148297,0.034422398,0.034422398
1,2507.6403903894143,1363,0.03980988264083862,0.01016106,13499.02376484871,823929,384.4059,0.0,689.325,1.175207,0.037105184,0.037105184
1,2550.3655653715964,1364,0.04202699661254883,0.0117166145,13508.778208255768,824929,387.52954,0.0,701.9,1.1874052,0.035500817,0.035500817
1,2592.6750529133424,1365,0.041032612323760986,0.0142994,13518.4456949234,825929,390.8668,0.0,714.15,1.1754848,0.04890652,0.04890652
1,2638.3503089094365,1366,0.9736415278166533,0.010639709,13528.03560590744,826802,395.77585,0.0,726.35,1.160463,0.04824753,0.04824753
1,2681.3271775998182,1367,0.01834160089492798,0.010797409,13537.591490507126,827802,399.0987,0.0,739.25,1.156633,0.042111218,0.042111218
2,2677.5691567905283,1369,0.7696093022823334,0.010657265,13547.345170736313,828666,394.93533,0.0,738.425,1.1679772,0.051024135,0.051024135
1,2664.5192275220934,1370,0.9784838072955608,0.012286227,13556.910395145416,828901,393.03644,0.0,734.75,1.1612822,0.09165785,0.09165785
1,2706.169376046724,1371,0.9868617076426744,0.010517988,13566.573920249939,829786,396.85992,0.0,745.75,1.1859074,0.057215128,0.057215128
2,2743.7948337036514,1373,0.5269193947315216,0.010088502,13576.362220287323,831029,400.38544,0.0,756.325,1.1730074,0.04227522,0.04227522
1,2742.4528852795406,1374,-0.016495823860168457,0.011667122,13586.035204410553,832029,398.17792,0.0,756.325,1.185484,0.03887171,0.03887171
2,2792.9392865550426,1376,0.7310353219509125,0.011656099,13595.619887590408,833769,404.13507,0.0,770.95,1.2009095,0.041064866,0.041064866
2,2849.880893374956,1378,0.675669401884079,0.011544062,13605.280995607376,835084,412.09857,0.0,786.95,1.2009077,0.043130323,0.043130323
2,2821.0385695223968,1380,0.6824198365211487,0.010192908,13615.365174293518,836369,407.69952,0.0,778.775,1.2194606,0.037838094,0.037838094
