EpThisIter,meankl,EpisodesSoFar,TimestepsSoFar,TimeElapsed,entropy,EpRewMean,ev_tdlam_before,EpTrueRewMean,EpLenMean,surrgain,optimgain,entloss
8,0.0056651323,7921,803188,5629.021778345108,22.812277,75.385086,0.9182301834225655,617.2690121845097,122.2,0.20639467,0.20639467,0.0
9,0.005499769,7930,804229,5636.179157972336,22.812517,74.6526,0.8973489552736282,596.5564377578116,118.175,0.17579466,0.17579466,0.0
8,0.0048790528,7938,805178,5643.314487934113,22.812813,74.77423,0.9112849980592728,587.9227196453636,118.4,0.1628789,0.1628789,0.0
9,0.0064629004,7947,806251,5650.4476590156555,22.814459,72.40549,0.916532039642334,585.149875721431,117.5,0.19073957,0.19073957,0.0
7,0.006270872,7954,807140,5657.5779066085815,22.813786,72.54414,0.8821940571069717,589.8792842649032,118.325,0.22090769,0.22090769,0.0
6,0.005811001,7960,808093,5664.744651317596,22.813313,75.29669,0.8940820470452309,619.0808128102556,124.6,0.19233638,0.19233638,0.0
8,0.0049117804,7968,809119,5672.021711349487,22.808659,74.98323,0.9215038046240807,645.5829960455126,129.0,0.16324121,0.16324121,0.0
8,0.006290898,7976,810121,5679.201459407806,22.80739,72.036194,0.9149642810225487,652.4871797012911,128.625,0.1880772,0.1880772,0.0
9,0.0063641514,7985,811193,5686.353430509567,22.807701,71.72817,0.8913461118936539,651.5333866903609,128.225,0.2070272,0.2070272,0.0
9,0.0061471746,7994,812222,5693.437815904617,22.807194,69.47926,0.9033458903431892,647.9032777906725,127.05,0.1891226,0.1891226,0.0
10,0.0056730527,8004,813330,5700.525064229965,22.80584,65.671524,0.8791941553354263,612.2848366745795,119.425,0.200078,0.200078,0.0
9,0.0058881682,8013,814434,5707.728012084961,22.806885,64.48244,0.8972800970077515,602.156025639152,117.15,0.20328744,0.20328744,0.0
7,0.005244633,8020,815357,5715.576295137405,22.805174,64.2827,0.9127644822001457,615.6605349973581,118.175,0.18115936,0.18115936,0.0
9,0.006100905,8029,816474,5722.826598167419,22.809242,64.36382,0.9018952399492264,612.3016707619884,118.0,0.19353233,0.19353233,0.0
7,0.0058186096,8036,817568,5730.102011203766,22.806906,68.26446,0.912718802690506,656.1691972208871,127.1,0.17410871,0.17410871,0.0
9,0.0050971378,8045,818670,5737.2041783332825,22.80786,69.88326,0.9074093326926231,668.5859380271056,129.375,0.1702811,0.1702811,0.0
9,0.0055044014,8054,819702,5744.3357462883,22.80988,71.77425,0.9112820327281952,661.4688782459369,128.75,0.17565905,0.17565905,0.0
8,0.0052992245,8062,820685,5751.497221946716,22.814924,71.41479,0.9222169294953346,633.4756025980989,125.45,0.1814807,0.1814807,0.0
9,0.0052434495,8071,821689,5758.697865486145,22.81551,70.983925,0.894355908036232,609.3934228042857,121.525,0.16634944,0.16634944,0.0
8,0.0059144264,8079,822621,5765.869716644287,22.815365,69.30931,0.8728642761707306,584.7286700427769,116.775,0.19573452,0.19573452,0.0
8,0.004506799,8087,823616,5773.123144865036,22.82298,70.22087,0.9042192623019218,583.7029687217954,117.95,0.16956371,0.16956371,0.0
9,0.006015791,8096,824714,5780.264012813568,22.82226,71.17328,0.8935744240880013,582.9908290213427,118.925,0.18873706,0.18873706,0.0
8,0.006009966,8104,825648,5787.314485311508,22.820137,72.58278,0.8408968448638916,583.362213168274,117.775,0.20401087,0.20401087,0.0
7,0.005655026,8111,826656,5794.411651849747,22.818035,74.72717,0.8989290073513985,621.3677196953977,124.175,0.18416202,0.18416202,0.0
9,0.005849166,8120,827580,5801.528742551804,22.820477,74.02152,0.909036323428154,608.6929704031621,121.35,0.1798928,0.1798928,0.0
9,0.0052732155,8129,828657,5808.665078639984,22.82348,72.10829,0.8735137283802032,612.9081133956845,120.625,0.16937882,0.16937882,0.0
10,0.0053433236,8139,829730,5815.792054176331,22.824446,69.41712,0.8824965059757233,584.5801566859138,115.35,0.18375298,0.18375298,0.0
8,0.005312042,8147,830755,5822.895302295685,22.82365,70.86476,0.7696637213230133,584.4085709395532,116.825,0.18150213,0.18150213,0.0
