optimgain,EpTrueRewMean,EpLenMean,ev_tdlam_before,entropy,EpRewMean,EpThisIter,meankl,TimeElapsed,surrgain,EpisodesSoFar,entloss,TimestepsSoFar
0.031075813,408.8133699794637,302.65,0.0008303523063659668,4.059502,253.61252,1,0.0065807644,72.41959142684937,0.031075813,98,0.0,44520
0.02541596,431.29858673523466,325.65,-0.009188175201416016,3.981195,266.94913,1,0.0070535857,76.67700862884521,0.02541596,99,0.0,47520
0.037848316,456.6227017381367,348.95,-0.0012774467468261719,3.9437501,280.75192,1,0.008329836,80.8476231098175,0.037848316,100,0.0,50520
0.03610664,477.3828038357566,369.575,-0.015700697898864746,3.920014,291.60883,1,0.0072200457,85.12699246406555,0.03610664,101,0.0,53520
0.03301439,501.3522809899763,392.65,-0.14653873443603516,3.9562929,304.59772,1,0.0068981294,89.31584429740906,0.03301439,102,0.0,56520
0.03102862,522.204476871606,414.175,-0.09094464778900146,3.9606001,315.83478,1,0.006943841,93.50314426422119,0.03102862,103,0.0,59520
0.051829062,542.2188590187637,435.95,-0.01661062240600586,3.8620584,326.79184,1,0.006201335,97.72165632247925,0.051829062,104,0.0,62520
0.032600053,561.251825758998,457.3,-0.04898416996002197,3.8541243,337.01758,1,0.005975065,101.91951417922974,0.032600053,105,0.0,65520
0.027015446,581.7654952105701,479.825,-0.001811385154724121,3.9263592,348.20654,1,0.006522865,106.15878772735596,0.027015446,106,0.0,68520
0.032866795,603.8089277244655,501.65,-0.07955288887023926,3.9315794,359.40555,1,0.0076594725,110.42841172218323,0.032866795,107,0.0,71520
0.026618775,623.6656822320385,523.725,-0.03843271732330322,3.9222417,369.69098,1,0.006208596,114.62717580795288,0.026618775,108,0.0,74520
0.030715628,644.0462638891898,545.35,-0.023976683616638184,3.9094243,380.1721,1,0.0058312067,118.8386242389679,0.030715628,109,0.0,77520
0.032220695,662.3882510380347,565.25,-0.024248600006103516,3.8783262,388.68036,1,0.006613669,123.08739733695984,0.032220695,110,0.0,80520
0.02755388,682.1395832702356,586.775,-0.00013387203216552734,3.915224,398.51956,1,0.00725145,127.27680492401123,0.02755388,111,0.0,83520
0.047732867,697.1036963837644,605.95,-0.005072355270385742,3.9272137,401.97562,3,0.0072295135,131.52640581130981,0.047732867,114,0.0,87531
0.03138116,715.3516355487798,625.225,0.004640102386474609,3.9308703,410.20474,1,0.007211048,135.73632311820984,0.03138116,115,0.0,90531
0.032855935,734.5795792772435,645.85,-0.15132737159729004,3.9005506,419.03223,1,0.0064683165,139.97284722328186,0.032855935,116,0.0,93531
