optimgain,EpisodesSoFar,meankl,TimeElapsed,EpTrueRewMean,surrgain,entloss,EpLenMean,EpRewMean,TimestepsSoFar,EpThisIter,entropy,ev_tdlam_before
0.056799114,148,0.0071593355,93.7426061630249,754.4089113251918,0.056799114,0.0,328.925,374.555,69342,1,3.8201275,0.003258943557739258
0.05155706,149,0.0068269437,97.96247458457947,797.8572930064774,0.05155706,0.0,349.25,394.75226,72342,1,3.8382018,-0.22675156593322754
0.057135746,151,0.0070106136,102.20009279251099,837.5374973423366,0.057135746,0.0,365.675,412.85733,75618,2,3.7977908,0.6714095771312714
0.052283987,152,0.006994309,106.34930920600891,833.1593890448588,0.052283987,0.0,364.625,409.66455,76248,1,3.820921,-0.14207279682159424
0.044982277,154,0.0068271067,110.4624674320221,880.8566158224323,0.044982277,0.0,389.625,430.60742,80295,2,3.8130252,0.11228930950164795
0.05095958,156,0.006771739,114.64180827140808,921.5775700049624,0.05095958,0.0,404.85,446.98517,83760,2,3.8145995,0.7907313257455826
0.056498952,157,0.0064508696,118.81432032585144,956.923534889703,0.056498952,0.0,414.1,462.7299,85734,1,3.7943661,0.3971606492996216
0.057263047,158,0.007096478,123.02179718017578,984.304855923888,0.057263047,0.0,423.95,473.61337,87546,1,3.7813962,0.8441800028085709
0.042241737,159,0.0065631615,127.20533490180969,1029.1963203808507,0.042241737,0.0,443.625,491.91367,90546,1,3.7818584,-0.028959035873413086
0.04526025,160,0.007557217,131.4813838005066,1065.5963323344254,0.04526025,0.0,460.125,504.47836,93546,1,3.7498763,-0.08622109889984131
0.057770364,162,0.006769106,135.6554718017578,1114.1615708712834,0.057770364,0.0,479.275,526.37286,96711,2,3.745079,0.8374065309762955
0.059658848,165,0.0067908783,139.847553730011,1159.984792762661,0.059658848,0.0,495.35,542.4567,101088,3,3.7453938,0.7485191524028778
0.04104594,166,0.006635391,144.02812314033508,1195.2547814584245,0.04104594,0.0,514.825,556.40186,104088,1,3.7565994,-0.18361806869506836
0.043566313,168,0.0060904846,148.21307921409607,1172.9658286725012,0.043566313,0.0,506.875,544.7138,104856,2,3.7542415,0.9328947514295578
0.04814369,170,0.0074227904,152.45228505134583,1210.3090899831816,0.04814369,0.0,520.25,557.2616,108306,2,3.756248,0.6268222033977509
0.039580584,172,0.007029671,156.69681859016418,1204.0784753311032,0.039580584,0.0,531.525,556.42957,111774,2,3.7386458,0.6461323499679565
0.048447967,173,0.0070089772,160.9179196357727,1219.093696854262,0.048447967,0.0,543.625,564.23566,113964,1,3.7309341,-0.10075902938842773
0.050168797,176,0.007483268,165.1533088684082,1202.586571924623,0.050168797,0.0,547.725,554.82404,118617,3,3.7210922,0.3499596118927002
0.051874742,177,0.0066256905,169.34122109413147,1175.698102532153,0.051874742,0.0,547.725,542.72186,121617,1,3.73388,0.043640077114105225
0.038400874,178,0.007286868,173.53956151008606,1174.8553707255337,0.038400874,0.0,558.85,544.69714,124617,1,3.7405698,0.03784632682800293
0.03468918,180,0.0072140153,177.75326251983643,1188.6916380072385,0.03468918,0.0,577.85,554.64716,128475,2,3.7458432,0.337981641292572
0.06167362,181,0.007617273,181.9715337753296,1217.7757833908008,0.06167362,0.0,587.575,568.2929,130647,1,3.748472,0.8716984689235687
0.06443354,183,0.0074599287,186.22474312782288,1186.7973547832112,0.06443354,0.0,573.8,555.80096,132486,2,3.7464828,0.4446113705635071
0.050956033,184,0.007784241,190.40323781967163,1214.4814876419582,0.050956033,0.0,589.425,567.92377,135486,1,3.763482,0.45374083518981934
0.058284163,185,0.0078037186,194.65979075431824,1234.6951591844395,0.058284163,0.0,606.925,579.7835,138486,1,3.766176,-0.13708341121673584
0.06049609,187,0.0076991995,198.8765730857849,1247.699206327604,0.06049609,0.0,614.675,587.0586,141468,2,3.785315,0.568849116563797
0.060644932,189,0.0063912934,203.09399461746216,1214.17395915937,0.060644932,0.0,597.8,572.2249,144078,2,3.772286,0.4377519488334656
0.051994544,191,0.0061480384,207.3053982257843,1195.6077158927706,0.051994544,0.0,591.675,562.4606,146619,2,3.7587972,0.2428775429725647
0.062148437,193,0.0071594263,211.54244804382324,1198.892171371204,0.062148437,0.0,588.55,568.9728,149874,2,3.7582016,0.8859740719199181
0.05820795,195,0.007352652,215.79805731773376,1182.1869005926453,0.05820795,0.0,577.75,565.6072,152247,2,3.7602153,0.8846451863646507
0.06157937,197,0.0073715625,219.9852955341339,1196.2954480507387,0.06157937,0.0,590.4,577.9393,156582,2,3.7515266,0.9349091723561287
0.06792958,199,0.006779602,224.22495651245117,1144.708553904334,0.06792958,0.0,567.5,560.97424,158646,2,3.785919,0.9386356174945831
0.069832094,202,0.008186983,228.43391513824463,1107.3407240263073,0.069832094,0.0,547.025,551.993,162354,3,3.7721477,0.902986466884613
0.056113698,204,0.007241927,232.69199895858765,1106.4863622390403,0.056113698,0.0,547.5,555.9182,165093,2,3.7706282,0.7045157849788666
0.06540418,207,0.0077996026,236.95721697807312,1082.9568264823033,0.06540418,0.0,534.275,549.4877,168630,3,3.7638247,0.8571249544620514
0.05923949,208,0.0079586115,241.21819925308228,1124.4021173904844,0.05923949,0.0,550.775,569.29474,170949,1,3.723604,0.9466504529118538
0.06701716,210,0.0076452396,245.50237727165222,1123.741712025403,0.06701716,0.0,548.275,576.48,174099,2,3.7080693,0.9567992202937603
0.059407767,212,0.0075417333,249.76821494102478,1142.6513128463796,0.059407767,0.0,543.975,584.3031,177051,2,3.7156658,0.943229965865612
0.05497586,214,0.007763509,254.02070903778076,1163.6884714009689,0.05497586,0.0,532.4,594.10486,180687,2,3.6871095,0.9249792397022247
0.057833456,216,0.007257932,258.2745327949524,1190.087706066753,0.057833456,0.0,541.325,607.2918,183576,2,3.664941,0.9326790496706963
