EpRewMean,EpThisIter,EpTrueRewMean,entloss,optimgain,ev_tdlam_before,entropy,EpLenMean,TimestepsSoFar,EpisodesSoFar,TimeElapsed,surrgain,meankl
37.80773,21,266.12018849340024,0.0,0.15225866,0.5272158980369568,23.862284,54.825,46299,414,95.80343270301819,0.15225866,0.0085565895
37.760292,18,262.7259750034261,0.0,0.17308943,0.7175726890563965,23.899155,53.85,49380,432,102.23941421508789,0.17308943,0.008458901
43.799995,19,276.96698825970844,0.0,0.17236488,0.7091762125492096,23.828293,56.6,52497,451,108.72919058799744,0.17236488,0.008105276
46.75952,17,283.10833583950733,0.0,0.18669389,0.7021058797836304,23.802248,57.925,55737,468,115.16211271286011,0.18669389,0.008212771
50.200516,17,294.5056079144298,0.0,0.18708172,0.6531950533390045,23.850348,59.875,58683,485,121.47370266914368,0.18708172,0.008832549
53.297394,14,314.62608488047755,0.0,0.18358433,0.7739915549755096,23.830748,63.375,61734,499,128.00751566886902,0.18358433,0.008309616
58.860207,15,342.3292106779045,0.0,0.16080666,0.7159969210624695,23.78426,68.5,64926,514,134.46764755249023,0.16080666,0.008925891
57.38266,16,340.84573668499127,0.0,0.17689921,0.7560891956090927,23.718428,68.375,67929,530,140.92213606834412,0.17689921,0.0082531795
50.66458,15,320.250096808161,0.0,0.18869072,0.7027784585952759,23.666521,64.85,70920,545,147.40829467773438,0.18869072,0.009090897
49.81356,15,335.59586808721343,0.0,0.17896691,0.7163185179233551,23.621847,67.65,74025,560,153.94617867469788,0.17896691,0.00886317
48.64279,16,331.37680602291954,0.0,0.175415,0.6589660942554474,23.612322,67.45,77172,576,160.45337677001953,0.175415,0.00888283
46.539654,15,334.4336870973176,0.0,0.1821247,0.7493617832660675,23.603598,67.425,80307,591,166.8565559387207,0.1821247,0.008852657
44.459133,17,318.3145855233023,0.0,0.17073339,0.6450508236885071,23.603514,64.375,83445,608,173.387056350708,0.17073339,0.008684597
43.626545,15,316.30824845663403,0.0,0.19451961,0.7977312505245209,23.572977,63.7,86328,623,179.7993462085724,0.19451961,0.009072657
44.2589,15,322.6369713633409,0.0,0.20774284,0.728958010673523,23.546125,65.525,89451,638,186.28010821342468,0.20774284,0.00898064
48.48294,15,337.8731879966842,0.0,0.17952687,0.7808388024568558,23.551275,68.4,92676,653,192.68400859832764,0.17952687,0.009416675
53.30781,13,360.94230842735544,0.0,0.19286802,0.8242479413747787,23.545431,73.8,95763,666,199.2279405593872,0.19286802,0.009142796
52.56803,14,356.6082672865369,0.0,0.19539487,0.7462277710437775,23.57365,73.475,98802,680,205.73134016990662,0.19539487,0.009033988
48.758118,16,345.90998018560435,0.0,0.19647133,0.7719788104295731,23.568539,71.075,101883,696,212.19005370140076,0.19647133,0.009227787
45.926624,15,341.6227404880627,0.0,0.27724108,0.7226606607437134,23.564432,69.7,105063,711,218.60551023483276,0.27724108,0.009701154
45.028587,13,345.8730822559529,0.0,0.18943256,0.7578233629465103,23.560484,69.925,108027,724,225.09269452095032,0.18943256,0.008932637
49.25457,14,365.5051453740474,0.0,0.24980424,0.7456741034984589,23.578691,73.4,111054,738,231.5013484954834,0.24980424,0.009538726
47.9329,14,361.20799163920395,0.0,0.18443286,0.7649011760950089,23.566412,73.025,114024,752,237.87558603286743,0.18443286,0.01016176
46.88703,13,359.8884687253438,0.0,0.18260953,0.8113824874162674,23.562075,72.975,117030,765,244.44723677635193,0.18260953,0.009251965
47.64431,14,358.3538388343636,0.0,0.20116511,0.7880674451589584,23.574041,73.2,120060,779,250.89080691337585,0.20116511,0.010125746
48.11782,13,371.9260522174708,0.0,0.20188615,0.5850415527820587,23.562578,74.95,123018,792,257.4088010787964,0.20188615,0.00947261
54.30005,12,380.21717340388767,0.0,0.28448284,0.7218753397464752,23.571959,77.45,126135,804,263.96414709091187,0.28448284,0.010176372
55.632164,13,392.02243977624664,0.0,0.21030152,0.8005836755037308,23.580633,78.9,129144,817,270.40738677978516,0.21030152,0.010168913
56.24955,15,371.51211394423024,0.0,0.1876199,0.7883800864219666,23.566973,76.15,132156,832,276.8519425392151,0.1876199,0.010525264
49.525723,13,362.6422957837799,0.0,0.20587036,0.8814618140459061,23.543867,73.175,135138,845,283.47593450546265,0.20587036,0.009589085
49.124367,13,364.4986170668734,0.0,0.28422868,0.7464055716991425,23.528484,74.025,138297,858,290.0356590747833,0.28422868,0.010867946
54.329308,13,395.3748363349864,0.0,0.21344097,0.8260409832000732,23.521725,79.1,141411,871,296.5950696468353,0.21344097,0.009651141
